Name: “Table 1 of 1 on page 42 of 78”,Name: “Table 1 of 1 on page 42 of 78”,Name: “Table 1 of 1 on page 42 of 78”,Name: “Table 1 of 1 on page 42 of 78”,Name: “Table 1 of 1 on page 42 of 78”,Name: “Table 1 of 1 on page 42 of 78”,Name: “Table 1 of 1 on page 42 of 78”,Name: “Table 1 of 1 on page 42 of 78”,Name: “Table 1 of 1 on page 42 of 78”,Name: “Table 1 of 1 on page 42 of 78”
Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42
,,,,,,,,,
"City of Chesapeake, Virginia","City of Chesapeake, Virginia",,,,,,,,
FY2012-13 Operating Budget,FY2012-13 Operating Budget,,,,,,,,
REVENUE BUDGET,,,,,,,DESCRIPTION OF FUNDS,DESCRIPTION OF FUNDS,DESCRIPTION OF FUNDS
School Funds - 900 through 942,School Funds - 900 through 942,,,,,,,,
Established to account for revenues and expenditures related to the operation of the City's public school system. The,Established to account for revenues and expenditures related to the operation of the City's public school system. The,Established to account for revenues and expenditures related to the operation of the City's public school system. The,Established to account for revenues and expenditures related to the operation of the City's public school system. The,Established to account for revenues and expenditures related to the operation of the City's public school system. The,Established to account for revenues and expenditures related to the operation of the City's public school system. The,Established to account for revenues and expenditures related to the operation of the City's public school system. The,Established to account for revenues and expenditures related to the operation of the City's public school system. The,Established to account for revenues and expenditures related to the operation of the City's public school system. The,Established to account for revenues and expenditures related to the operation of the City's public school system. The
revenues in these funds come primarily from State agencies for operations and Federal agencies for grants. The major,revenues in these funds come primarily from State agencies for operations and Federal agencies for grants. The major,revenues in these funds come primarily from State agencies for operations and Federal agencies for grants. The major,revenues in these funds come primarily from State agencies for operations and Federal agencies for grants. The major,revenues in these funds come primarily from State agencies for operations and Federal agencies for grants. The major,revenues in these funds come primarily from State agencies for operations and Federal agencies for grants. The major,revenues in these funds come primarily from State agencies for operations and Federal agencies for grants. The major,revenues in these funds come primarily from State agencies for operations and Federal agencies for grants. The major,revenues in these funds come primarily from State agencies for operations and Federal agencies for grants. The major,revenues in these funds come primarily from State agencies for operations and Federal agencies for grants. The major
"revenue sources are Basic Aid, Sales Tax Revenue, and Special Education funding from the State. The School Funds also","revenue sources are Basic Aid, Sales Tax Revenue, and Special Education funding from the State. The School Funds also","revenue sources are Basic Aid, Sales Tax Revenue, and Special Education funding from the State. The School Funds also","revenue sources are Basic Aid, Sales Tax Revenue, and Special Education funding from the State. The School Funds also","revenue sources are Basic Aid, Sales Tax Revenue, and Special Education funding from the State. The School Funds also","revenue sources are Basic Aid, Sales Tax Revenue, and Special Education funding from the State. The School Funds also","revenue sources are Basic Aid, Sales Tax Revenue, and Special Education funding from the State. The School Funds also","revenue sources are Basic Aid, Sales Tax Revenue, and Special Education funding from the State. The School Funds also","revenue sources are Basic Aid, Sales Tax Revenue, and Special Education funding from the State. The School Funds also","revenue sources are Basic Aid, Sales Tax Revenue, and Special Education funding from the State. The School Funds also"
"receive revenues from Grants such as National School Lunch and Breakfast Programs, and Title I and Section 611 Federal","receive revenues from Grants such as National School Lunch and Breakfast Programs, and Title I and Section 611 Federal","receive revenues from Grants such as National School Lunch and Breakfast Programs, and Title I and Section 611 Federal","receive revenues from Grants such as National School Lunch and Breakfast Programs, and Title I and Section 611 Federal","receive revenues from Grants such as National School Lunch and Breakfast Programs, and Title I and Section 611 Federal","receive revenues from Grants such as National School Lunch and Breakfast Programs, and Title I and Section 611 Federal","receive revenues from Grants such as National School Lunch and Breakfast Programs, and Title I and Section 611 Federal","receive revenues from Grants such as National School Lunch and Breakfast Programs, and Title I and Section 611 Federal","receive revenues from Grants such as National School Lunch and Breakfast Programs, and Title I and Section 611 Federal","receive revenues from Grants such as National School Lunch and Breakfast Programs, and Title I and Section 611 Federal"
"Grants, as well as from Charges for Services such as sale of meals and tuition for summer school, adult education, and","Grants, as well as from Charges for Services such as sale of meals and tuition for summer school, adult education, and","Grants, as well as from Charges for Services such as sale of meals and tuition for summer school, adult education, and","Grants, as well as from Charges for Services such as sale of meals and tuition for summer school, adult education, and","Grants, as well as from Charges for Services such as sale of meals and tuition for summer school, adult education, and","Grants, as well as from Charges for Services such as sale of meals and tuition for summer school, adult education, and","Grants, as well as from Charges for Services such as sale of meals and tuition for summer school, adult education, and","Grants, as well as from Charges for Services such as sale of meals and tuition for summer school, adult education, and","Grants, as well as from Charges for Services such as sale of meals and tuition for summer school, adult education, and","Grants, as well as from Charges for Services such as sale of meals and tuition for summer school, adult education, and"
driver education. The transfer from the City General Fund and support for capital expenses are not included in this chart.,driver education. The transfer from the City General Fund and support for capital expenses are not included in this chart.,driver education. The transfer from the City General Fund and support for capital expenses are not included in this chart.,driver education. The transfer from the City General Fund and support for capital expenses are not included in this chart.,driver education. The transfer from the City General Fund and support for capital expenses are not included in this chart.,driver education. The transfer from the City General Fund and support for capital expenses are not included in this chart.,driver education. The transfer from the City General Fund and support for capital expenses are not included in this chart.,driver education. The transfer from the City General Fund and support for capital expenses are not included in this chart.,driver education. The transfer from the City General Fund and support for capital expenses are not included in this chart.,driver education. The transfer from the City General Fund and support for capital expenses are not included in this chart.
,,PERCENT CHANGE IN SCHOOL OPERATING REVENUE,PERCENT CHANGE IN SCHOOL OPERATING REVENUE,PERCENT CHANGE IN SCHOOL OPERATING REVENUE,PERCENT CHANGE IN SCHOOL OPERATING REVENUE,PERCENT CHANGE IN SCHOOL OPERATING REVENUE,PERCENT CHANGE IN SCHOOL OPERATING REVENUE,,
,,,& IN END-OF-YEAR STUDENT MEMBERSHIP,& IN END-OF-YEAR STUDENT MEMBERSHIP,& IN END-OF-YEAR STUDENT MEMBERSHIP,& IN END-OF-YEAR STUDENT MEMBERSHIP,,,
15%,12.7%,,12.9%,,,,,,
10%,,,,,,,,8.2%,
,,,,,7.4%,,,,
6.3%,,6.7%,,,,,,,
5%,,,,2.1%,,,,,
1.0%,1.2%,,,,,0.2%,,,
0%,,,,,,,,,
,,-0.6%,-1.0%,-0.6%,-0.2%,-1.2%,-1.1%,-0.4%,
-5%,,,,,,,,,
,,,,,,,,,-4.8%
-10%,,,,,,,,,
,,,,,,,-10.7%,,
-15%,,,,,,,,,
2004,2005,2006,2007,2008,2009,2010,2011,Budget,Forecast
,,,,,,,,2012,2013
,,,Revenue,,,Membership,,,
,CHESAPEAKE SCHOOL FUNDS - 900 THROUGH 942 REVENUES,CHESAPEAKE SCHOOL FUNDS - 900 THROUGH 942 REVENUES,CHESAPEAKE SCHOOL FUNDS - 900 THROUGH 942 REVENUES,CHESAPEAKE SCHOOL FUNDS - 900 THROUGH 942 REVENUES,CHESAPEAKE SCHOOL FUNDS - 900 THROUGH 942 REVENUES,CHESAPEAKE SCHOOL FUNDS - 900 THROUGH 942 REVENUES,CHESAPEAKE SCHOOL FUNDS - 900 THROUGH 942 REVENUES,,
,,,,,,End-of-Year,End-of-Year,,
,Fiscal Year,,Revenue,Change,Change,Membership,Membership,Change,
,2004,"$189,661,945","$189,661,945",6.3%,6.3%,"39,449","39,449",1.0%,
,2005,"$213,726,115","$213,726,115",12.7%,12.7%,"39,926","39,926",1.2%,
