Name: “Table 1 of 1 on page 39 of 78”,Name: “Table 1 of 1 on page 39 of 78”,Name: “Table 1 of 1 on page 39 of 78”,Name: “Table 1 of 1 on page 39 of 78”,Name: “Table 1 of 1 on page 39 of 78”,Name: “Table 1 of 1 on page 39 of 78”,Name: “Table 1 of 1 on page 39 of 78”,Name: “Table 1 of 1 on page 39 of 78”,Name: “Table 1 of 1 on page 39 of 78”,Name: “Table 1 of 1 on page 39 of 78”
Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39,Table: 39
,,,,,,,,,
"City of Chesapeake, Virginia","City of Chesapeake, Virginia",,,,,,,,
FY2012-13 Operating Budget,FY2012-13 Operating Budget,,,,,,,,
REVENUE BUDGET,,,,,,,,DESCRIPTION OF FUNDS,DESCRIPTION OF FUNDS
Chesapeake Expressway Fund - 525,Chesapeake Expressway Fund - 525,Chesapeake Expressway Fund - 525,,,,,,,
"Established to account for revenues and expenditures related to the operation and debt service of Route 168, which is","Established to account for revenues and expenditures related to the operation and debt service of Route 168, which is","Established to account for revenues and expenditures related to the operation and debt service of Route 168, which is","Established to account for revenues and expenditures related to the operation and debt service of Route 168, which is","Established to account for revenues and expenditures related to the operation and debt service of Route 168, which is","Established to account for revenues and expenditures related to the operation and debt service of Route 168, which is","Established to account for revenues and expenditures related to the operation and debt service of Route 168, which is","Established to account for revenues and expenditures related to the operation and debt service of Route 168, which is","Established to account for revenues and expenditures related to the operation and debt service of Route 168, which is","Established to account for revenues and expenditures related to the operation and debt service of Route 168, which is"
operated as a toll road by the Department of Public Works. The revenues in this fund come primarily from the Cash and,operated as a toll road by the Department of Public Works. The revenues in this fund come primarily from the Cash and,operated as a toll road by the Department of Public Works. The revenues in this fund come primarily from the Cash and,operated as a toll road by the Department of Public Works. The revenues in this fund come primarily from the Cash and,operated as a toll road by the Department of Public Works. The revenues in this fund come primarily from the Cash and,operated as a toll road by the Department of Public Works. The revenues in this fund come primarily from the Cash and,operated as a toll road by the Department of Public Works. The revenues in this fund come primarily from the Cash and,operated as a toll road by the Department of Public Works. The revenues in this fund come primarily from the Cash and,operated as a toll road by the Department of Public Works. The revenues in this fund come primarily from the Cash and,operated as a toll road by the Department of Public Works. The revenues in this fund come primarily from the Cash and
"Electronic (prepaid) Tolls. A small amount of revenue may also come from Interest, Recovered Costs and Service Charges.","Electronic (prepaid) Tolls. A small amount of revenue may also come from Interest, Recovered Costs and Service Charges.","Electronic (prepaid) Tolls. A small amount of revenue may also come from Interest, Recovered Costs and Service Charges.","Electronic (prepaid) Tolls. A small amount of revenue may also come from Interest, Recovered Costs and Service Charges.","Electronic (prepaid) Tolls. A small amount of revenue may also come from Interest, Recovered Costs and Service Charges.","Electronic (prepaid) Tolls. A small amount of revenue may also come from Interest, Recovered Costs and Service Charges.","Electronic (prepaid) Tolls. A small amount of revenue may also come from Interest, Recovered Costs and Service Charges.","Electronic (prepaid) Tolls. A small amount of revenue may also come from Interest, Recovered Costs and Service Charges.","Electronic (prepaid) Tolls. A small amount of revenue may also come from Interest, Recovered Costs and Service Charges.","Electronic (prepaid) Tolls. A small amount of revenue may also come from Interest, Recovered Costs and Service Charges."
"The FY12 increase reflects a toll rate increase approved March effective May 1, 2011.","The FY12 increase reflects a toll rate increase approved March effective May 1, 2011.","The FY12 increase reflects a toll rate increase approved March effective May 1, 2011.","The FY12 increase reflects a toll rate increase approved March effective May 1, 2011.","The FY12 increase reflects a toll rate increase approved March effective May 1, 2011.","The FY12 increase reflects a toll rate increase approved March effective May 1, 2011.","The FY12 increase reflects a toll rate increase approved March effective May 1, 2011.","The FY12 increase reflects a toll rate increase approved March effective May 1, 2011.",,
