Name: “Table 1 of 1 on page 27 of 78”,Name: “Table 1 of 1 on page 27 of 78”,Name: “Table 1 of 1 on page 27 of 78”,Name: “Table 1 of 1 on page 27 of 78”,Name: “Table 1 of 1 on page 27 of 78”,Name: “Table 1 of 1 on page 27 of 78”,Name: “Table 1 of 1 on page 27 of 78”,Name: “Table 1 of 1 on page 27 of 78”,Name: “Table 1 of 1 on page 27 of 78”,Name: “Table 1 of 1 on page 27 of 78”,Name: “Table 1 of 1 on page 27 of 78”
Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27
,,,,,,,,,,
"City of Chesapeake, Virginia","City of Chesapeake, Virginia",,,,,,,,,
FY2012-13 Operating Budget,FY2012-13 Operating Budget,,,,,,,,,
REVENUE BUDGET,,,,,,,,DESCRIPTION OF FUNDS,DESCRIPTION OF FUNDS,DESCRIPTION OF FUNDS
Revenues from the Federal Government,Revenues from the Federal Government,Revenues from the Federal Government,,,,,,,,
"The City receives some revenue from the federal government. In prior years, this category included grant funds","The City receives some revenue from the federal government. In prior years, this category included grant funds","The City receives some revenue from the federal government. In prior years, this category included grant funds","The City receives some revenue from the federal government. In prior years, this category included grant funds","The City receives some revenue from the federal government. In prior years, this category included grant funds","The City receives some revenue from the federal government. In prior years, this category included grant funds","The City receives some revenue from the federal government. In prior years, this category included grant funds","The City receives some revenue from the federal government. In prior years, this category included grant funds","The City receives some revenue from the federal government. In prior years, this category included grant funds","The City receives some revenue from the federal government. In prior years, this category included grant funds","The City receives some revenue from the federal government. In prior years, this category included grant funds"
"from the federal government, but most of those funds are now accounted for in the Grants Fund. Federal Emergency","from the federal government, but most of those funds are now accounted for in the Grants Fund. Federal Emergency","from the federal government, but most of those funds are now accounted for in the Grants Fund. Federal Emergency","from the federal government, but most of those funds are now accounted for in the Grants Fund. Federal Emergency","from the federal government, but most of those funds are now accounted for in the Grants Fund. Federal Emergency","from the federal government, but most of those funds are now accounted for in the Grants Fund. Federal Emergency","from the federal government, but most of those funds are now accounted for in the Grants Fund. Federal Emergency","from the federal government, but most of those funds are now accounted for in the Grants Fund. Federal Emergency","from the federal government, but most of those funds are now accounted for in the Grants Fund. Federal Emergency","from the federal government, but most of those funds are now accounted for in the Grants Fund. Federal Emergency","from the federal government, but most of those funds are now accounted for in the Grants Fund. Federal Emergency"
"Management Agency and Federal Drug Enforcement revenues are recognized on an ""if and when received"" basis.","Management Agency and Federal Drug Enforcement revenues are recognized on an ""if and when received"" basis.","Management Agency and Federal Drug Enforcement revenues are recognized on an ""if and when received"" basis.","Management Agency and Federal Drug Enforcement revenues are recognized on an ""if and when received"" basis.","Management Agency and Federal Drug Enforcement revenues are recognized on an ""if and when received"" basis.","Management Agency and Federal Drug Enforcement revenues are recognized on an ""if and when received"" basis.","Management Agency and Federal Drug Enforcement revenues are recognized on an ""if and when received"" basis.","Management Agency and Federal Drug Enforcement revenues are recognized on an ""if and when received"" basis.","Management Agency and Federal Drug Enforcement revenues are recognized on an ""if and when received"" basis.","Management Agency and Federal Drug Enforcement revenues are recognized on an ""if and when received"" basis.","Management Agency and Federal Drug Enforcement revenues are recognized on an ""if and when received"" basis."
Other accounts in this category that are projected in the General Fund Budget include Refuge Revenue Sharing (16,Other accounts in this category that are projected in the General Fund Budget include Refuge Revenue Sharing (16,Other accounts in this category that are projected in the General Fund Budget include Refuge Revenue Sharing (16,Other accounts in this category that are projected in the General Fund Budget include Refuge Revenue Sharing (16,Other accounts in this category that are projected in the General Fund Budget include Refuge Revenue Sharing (16,Other accounts in this category that are projected in the General Fund Budget include Refuge Revenue Sharing (16,Other accounts in this category that are projected in the General Fund Budget include Refuge Revenue Sharing (16,Other accounts in this category that are projected in the General Fund Budget include Refuge Revenue Sharing (16,Other accounts in this category that are projected in the General Fund Budget include Refuge Revenue Sharing (16,Other accounts in this category that are projected in the General Fund Budget include Refuge Revenue Sharing (16,Other accounts in this category that are projected in the General Fund Budget include Refuge Revenue Sharing (16
"U.S.C. § 715s), Payments In Lieu of Taxes, and Social Security Reporting Incentive for Sheriffs. Large spikes in this","U.S.C. § 715s), Payments In Lieu of Taxes, and Social Security Reporting Incentive for Sheriffs. Large spikes in this","U.S.C. § 715s), Payments In Lieu of Taxes, and Social Security Reporting Incentive for Sheriffs. Large spikes in this","U.S.C. § 715s), Payments In Lieu of Taxes, and Social Security Reporting Incentive for Sheriffs. Large spikes in this","U.S.C. § 715s), Payments In Lieu of Taxes, and Social Security Reporting Incentive for Sheriffs. Large spikes in this","U.S.C. § 715s), Payments In Lieu of Taxes, and Social Security Reporting Incentive for Sheriffs. Large spikes in this","U.S.C. § 715s), Payments In Lieu of Taxes, and Social Security Reporting Incentive for Sheriffs. Large spikes in this","U.S.C. § 715s), Payments In Lieu of Taxes, and Social Security Reporting Incentive for Sheriffs. Large spikes in this","U.S.C. § 715s), Payments In Lieu of Taxes, and Social Security Reporting Incentive for Sheriffs. Large spikes in this","U.S.C. § 715s), Payments In Lieu of Taxes, and Social Security Reporting Incentive for Sheriffs. Large spikes in this","U.S.C. § 715s), Payments In Lieu of Taxes, and Social Security Reporting Incentive for Sheriffs. Large spikes in this"
"revenue reflect recovered expenses for emergencies and disasters such as storms, as in FY04 and FY06, and","revenue reflect recovered expenses for emergencies and disasters such as storms, as in FY04 and FY06, and","revenue reflect recovered expenses for emergencies and disasters such as storms, as in FY04 and FY06, and","revenue reflect recovered expenses for emergencies and disasters such as storms, as in FY04 and FY06, and","revenue reflect recovered expenses for emergencies and disasters such as storms, as in FY04 and FY06, and","revenue reflect recovered expenses for emergencies and disasters such as storms, as in FY04 and FY06, and","revenue reflect recovered expenses for emergencies and disasters such as storms, as in FY04 and FY06, and","revenue reflect recovered expenses for emergencies and disasters such as storms, as in FY04 and FY06, and","revenue reflect recovered expenses for emergencies and disasters such as storms, as in FY04 and FY06, and","revenue reflect recovered expenses for emergencies and disasters such as storms, as in FY04 and FY06, and","revenue reflect recovered expenses for emergencies and disasters such as storms, as in FY04 and FY06, and"
economic stimulus funding such as the American Recovery and Reinvestment Act of 2009 (Pub.L. 111-5) in FY-09 and,economic stimulus funding such as the American Recovery and Reinvestment Act of 2009 (Pub.L. 111-5) in FY-09 and,economic stimulus funding such as the American Recovery and Reinvestment Act of 2009 (Pub.L. 111-5) in FY-09 and,economic stimulus funding such as the American Recovery and Reinvestment Act of 2009 (Pub.L. 111-5) in FY-09 and,economic stimulus funding such as the American Recovery and Reinvestment Act of 2009 (Pub.L. 111-5) in FY-09 and,economic stimulus funding such as the American Recovery and Reinvestment Act of 2009 (Pub.L. 111-5) in FY-09 and,economic stimulus funding such as the American Recovery and Reinvestment Act of 2009 (Pub.L. 111-5) in FY-09 and,economic stimulus funding such as the American Recovery and Reinvestment Act of 2009 (Pub.L. 111-5) in FY-09 and,economic stimulus funding such as the American Recovery and Reinvestment Act of 2009 (Pub.L. 111-5) in FY-09 and,economic stimulus funding such as the American Recovery and Reinvestment Act of 2009 (Pub.L. 111-5) in FY-09 and,economic stimulus funding such as the American Recovery and Reinvestment Act of 2009 (Pub.L. 111-5) in FY-09 and
FY-10 which partially supplanted reduced state funding for Sheriff and jail in the General Fund.,FY-10 which partially supplanted reduced state funding for Sheriff and jail in the General Fund.,FY-10 which partially supplanted reduced state funding for Sheriff and jail in the General Fund.,FY-10 which partially supplanted reduced state funding for Sheriff and jail in the General Fund.,FY-10 which partially supplanted reduced state funding for Sheriff and jail in the General Fund.,FY-10 which partially supplanted reduced state funding for Sheriff and jail in the General Fund.,FY-10 which partially supplanted reduced state funding for Sheriff and jail in the General Fund.,FY-10 which partially supplanted reduced state funding for Sheriff and jail in the General Fund.,FY-10 which partially supplanted reduced state funding for Sheriff and jail in the General Fund.,,
,,REVENUE FROM THE FEDERAL GOVERNMENT,REVENUE FROM THE FEDERAL GOVERNMENT,REVENUE FROM THE FEDERAL GOVERNMENT,REVENUE FROM THE FEDERAL GOVERNMENT,REVENUE FROM THE FEDERAL GOVERNMENT,,,Millions,Millions
4000%,,,,,,,,,,$16
3536.7%,,,,,,,,,,
3500%,,,,,,,,,,$14
3000%,,,,,,,,,,$12
2500%,,,,,2237.7%,,,,,$10
2000%,,,,,,,,,,$8
1500%,,,,,,,,,,$6
1000%,,647.6%,,,,,,,,$4
500%,,,,,,,,,,$2
,,,,40.5%,,134.5%,,,,
0%,,,,,,,,,,$0
-500%,-96.9%,,-96.9%,,,,-97.0%,-57.2%,-3.5%,($2)
2004,2005,2006,2007,2008,2009,2010,2011,Budget,Forecast,
,,,,,,,,2012,2013,
,,,Change,,,Total Revenue,Total Revenue,,,
CHESAPEAKE GENERAL FUND FEDERAL INTERGOVERNMENTAL REVENUES,CHESAPEAKE GENERAL FUND FEDERAL INTERGOVERNMENTAL REVENUES,CHESAPEAKE GENERAL FUND FEDERAL INTERGOVERNMENTAL REVENUES,CHESAPEAKE GENERAL FUND FEDERAL INTERGOVERNMENTAL REVENUES,CHESAPEAKE GENERAL FUND FEDERAL INTERGOVERNMENTAL REVENUES,CHESAPEAKE GENERAL FUND FEDERAL INTERGOVERNMENTAL REVENUES,CHESAPEAKE GENERAL FUND FEDERAL INTERGOVERNMENTAL REVENUES,CHESAPEAKE GENERAL FUND FEDERAL INTERGOVERNMENTAL REVENUES,CHESAPEAKE GENERAL FUND FEDERAL INTERGOVERNMENTAL REVENUES,,
Fiscal Year,Fiscal Year,Non-Categorical,Non-Categorical,Categorical,Categorical,Total Revenue,Total Revenue,Change,,
2004,2004,"$61,553","$61,553","$13,114,934","$13,114,934","$13,176,487","$13,176,487",3536.7%,,
2005,2005,"$51,819","$51,819","$360,684","$360,684","$412,503","$412,503",-96.9%,,
2006,2006,"$61,630","$61,630","$3,022,150","$3,022,150","$3,083,780","$3,083,780",647.6%,,
2007,2007,"$55,778","$55,778",,"$40,500","$96,278","$96,278",-96.9%,,
2008,2008,"$55,470","$55,470",,"$79,841","$135,311","$135,311",40.5%,,
2009,2009,"$43,644","$43,644","$3,119,575","$3,119,575","$3,163,219","$3,163,219",2237.7%,,
2010,2010,"$42,600","$42,600","$7,376,452","$7,376,452","$7,419,052","$7,419,052",134.5%,,
2011,2011,"$34,030","$34,030","$190,023","$190,023","$224,053","$224,053",-97.0%,,
Budget 2012,Budget 2012,"$47,240","$47,240",,"$48,740","$95,980","$95,980",-57.2%,,
Forecast 2013,Forecast 2013,"$34,030","$34,030",,"$58,633","$92,663","$92,663",-3.5%,,
