Name: “Table 1 of 1 on page 33 of 78”,Name: “Table 1 of 1 on page 33 of 78”,Name: “Table 1 of 1 on page 33 of 78”,Name: “Table 1 of 1 on page 33 of 78”,Name: “Table 1 of 1 on page 33 of 78”,Name: “Table 1 of 1 on page 33 of 78”,Name: “Table 1 of 1 on page 33 of 78”,Name: “Table 1 of 1 on page 33 of 78”,Name: “Table 1 of 1 on page 33 of 78”,Name: “Table 1 of 1 on page 33 of 78”,Name: “Table 1 of 1 on page 33 of 78”
Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33
,,,,,,,,,,
"City of Chesapeake, Virginia","City of Chesapeake, Virginia","City of Chesapeake, Virginia",,,,,,,,
FY2012-13 Operating Budget,FY2012-13 Operating Budget,FY2012-13 Operating Budget,,,,,,,,
REVENUE BUDGET,REVENUE BUDGET,,,,,,,,DESCRIPTION OF FUNDS,DESCRIPTION OF FUNDS
Chesapeake Juvenile Services Fund - 208,Chesapeake Juvenile Services Fund - 208,Chesapeake Juvenile Services Fund - 208,Chesapeake Juvenile Services Fund - 208,,,,,,,
This fund was established during the FY04 budgeting process in order to account for revenues and expenditures related,This fund was established during the FY04 budgeting process in order to account for revenues and expenditures related,This fund was established during the FY04 budgeting process in order to account for revenues and expenditures related,This fund was established during the FY04 budgeting process in order to account for revenues and expenditures related,This fund was established during the FY04 budgeting process in order to account for revenues and expenditures related,This fund was established during the FY04 budgeting process in order to account for revenues and expenditures related,This fund was established during the FY04 budgeting process in order to account for revenues and expenditures related,This fund was established during the FY04 budgeting process in order to account for revenues and expenditures related,This fund was established during the FY04 budgeting process in order to account for revenues and expenditures related,This fund was established during the FY04 budgeting process in order to account for revenues and expenditures related,This fund was established during the FY04 budgeting process in order to account for revenues and expenditures related
exclusively to operation of the Juvenile Detention Facility. These activities were previously budgeted under the General,exclusively to operation of the Juvenile Detention Facility. These activities were previously budgeted under the General,exclusively to operation of the Juvenile Detention Facility. These activities were previously budgeted under the General,exclusively to operation of the Juvenile Detention Facility. These activities were previously budgeted under the General,exclusively to operation of the Juvenile Detention Facility. These activities were previously budgeted under the General,exclusively to operation of the Juvenile Detention Facility. These activities were previously budgeted under the General,exclusively to operation of the Juvenile Detention Facility. These activities were previously budgeted under the General,exclusively to operation of the Juvenile Detention Facility. These activities were previously budgeted under the General,exclusively to operation of the Juvenile Detention Facility. These activities were previously budgeted under the General,exclusively to operation of the Juvenile Detention Facility. These activities were previously budgeted under the General,exclusively to operation of the Juvenile Detention Facility. These activities were previously budgeted under the General
Fund. The revenues are primarily payments by other localities for juveniles served by the center and state categorical aid.,Fund. The revenues are primarily payments by other localities for juveniles served by the center and state categorical aid.,Fund. The revenues are primarily payments by other localities for juveniles served by the center and state categorical aid.,Fund. The revenues are primarily payments by other localities for juveniles served by the center and state categorical aid.,Fund. The revenues are primarily payments by other localities for juveniles served by the center and state categorical aid.,Fund. The revenues are primarily payments by other localities for juveniles served by the center and state categorical aid.,Fund. The revenues are primarily payments by other localities for juveniles served by the center and state categorical aid.,Fund. The revenues are primarily payments by other localities for juveniles served by the center and state categorical aid.,Fund. The revenues are primarily payments by other localities for juveniles served by the center and state categorical aid.,Fund. The revenues are primarily payments by other localities for juveniles served by the center and state categorical aid.,Fund. The revenues are primarily payments by other localities for juveniles served by the center and state categorical aid.
"In October 2004, Virginia Beach opened a 90-bed facility of its own, reducing the amount of revenue previously earned by","In October 2004, Virginia Beach opened a 90-bed facility of its own, reducing the amount of revenue previously earned by","In October 2004, Virginia Beach opened a 90-bed facility of its own, reducing the amount of revenue previously earned by","In October 2004, Virginia Beach opened a 90-bed facility of its own, reducing the amount of revenue previously earned by","In October 2004, Virginia Beach opened a 90-bed facility of its own, reducing the amount of revenue previously earned by","In October 2004, Virginia Beach opened a 90-bed facility of its own, reducing the amount of revenue previously earned by","In October 2004, Virginia Beach opened a 90-bed facility of its own, reducing the amount of revenue previously earned by","In October 2004, Virginia Beach opened a 90-bed facility of its own, reducing the amount of revenue previously earned by","In October 2004, Virginia Beach opened a 90-bed facility of its own, reducing the amount of revenue previously earned by","In October 2004, Virginia Beach opened a 90-bed facility of its own, reducing the amount of revenue previously earned by","In October 2004, Virginia Beach opened a 90-bed facility of its own, reducing the amount of revenue previously earned by"
housing that City's detained juveniles at the Chesapeake home.,housing that City's detained juveniles at the Chesapeake home.,housing that City's detained juveniles at the Chesapeake home.,housing that City's detained juveniles at the Chesapeake home.,housing that City's detained juveniles at the Chesapeake home.,housing that City's detained juveniles at the Chesapeake home.,,,,,
,,,,JUVENILE SERVICES FUND,JUVENILE SERVICES FUND,JUVENILE SERVICES FUND,,,,
,,,,,,,,,,Millions
30%,,,,,,,,,,$7
,,,,,23.4%,,,,,
25%,,,,,,,,,,
,,,,,,,,,,$6
20%,,,,,,,,,,
15%,,,,,,,,,,$5
10%,,,,,,,,,,
,,,,,,,,,,3.5%
5%,1.0%,,,,,,,,,$4
0%,,,,,,,,,,$3
-5%,,,,,,,,-0.8%,-1.9%,
-10%,,,-6.0%,,,,,,,$2
,,,,,,-8.4%,,,,
-15%,,,,,,,,,,
,,,,,,,,,,$1
-20%,,-17.3%,,,,,-17.2%,,,
,,,,-20.1%,,,,,,
-25%,,,,,,,,,,$0
,2004,2005,2006,2007,2008,2009,2010,2011,Budget,Forecast
,,,,,,,,,2012,2013
,,,,Change,,,Revenue,,,
,,CHESAPEAKE CHESAPEAKE JUVENILE SERVICES FUND - 208 REVENUES,CHESAPEAKE CHESAPEAKE JUVENILE SERVICES FUND - 208 REVENUES,CHESAPEAKE CHESAPEAKE JUVENILE SERVICES FUND - 208 REVENUES,CHESAPEAKE CHESAPEAKE JUVENILE SERVICES FUND - 208 REVENUES,CHESAPEAKE CHESAPEAKE JUVENILE SERVICES FUND - 208 REVENUES,CHESAPEAKE CHESAPEAKE JUVENILE SERVICES FUND - 208 REVENUES,CHESAPEAKE CHESAPEAKE JUVENILE SERVICES FUND - 208 REVENUES,CHESAPEAKE CHESAPEAKE JUVENILE SERVICES FUND - 208 REVENUES,
,,,Fiscal Year,Fiscal Year,Revenue,Revenue,Change,Change,,
,,,,2004,"$6,152,144","$6,152,144",1.0%,1.0%,,
,,,,2005,"$5,085,224","$5,085,224",-17.3%,-17.3%,,
,,,,2006,"$4,779,540","$4,779,540",-6.0%,-6.0%,,
,,,,2007,"$3,821,186","$3,821,186",-20.1%,-20.1%,,
,,,,2008,"$4,717,240","$4,717,240",23.4%,23.4%,,
,,,,2009,"$4,321,424","$4,321,424",-8.4%,-8.4%,,
,,,,2010,"$3,576,618","$3,576,618",-17.2%,-17.2%,,
,,,,2011,"$3,548,435","$3,548,435",-0.8%,-0.8%,,
,,,Budget 2012,Budget 2012,"$3,482,180","$3,482,180",-1.9%,-1.9%,,
,,,Forecast 2013,Forecast 2013,"$3,605,319","$3,605,319",3.5%,3.5%,,
FY 2012-13 Operating Budget,FY 2012-13 Operating Budget,FY 2012-13 Operating Budget,,,66,,,,"As Amended June 12, 2012","As Amended June 12, 2012"
