Name: “Table 1 of 1 on page 21 of 78”,Name: “Table 1 of 1 on page 21 of 78”,Name: “Table 1 of 1 on page 21 of 78”,Name: “Table 1 of 1 on page 21 of 78”,Name: “Table 1 of 1 on page 21 of 78”,Name: “Table 1 of 1 on page 21 of 78”,Name: “Table 1 of 1 on page 21 of 78”,Name: “Table 1 of 1 on page 21 of 78”,Name: “Table 1 of 1 on page 21 of 78”,Name: “Table 1 of 1 on page 21 of 78”
Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21
,,,,,,,,,
"City of Chesapeake, Virginia","City of Chesapeake, Virginia",,,,,,,,
FY2012-13 Operating Budget,FY2012-13 Operating Budget,,,,,,,,
REVENUE BUDGET,,,,,,,,DESCRIPTION OF FUNDS,DESCRIPTION OF FUNDS
"Permits, Privilege Fees and Regulatory Licenses","Permits, Privilege Fees and Regulatory Licenses","Permits, Privilege Fees and Regulatory Licenses","Permits, Privilege Fees and Regulatory Licenses",,,,,,
The City requires that licenses or permits be obtained in order to perform certain activities in the City and that,The City requires that licenses or permits be obtained in order to perform certain activities in the City and that,The City requires that licenses or permits be obtained in order to perform certain activities in the City and that,The City requires that licenses or permits be obtained in order to perform certain activities in the City and that,The City requires that licenses or permits be obtained in order to perform certain activities in the City and that,The City requires that licenses or permits be obtained in order to perform certain activities in the City and that,The City requires that licenses or permits be obtained in order to perform certain activities in the City and that,The City requires that licenses or permits be obtained in order to perform certain activities in the City and that,The City requires that licenses or permits be obtained in order to perform certain activities in the City and that,The City requires that licenses or permits be obtained in order to perform certain activities in the City and that
"fees be paid for services provided by certain City departments. These fees include building permits, inspections,","fees be paid for services provided by certain City departments. These fees include building permits, inspections,","fees be paid for services provided by certain City departments. These fees include building permits, inspections,","fees be paid for services provided by certain City departments. These fees include building permits, inspections,","fees be paid for services provided by certain City departments. These fees include building permits, inspections,","fees be paid for services provided by certain City departments. These fees include building permits, inspections,","fees be paid for services provided by certain City departments. These fees include building permits, inspections,","fees be paid for services provided by certain City departments. These fees include building permits, inspections,","fees be paid for services provided by certain City departments. These fees include building permits, inspections,","fees be paid for services provided by certain City departments. These fees include building permits, inspections,"
"animal licenses, and various other permits. Fire Department permit fees are posted to Fund 204 (Fee Supported","animal licenses, and various other permits. Fire Department permit fees are posted to Fund 204 (Fee Supported","animal licenses, and various other permits. Fire Department permit fees are posted to Fund 204 (Fee Supported","animal licenses, and various other permits. Fire Department permit fees are posted to Fund 204 (Fee Supported","animal licenses, and various other permits. Fire Department permit fees are posted to Fund 204 (Fee Supported","animal licenses, and various other permits. Fire Department permit fees are posted to Fund 204 (Fee Supported","animal licenses, and various other permits. Fire Department permit fees are posted to Fund 204 (Fee Supported","animal licenses, and various other permits. Fire Department permit fees are posted to Fund 204 (Fee Supported","animal licenses, and various other permits. Fire Department permit fees are posted to Fund 204 (Fee Supported","animal licenses, and various other permits. Fire Department permit fees are posted to Fund 204 (Fee Supported"
"Activities). Construction permits constitute the largest portion of this revenue, so that year-to-year changes in the","Activities). Construction permits constitute the largest portion of this revenue, so that year-to-year changes in the","Activities). Construction permits constitute the largest portion of this revenue, so that year-to-year changes in the","Activities). Construction permits constitute the largest portion of this revenue, so that year-to-year changes in the","Activities). Construction permits constitute the largest portion of this revenue, so that year-to-year changes in the","Activities). Construction permits constitute the largest portion of this revenue, so that year-to-year changes in the","Activities). Construction permits constitute the largest portion of this revenue, so that year-to-year changes in the","Activities). Construction permits constitute the largest portion of this revenue, so that year-to-year changes in the","Activities). Construction permits constitute the largest portion of this revenue, so that year-to-year changes in the","Activities). Construction permits constitute the largest portion of this revenue, so that year-to-year changes in the"
