Name: “Table 1 of 1 on page 19 of 78”,Name: “Table 1 of 1 on page 19 of 78”,Name: “Table 1 of 1 on page 19 of 78”,Name: “Table 1 of 1 on page 19 of 78”,Name: “Table 1 of 1 on page 19 of 78”,Name: “Table 1 of 1 on page 19 of 78”,Name: “Table 1 of 1 on page 19 of 78”,Name: “Table 1 of 1 on page 19 of 78”,Name: “Table 1 of 1 on page 19 of 78”,Name: “Table 1 of 1 on page 19 of 78”,Name: “Table 1 of 1 on page 19 of 78”
Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19
,,,,,,,,,,
"City of Chesapeake, Virginia","City of Chesapeake, Virginia","City of Chesapeake, Virginia",,,,,,,,
FY2012-13 Operating Budget,FY2012-13 Operating Budget,FY2012-13 Operating Budget,,,,,,,,
REVENUE BUDGET,REVENUE BUDGET,,,,,,,,DESCRIPTION OF FUNDS,DESCRIPTION OF FUNDS
Public Service Corporation Tax,Public Service Corporation Tax,Public Service Corporation Tax,Public Service Corporation Tax,,,,,,,
This item includes both Real Property Tax and Personal Property Tax levied on Public Service Corporations,This item includes both Real Property Tax and Personal Property Tax levied on Public Service Corporations,This item includes both Real Property Tax and Personal Property Tax levied on Public Service Corporations,This item includes both Real Property Tax and Personal Property Tax levied on Public Service Corporations,This item includes both Real Property Tax and Personal Property Tax levied on Public Service Corporations,This item includes both Real Property Tax and Personal Property Tax levied on Public Service Corporations,This item includes both Real Property Tax and Personal Property Tax levied on Public Service Corporations,This item includes both Real Property Tax and Personal Property Tax levied on Public Service Corporations,This item includes both Real Property Tax and Personal Property Tax levied on Public Service Corporations,This item includes both Real Property Tax and Personal Property Tax levied on Public Service Corporations,This item includes both Real Property Tax and Personal Property Tax levied on Public Service Corporations
"(""utilities"") regulated by the State Corporation Commission. Assessments of property value are made by the Virginia","(""utilities"") regulated by the State Corporation Commission. Assessments of property value are made by the Virginia","(""utilities"") regulated by the State Corporation Commission. Assessments of property value are made by the Virginia","(""utilities"") regulated by the State Corporation Commission. Assessments of property value are made by the Virginia","(""utilities"") regulated by the State Corporation Commission. Assessments of property value are made by the Virginia","(""utilities"") regulated by the State Corporation Commission. Assessments of property value are made by the Virginia","(""utilities"") regulated by the State Corporation Commission. Assessments of property value are made by the Virginia","(""utilities"") regulated by the State Corporation Commission. Assessments of property value are made by the Virginia","(""utilities"") regulated by the State Corporation Commission. Assessments of property value are made by the Virginia","(""utilities"") regulated by the State Corporation Commission. Assessments of property value are made by the Virginia","(""utilities"") regulated by the State Corporation Commission. Assessments of property value are made by the Virginia"
Department of Taxation and communicated by that agency to the Commissioner of the Revenue. The amounts,Department of Taxation and communicated by that agency to the Commissioner of the Revenue. The amounts,Department of Taxation and communicated by that agency to the Commissioner of the Revenue. The amounts,Department of Taxation and communicated by that agency to the Commissioner of the Revenue. The amounts,Department of Taxation and communicated by that agency to the Commissioner of the Revenue. The amounts,Department of Taxation and communicated by that agency to the Commissioner of the Revenue. The amounts,Department of Taxation and communicated by that agency to the Commissioner of the Revenue. The amounts,Department of Taxation and communicated by that agency to the Commissioner of the Revenue. The amounts,Department of Taxation and communicated by that agency to the Commissioner of the Revenue. The amounts,Department of Taxation and communicated by that agency to the Commissioner of the Revenue. The amounts,Department of Taxation and communicated by that agency to the Commissioner of the Revenue. The amounts
shown here are only the General Fund portion of the tax. The mosquito control portion is included in the revenue for,shown here are only the General Fund portion of the tax. The mosquito control portion is included in the revenue for,shown here are only the General Fund portion of the tax. The mosquito control portion is included in the revenue for,shown here are only the General Fund portion of the tax. The mosquito control portion is included in the revenue for,shown here are only the General Fund portion of the tax. The mosquito control portion is included in the revenue for,shown here are only the General Fund portion of the tax. The mosquito control portion is included in the revenue for,shown here are only the General Fund portion of the tax. The mosquito control portion is included in the revenue for,shown here are only the General Fund portion of the tax. The mosquito control portion is included in the revenue for,shown here are only the General Fund portion of the tax. The mosquito control portion is included in the revenue for,shown here are only the General Fund portion of the tax. The mosquito control portion is included in the revenue for,shown here are only the General Fund portion of the tax. The mosquito control portion is included in the revenue for
Fund 800.,,,,,,,,,,
,,GENERAL FUND PUBLIC SERVICE CORPORATION PROPERTY TAXES,GENERAL FUND PUBLIC SERVICE CORPORATION PROPERTY TAXES,GENERAL FUND PUBLIC SERVICE CORPORATION PROPERTY TAXES,GENERAL FUND PUBLIC SERVICE CORPORATION PROPERTY TAXES,GENERAL FUND PUBLIC SERVICE CORPORATION PROPERTY TAXES,GENERAL FUND PUBLIC SERVICE CORPORATION PROPERTY TAXES,GENERAL FUND PUBLIC SERVICE CORPORATION PROPERTY TAXES,,
,,,,,,,,,,Millions
12%,,,,,,,,,,$11.5
10%,9.2%,,,,,,,,,
8%,,,,,,,,,,$11.0
,,,,,,5.8%,,,,
