Name: “Table 1 of 1 on page 35 of 78”,Name: “Table 1 of 1 on page 35 of 78”,Name: “Table 1 of 1 on page 35 of 78”,Name: “Table 1 of 1 on page 35 of 78”,Name: “Table 1 of 1 on page 35 of 78”,Name: “Table 1 of 1 on page 35 of 78”,Name: “Table 1 of 1 on page 35 of 78”,Name: “Table 1 of 1 on page 35 of 78”,Name: “Table 1 of 1 on page 35 of 78”,Name: “Table 1 of 1 on page 35 of 78”,Name: “Table 1 of 1 on page 35 of 78”
Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35
,,,,,,,,,,
"City of Chesapeake, Virginia","City of Chesapeake, Virginia","City of Chesapeake, Virginia",,,,,,,,
FY2012-13 Operating Budget,FY2012-13 Operating Budget,FY2012-13 Operating Budget,,,,,,,,
REVENUE BUDGET,REVENUE BUDGET,,,,,,,,DESCRIPTION OF FUNDS,DESCRIPTION OF FUNDS
Open Space Agricultural Preservation Fund - 210,Open Space Agricultural Preservation Fund - 210,Open Space Agricultural Preservation Fund - 210,Open Space Agricultural Preservation Fund - 210,Open Space Agricultural Preservation Fund - 210,,,,,,
The Open Space Agricultural Preservation Fund was established to account for transactiond related to the acquisition of,The Open Space Agricultural Preservation Fund was established to account for transactiond related to the acquisition of,The Open Space Agricultural Preservation Fund was established to account for transactiond related to the acquisition of,The Open Space Agricultural Preservation Fund was established to account for transactiond related to the acquisition of,The Open Space Agricultural Preservation Fund was established to account for transactiond related to the acquisition of,The Open Space Agricultural Preservation Fund was established to account for transactiond related to the acquisition of,The Open Space Agricultural Preservation Fund was established to account for transactiond related to the acquisition of,The Open Space Agricultural Preservation Fund was established to account for transactiond related to the acquisition of,The Open Space Agricultural Preservation Fund was established to account for transactiond related to the acquisition of,The Open Space Agricultural Preservation Fund was established to account for transactiond related to the acquisition of,The Open Space Agricultural Preservation Fund was established to account for transactiond related to the acquisition of
"conservation easements and other efforts to preserve open space. A specific amount ($271,284 in FY11 and FY 12) of","conservation easements and other efforts to preserve open space. A specific amount ($271,284 in FY11 and FY 12) of","conservation easements and other efforts to preserve open space. A specific amount ($271,284 in FY11 and FY 12) of","conservation easements and other efforts to preserve open space. A specific amount ($271,284 in FY11 and FY 12) of","conservation easements and other efforts to preserve open space. A specific amount ($271,284 in FY11 and FY 12) of","conservation easements and other efforts to preserve open space. A specific amount ($271,284 in FY11 and FY 12) of","conservation easements and other efforts to preserve open space. A specific amount ($271,284 in FY11 and FY 12) of","conservation easements and other efforts to preserve open space. A specific amount ($271,284 in FY11 and FY 12) of","conservation easements and other efforts to preserve open space. A specific amount ($271,284 in FY11 and FY 12) of","conservation easements and other efforts to preserve open space. A specific amount ($271,284 in FY11 and FY 12) of","conservation easements and other efforts to preserve open space. A specific amount ($271,284 in FY11 and FY 12) of"
General Fund real estate taxes are committed to this fund as revenues in accordance with Governmental Accounting,General Fund real estate taxes are committed to this fund as revenues in accordance with Governmental Accounting,General Fund real estate taxes are committed to this fund as revenues in accordance with Governmental Accounting,General Fund real estate taxes are committed to this fund as revenues in accordance with Governmental Accounting,General Fund real estate taxes are committed to this fund as revenues in accordance with Governmental Accounting,General Fund real estate taxes are committed to this fund as revenues in accordance with Governmental Accounting,General Fund real estate taxes are committed to this fund as revenues in accordance with Governmental Accounting,General Fund real estate taxes are committed to this fund as revenues in accordance with Governmental Accounting,General Fund real estate taxes are committed to this fund as revenues in accordance with Governmental Accounting,General Fund real estate taxes are committed to this fund as revenues in accordance with Governmental Accounting,General Fund real estate taxes are committed to this fund as revenues in accordance with Governmental Accounting
"Standards Board (GASB) Statement 54, as are any proceeds from street closure land sales.","Standards Board (GASB) Statement 54, as are any proceeds from street closure land sales.","Standards Board (GASB) Statement 54, as are any proceeds from street closure land sales.","Standards Board (GASB) Statement 54, as are any proceeds from street closure land sales.","Standards Board (GASB) Statement 54, as are any proceeds from street closure land sales.","Standards Board (GASB) Statement 54, as are any proceeds from street closure land sales.","Standards Board (GASB) Statement 54, as are any proceeds from street closure land sales.","Standards Board (GASB) Statement 54, as are any proceeds from street closure land sales.","Standards Board (GASB) Statement 54, as are any proceeds from street closure land sales.",,
Parks & Recreation Fund - 213,Parks & Recreation Fund - 213,Parks & Recreation Fund - 213,,,,,,,,
Established during the FY09 budgeting process in order to consolidate under one fund revenues and expenditures,Established during the FY09 budgeting process in order to consolidate under one fund revenues and expenditures,Established during the FY09 budgeting process in order to consolidate under one fund revenues and expenditures,Established during the FY09 budgeting process in order to consolidate under one fund revenues and expenditures,Established during the FY09 budgeting process in order to consolidate under one fund revenues and expenditures,Established during the FY09 budgeting process in order to consolidate under one fund revenues and expenditures,Established during the FY09 budgeting process in order to consolidate under one fund revenues and expenditures,Established during the FY09 budgeting process in order to consolidate under one fund revenues and expenditures,Established during the FY09 budgeting process in order to consolidate under one fund revenues and expenditures,Established during the FY09 budgeting process in order to consolidate under one fund revenues and expenditures,Established during the FY09 budgeting process in order to consolidate under one fund revenues and expenditures
