Name: “Table 1 of 1 on page 38 of 78”,Name: “Table 1 of 1 on page 38 of 78”,Name: “Table 1 of 1 on page 38 of 78”,Name: “Table 1 of 1 on page 38 of 78”,Name: “Table 1 of 1 on page 38 of 78”,Name: “Table 1 of 1 on page 38 of 78”,Name: “Table 1 of 1 on page 38 of 78”,Name: “Table 1 of 1 on page 38 of 78”,Name: “Table 1 of 1 on page 38 of 78”,Name: “Table 1 of 1 on page 38 of 78”
Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38
,,,,,,,,,
"City of Chesapeake, Virginia","City of Chesapeake, Virginia",,,,,,,,
FY2012-13 Operating Budget,FY2012-13 Operating Budget,FY2012-13 Operating Budget,,,,,,,
REVENUE BUDGET,,,,,,,,DESCRIPTION OF FUNDS,DESCRIPTION OF FUNDS
Stormwater Enterprise Fund - 520,Stormwater Enterprise Fund - 520,Stormwater Enterprise Fund - 520,,,,,,,
Established to account for revenues and expenditures related to the operation of the Stormwater Management,Established to account for revenues and expenditures related to the operation of the Stormwater Management,Established to account for revenues and expenditures related to the operation of the Stormwater Management,Established to account for revenues and expenditures related to the operation of the Stormwater Management,Established to account for revenues and expenditures related to the operation of the Stormwater Management,Established to account for revenues and expenditures related to the operation of the Stormwater Management,Established to account for revenues and expenditures related to the operation of the Stormwater Management,Established to account for revenues and expenditures related to the operation of the Stormwater Management,Established to account for revenues and expenditures related to the operation of the Stormwater Management,Established to account for revenues and expenditures related to the operation of the Stormwater Management
Division of Public Works. The primary source of revenue in this enterprise fund is from a Stormwater Utility Fee assessed,Division of Public Works. The primary source of revenue in this enterprise fund is from a Stormwater Utility Fee assessed,Division of Public Works. The primary source of revenue in this enterprise fund is from a Stormwater Utility Fee assessed,Division of Public Works. The primary source of revenue in this enterprise fund is from a Stormwater Utility Fee assessed,Division of Public Works. The primary source of revenue in this enterprise fund is from a Stormwater Utility Fee assessed,Division of Public Works. The primary source of revenue in this enterprise fund is from a Stormwater Utility Fee assessed,Division of Public Works. The primary source of revenue in this enterprise fund is from a Stormwater Utility Fee assessed,Division of Public Works. The primary source of revenue in this enterprise fund is from a Stormwater Utility Fee assessed,Division of Public Works. The primary source of revenue in this enterprise fund is from a Stormwater Utility Fee assessed,Division of Public Works. The primary source of revenue in this enterprise fund is from a Stormwater Utility Fee assessed
on real estate. The fund also receives Interest Income on unspent cash balances along with Interest and Service Charges,on real estate. The fund also receives Interest Income on unspent cash balances along with Interest and Service Charges,on real estate. The fund also receives Interest Income on unspent cash balances along with Interest and Service Charges,on real estate. The fund also receives Interest Income on unspent cash balances along with Interest and Service Charges,on real estate. The fund also receives Interest Income on unspent cash balances along with Interest and Service Charges,on real estate. The fund also receives Interest Income on unspent cash balances along with Interest and Service Charges,on real estate. The fund also receives Interest Income on unspent cash balances along with Interest and Service Charges,on real estate. The fund also receives Interest Income on unspent cash balances along with Interest and Service Charges,on real estate. The fund also receives Interest Income on unspent cash balances along with Interest and Service Charges,on real estate. The fund also receives Interest Income on unspent cash balances along with Interest and Service Charges
on delinquent Stormwater Utility Fees. The current rate is $7.85 per Residential Equivalent Unit.,on delinquent Stormwater Utility Fees. The current rate is $7.85 per Residential Equivalent Unit.,on delinquent Stormwater Utility Fees. The current rate is $7.85 per Residential Equivalent Unit.,on delinquent Stormwater Utility Fees. The current rate is $7.85 per Residential Equivalent Unit.,on delinquent Stormwater Utility Fees. The current rate is $7.85 per Residential Equivalent Unit.,on delinquent Stormwater Utility Fees. The current rate is $7.85 per Residential Equivalent Unit.,on delinquent Stormwater Utility Fees. The current rate is $7.85 per Residential Equivalent Unit.,on delinquent Stormwater Utility Fees. The current rate is $7.85 per Residential Equivalent Unit.,on delinquent Stormwater Utility Fees. The current rate is $7.85 per Residential Equivalent Unit.,
