Name: “Table 1 of 1 on page 32 of 78”,Name: “Table 1 of 1 on page 32 of 78”,Name: “Table 1 of 1 on page 32 of 78”,Name: “Table 1 of 1 on page 32 of 78”,Name: “Table 1 of 1 on page 32 of 78”,Name: “Table 1 of 1 on page 32 of 78”,Name: “Table 1 of 1 on page 32 of 78”,Name: “Table 1 of 1 on page 32 of 78”,Name: “Table 1 of 1 on page 32 of 78”,Name: “Table 1 of 1 on page 32 of 78”,Name: “Table 1 of 1 on page 32 of 78”
Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32
,,,,,,,,,,
"City of Chesapeake, Virginia","City of Chesapeake, Virginia",,,,,,,,,
FY2012-13 Operating Budget,FY2012-13 Operating Budget,,,,,,,,,
REVENUE BUDGET,,,,,,,,DESCRIPTION OF FUNDS,DESCRIPTION OF FUNDS,DESCRIPTION OF FUNDS
Emergency Communications Fund - 207,Emergency Communications Fund - 207,Emergency Communications Fund - 207,,,,,,,,
The Emergency Communications Fund was established during the FY04 budgeting process in order to account for,The Emergency Communications Fund was established during the FY04 budgeting process in order to account for,The Emergency Communications Fund was established during the FY04 budgeting process in order to account for,The Emergency Communications Fund was established during the FY04 budgeting process in order to account for,The Emergency Communications Fund was established during the FY04 budgeting process in order to account for,The Emergency Communications Fund was established during the FY04 budgeting process in order to account for,The Emergency Communications Fund was established during the FY04 budgeting process in order to account for,The Emergency Communications Fund was established during the FY04 budgeting process in order to account for,The Emergency Communications Fund was established during the FY04 budgeting process in order to account for,The Emergency Communications Fund was established during the FY04 budgeting process in order to account for,The Emergency Communications Fund was established during the FY04 budgeting process in order to account for
revenues and expenditures related to operation of the Emergency Operations Center (EOC). These activities were,revenues and expenditures related to operation of the Emergency Operations Center (EOC). These activities were,revenues and expenditures related to operation of the Emergency Operations Center (EOC). These activities were,revenues and expenditures related to operation of the Emergency Operations Center (EOC). These activities were,revenues and expenditures related to operation of the Emergency Operations Center (EOC). These activities were,revenues and expenditures related to operation of the Emergency Operations Center (EOC). These activities were,revenues and expenditures related to operation of the Emergency Operations Center (EOC). These activities were,revenues and expenditures related to operation of the Emergency Operations Center (EOC). These activities were,revenues and expenditures related to operation of the Emergency Operations Center (EOC). These activities were,revenues and expenditures related to operation of the Emergency Operations Center (EOC). These activities were,revenues and expenditures related to operation of the Emergency Operations Center (EOC). These activities were
previously budgeted under the General Fund. The principal revenues in this fund were Wireless E911 Funding from the,previously budgeted under the General Fund. The principal revenues in this fund were Wireless E911 Funding from the,previously budgeted under the General Fund. The principal revenues in this fund were Wireless E911 Funding from the,previously budgeted under the General Fund. The principal revenues in this fund were Wireless E911 Funding from the,previously budgeted under the General Fund. The principal revenues in this fund were Wireless E911 Funding from the,previously budgeted under the General Fund. The principal revenues in this fund were Wireless E911 Funding from the,previously budgeted under the General Fund. The principal revenues in this fund were Wireless E911 Funding from the,previously budgeted under the General Fund. The principal revenues in this fund were Wireless E911 Funding from the,previously budgeted under the General Fund. The principal revenues in this fund were Wireless E911 Funding from the,previously budgeted under the General Fund. The principal revenues in this fund were Wireless E911 Funding from the,previously budgeted under the General Fund. The principal revenues in this fund were Wireless E911 Funding from the
"State and the local E-911 telephone tax, supplemented by an annual budget transfer from the General Fund.","State and the local E-911 telephone tax, supplemented by an annual budget transfer from the General Fund.","State and the local E-911 telephone tax, supplemented by an annual budget transfer from the General Fund.","State and the local E-911 telephone tax, supplemented by an annual budget transfer from the General Fund.","State and the local E-911 telephone tax, supplemented by an annual budget transfer from the General Fund.","State and the local E-911 telephone tax, supplemented by an annual budget transfer from the General Fund.","State and the local E-911 telephone tax, supplemented by an annual budget transfer from the General Fund.","State and the local E-911 telephone tax, supplemented by an annual budget transfer from the General Fund.","State and the local E-911 telephone tax, supplemented by an annual budget transfer from the General Fund.","State and the local E-911 telephone tax, supplemented by an annual budget transfer from the General Fund.",
The Telecommunications Tax Reform Act HB568 eliminated the local E-911 telephone tax by consolidating and,The Telecommunications Tax Reform Act HB568 eliminated the local E-911 telephone tax by consolidating and,The Telecommunications Tax Reform Act HB568 eliminated the local E-911 telephone tax by consolidating and,The Telecommunications Tax Reform Act HB568 eliminated the local E-911 telephone tax by consolidating and,The Telecommunications Tax Reform Act HB568 eliminated the local E-911 telephone tax by consolidating and,The Telecommunications Tax Reform Act HB568 eliminated the local E-911 telephone tax by consolidating and,The Telecommunications Tax Reform Act HB568 eliminated the local E-911 telephone tax by consolidating and,The Telecommunications Tax Reform Act HB568 eliminated the local E-911 telephone tax by consolidating and,The Telecommunications Tax Reform Act HB568 eliminated the local E-911 telephone tax by consolidating and,The Telecommunications Tax Reform Act HB568 eliminated the local E-911 telephone tax by consolidating and,The Telecommunications Tax Reform Act HB568 eliminated the local E-911 telephone tax by consolidating and
"standardizing communications taxes and rates, centralizing collections in the Virginia Department of Taxation, and sharing","standardizing communications taxes and rates, centralizing collections in the Virginia Department of Taxation, and sharing","standardizing communications taxes and rates, centralizing collections in the Virginia Department of Taxation, and sharing","standardizing communications taxes and rates, centralizing collections in the Virginia Department of Taxation, and sharing","standardizing communications taxes and rates, centralizing collections in the Virginia Department of Taxation, and sharing","standardizing communications taxes and rates, centralizing collections in the Virginia Department of Taxation, and sharing","standardizing communications taxes and rates, centralizing collections in the Virginia Department of Taxation, and sharing","standardizing communications taxes and rates, centralizing collections in the Virginia Department of Taxation, and sharing","standardizing communications taxes and rates, centralizing collections in the Virginia Department of Taxation, and sharing","standardizing communications taxes and rates, centralizing collections in the Virginia Department of Taxation, and sharing","standardizing communications taxes and rates, centralizing collections in the Virginia Department of Taxation, and sharing"
"proceeds among localities after deducting administrative and program expenses beginning January 2007. Until FY2011,","proceeds among localities after deducting administrative and program expenses beginning January 2007. Until FY2011,","proceeds among localities after deducting administrative and program expenses beginning January 2007. Until FY2011,","proceeds among localities after deducting administrative and program expenses beginning January 2007. Until FY2011,","proceeds among localities after deducting administrative and program expenses beginning January 2007. Until FY2011,","proceeds among localities after deducting administrative and program expenses beginning January 2007. Until FY2011,","proceeds among localities after deducting administrative and program expenses beginning January 2007. Until FY2011,","proceeds among localities after deducting administrative and program expenses beginning January 2007. Until FY2011,","proceeds among localities after deducting administrative and program expenses beginning January 2007. Until FY2011,","proceeds among localities after deducting administrative and program expenses beginning January 2007. Until FY2011,","proceeds among localities after deducting administrative and program expenses beginning January 2007. Until FY2011,"
the new tax was posted entirely to the General Fund and the local E-911 tax revenue was supplanted by an increased,the new tax was posted entirely to the General Fund and the local E-911 tax revenue was supplanted by an increased,the new tax was posted entirely to the General Fund and the local E-911 tax revenue was supplanted by an increased,the new tax was posted entirely to the General Fund and the local E-911 tax revenue was supplanted by an increased,the new tax was posted entirely to the General Fund and the local E-911 tax revenue was supplanted by an increased,the new tax was posted entirely to the General Fund and the local E-911 tax revenue was supplanted by an increased,the new tax was posted entirely to the General Fund and the local E-911 tax revenue was supplanted by an increased,the new tax was posted entirely to the General Fund and the local E-911 tax revenue was supplanted by an increased,the new tax was posted entirely to the General Fund and the local E-911 tax revenue was supplanted by an increased,the new tax was posted entirely to the General Fund and the local E-911 tax revenue was supplanted by an increased,the new tax was posted entirely to the General Fund and the local E-911 tax revenue was supplanted by an increased
"transfer from the General Fund. Starting in FY2011, new accounting rules required the transfer from the General Fund to","transfer from the General Fund. Starting in FY2011, new accounting rules required the transfer from the General Fund to","transfer from the General Fund. Starting in FY2011, new accounting rules required the transfer from the General Fund to","transfer from the General Fund. Starting in FY2011, new accounting rules required the transfer from the General Fund to","transfer from the General Fund. Starting in FY2011, new accounting rules required the transfer from the General Fund to","transfer from the General Fund. Starting in FY2011, new accounting rules required the transfer from the General Fund to","transfer from the General Fund. Starting in FY2011, new accounting rules required the transfer from the General Fund to","transfer from the General Fund. Starting in FY2011, new accounting rules required the transfer from the General Fund to","transfer from the General Fund. Starting in FY2011, new accounting rules required the transfer from the General Fund to","transfer from the General Fund. Starting in FY2011, new accounting rules required the transfer from the General Fund to","transfer from the General Fund. Starting in FY2011, new accounting rules required the transfer from the General Fund to"
"be reported as ""committed"" revenues. For the purpose of making possible year-to-year comparisons, the transfers from","be reported as ""committed"" revenues. For the purpose of making possible year-to-year comparisons, the transfers from","be reported as ""committed"" revenues. For the purpose of making possible year-to-year comparisons, the transfers from","be reported as ""committed"" revenues. For the purpose of making possible year-to-year comparisons, the transfers from","be reported as ""committed"" revenues. For the purpose of making possible year-to-year comparisons, the transfers from","be reported as ""committed"" revenues. For the purpose of making possible year-to-year comparisons, the transfers from","be reported as ""committed"" revenues. For the purpose of making possible year-to-year comparisons, the transfers from","be reported as ""committed"" revenues. For the purpose of making possible year-to-year comparisons, the transfers from","be reported as ""committed"" revenues. For the purpose of making possible year-to-year comparisons, the transfers from","be reported as ""committed"" revenues. For the purpose of making possible year-to-year comparisons, the transfers from","be reported as ""committed"" revenues. For the purpose of making possible year-to-year comparisons, the transfers from"
the General Fund are shown along with the revenues in the graph and table given below.,the General Fund are shown along with the revenues in the graph and table given below.,the General Fund are shown along with the revenues in the graph and table given below.,the General Fund are shown along with the revenues in the graph and table given below.,the General Fund are shown along with the revenues in the graph and table given below.,the General Fund are shown along with the revenues in the graph and table given below.,the General Fund are shown along with the revenues in the graph and table given below.,the General Fund are shown along with the revenues in the graph and table given below.,,,
,,EMERGENCY COMMUNICATIONS FUND,EMERGENCY COMMUNICATIONS FUND,EMERGENCY COMMUNICATIONS FUND,EMERGENCY COMMUNICATIONS FUND,EMERGENCY COMMUNICATIONS FUND,,,,Millions
35%,,,,,,,,,,$9
,,,28.8%,,,,,,,
30%,,,,,,,,,,$8
25%,,20.4%,,,,,,,,$7
20%,,,,,,,,,,$6
15%,,,,,,,,,,
,,,,,,,,,,$5
10%,,,,,,,,,,
,,,,,,,,,,$4
5%,2.2%,,,,,,,0.1%,,
0%,,,,,,,,,,$3
-5%,,,,,,-1.1%,,,,$2
,,,,,-2.5%,,,,,
,,,,-4.0%,,,,,,
-10%,,,,,,,,,-5.7%,$1
-15%,,,,,,,,,,$0
,,,,,,,-12.2%,,,
2004,2005,2006,2007,2008,2009,2010,2011,Budget,Forecast,
,,,,,,,,2012,2013,
,,,Change,,,Total Resources,Total Resources,,,
