Name: “Table 1 of 1 on page 18 of 77”,Name: “Table 1 of 1 on page 18 of 77”,Name: “Table 1 of 1 on page 18 of 77”,Name: “Table 1 of 1 on page 18 of 77”,Name: “Table 1 of 1 on page 18 of 77”,Name: “Table 1 of 1 on page 18 of 77”,Name: “Table 1 of 1 on page 18 of 77”,Name: “Table 1 of 1 on page 18 of 77”,Name: “Table 1 of 1 on page 18 of 77”,Name: “Table 1 of 1 on page 18 of 77”
Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18
,,,,,,,,,
,,,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,,,
,,,2003 I 2004 BUDGET,2003 I 2004 BUDGET,2003 I 2004 BUDGET,2003 I 2004 BUDGET,,,
,SUMMARY OF EXPENDITURES,SUMMARY OF EXPENDITURES,,,,,,,
,,,,,,,,INCREASE I,PAGE 5
,,BUDGET FUNCTION,,2002/2003,,2003/2004,,DECREASE,PERCENT
,PPS EXPENDITURES- TOTAL,PPS EXPENDITURES- TOTAL,$,"2,146,822",$,"2,241,557",$,"94,735",4%
,HOMEBOUND/ELEMENTARY,HOMEBOUND/ELEMENTARY,$,"3,230",$,"3,875",$,645,20%
,PES EXPENDITURES- TOTAL,PES EXPENDITURES- TOTAL,$,"2,234,186",$,"2,311 ,135",$,"76,949",3%
,EN~CHMENTSUMMERSCHOOL,EN~CHMENTSUMMERSCHOOL,$,-,$,-,$,-,0%
,PMS,EXPENDITURES -TOTAL,$,"2,692,620",$,"2,806,704",$,"114,084",4%
,HOMEBOUND/SECONDARY,HOMEBOUND/SECONDARY,$,"7,770",$,"8,418",$,648,8%
,PHS EXPENDITURES- TOTAL,PHS EXPENDITURES- TOTAL,$,"4,463,260",$,"4,549,344",$,"86,084",2%
,ADULT EDUCATION,ADULT EDUCATION,$,"9,577",$,"9,960",$,383,4%
,DISTRICT WIDE-ADMIN,DISTRICT WIDE-ADMIN,$,"842,052",$,"992,274",$,"150,222",18%
,ATTENDANCE & HEALTH,ATTENDANCE & HEALTH,$,"258,169",$,"271,074",$,"12,905",5%
,TRANSPORTATION,TRANSPORTATION,$,"632,369",$,"678,498",$,"46,129",7%
,OPERATION/MAINTENANCE,OPERATION/MAINTENANCE,$,"1,377,687",$,"1,419,719",$,"42,032",3%
,FOOD SERVICE,FOOD SERVICE,$,"274,533",$,"280,604",$,"6,071",2%
,TECHNOLOGY,TECHNOLOGY,$,"539,527",$,"590,539",$,"51,012",9%
,SITE ACQUISITION,SITE ACQUISITION,$,"10,550",$,"10,550",$,-,0%
,GRANTS,,$,"572,235",$,"672,820",$,"100,585",18%
,REMEDIAL SUMMER SCHOOL,REMEDIAL SUMMER SCHOOL,$,"28,861",$,"29,813",$,952,3%
,ROUNDING ADJUSTMENT,ROUNDING ADJUSTMENT,$,9,$,-,$,{9),
,TOTAL BUDGET,TOTAL BUDGET,$,"16,093,457",$,"16,876,884",$,"783,427",5%
6/16/2003,3:59 PM,Budget Revenue 2003 2004 FINAL.xls,Budget Revenue 2003 2004 FINAL.xls,,,,,,
