Name: “Table 1 of 1 on page 77 of 77”,Name: “Table 1 of 1 on page 77 of 77”,Name: “Table 1 of 1 on page 77 of 77”,Name: “Table 1 of 1 on page 77 of 77”,Name: “Table 1 of 1 on page 77 of 77”,Name: “Table 1 of 1 on page 77 of 77”,Name: “Table 1 of 1 on page 77 of 77”,Name: “Table 1 of 1 on page 77 of 77”,Name: “Table 1 of 1 on page 77 of 77”
Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77,Table: 77
,,,,,,,,
,,,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,,,
,,,2003/2004 BUDGET,2003/2004 BUDGET,2003/2004 BUDGET,,,
,,,,,,,,PAGE 64
SUMMARY OF EXPENDITURES,SUMMARY OF EXPENDITURES,,,,,,,
BUDGET FUNCTION,BUDGET FUNCTION,,,,,,,
,,,2002/2003,,2003/2004,,,
PPS EXPENDITURES- TOTAL,PPS EXPENDITURES- TOTAL,$,"2,146,822",$,"2,241,557",,,
HOMEBOUND/ELEMENTARY,HOMEBOUND/ELEMENTARY,$,"3,230",$,"3,875",,,
PES EXPENDITURES - TOTAL,PES EXPENDITURES - TOTAL,$,"2,234,186",$,"2,311 ' 135",,,
EN~CHMENTSUMMERSCHOOL,EN~CHMENTSUMMERSCHOOL,$,-,$,,,,
PMS,EXPENDITURES- TOTAL,$,"2,692,620",$,"2,801,704",,,
HOMEBOUND/SECONDARY,HOMEBOUND/SECONDARY,$,"7,770",$,"8,418",,,
PHS EXPENDITURES- TOTAL,PHS EXPENDITURES- TOTAL,$,"4,463,260",$,"4,554,345",,,
ADULT EDUCATION,ADULT EDUCATION,$,"9,577",$,"9,960",,,
DIVISION WIDE-ADMIN,DIVISION WIDE-ADMIN,$,"842,052",$,"992,274",,,
ATTENDANCE & HEALTH,ATTENDANCE & HEALTH,$,"258,169",$,"271 ,074",,,
TRANSPORTATION,TRANSPORTATION,$,"632,369",$,"678,498",,,
OPERATION/MAINTENANCE,OPERATION/MAINTENANCE,$,"1,377,687",$,"1,419,719",,,
FOOD SERVICE,FOOD SERVICE,$,"274,533",$,"280,604",,,
TECHNOLOGY,TECHNOLOGY,$,"539,527",$,"590,539",,,
SITE ACQUISITION,SITE ACQUISITION,$,"10,550",$,"10,550",,,
GRANTS,GRANTS,$,"572,235",$,"672,820",,,
REMEDIAL SUMMER SCHOOL,REMEDIAL SUMMER SCHOOL,$,"28,861",$,"29,813",,,
ROUNDING ADJUSTMENT,ROUNDING ADJUSTMENT,$,8,,,,,
,,,,,,,PERCENT,
TOTAL BUDGET,TOTAL BUDGET,$,"16,093,457",$,"16,876,884",$,". 783,427",5%
BUDGET 2003 2004 final as of 6-17-03.xls,BUDGET 2003 2004 final as of 6-17-03.xls,,,,,,,
