Name: “Table 1 of 1 on page 76 of 77”,Name: “Table 1 of 1 on page 76 of 77”,Name: “Table 1 of 1 on page 76 of 77”,Name: “Table 1 of 1 on page 76 of 77”,Name: “Table 1 of 1 on page 76 of 77”,Name: “Table 1 of 1 on page 76 of 77”,Name: “Table 1 of 1 on page 76 of 77”,Name: “Table 1 of 1 on page 76 of 77”,Name: “Table 1 of 1 on page 76 of 77”,Name: “Table 1 of 1 on page 76 of 77”,Name: “Table 1 of 1 on page 76 of 77”,Name: “Table 1 of 1 on page 76 of 77”,Name: “Table 1 of 1 on page 76 of 77”
Table: 76,Table: 76,Table: 76,Table: 76,Table: 76,Table: 76,Table: 76,Table: 76,Table: 76,Table: 76,Table: 76,Table: 76,Table: 76
,,,,,,,,,,,,
,,,,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,,,,,,
,,,,,2003/2004 BUDGET,2003/2004 BUDGET,,,,,,
TECHNOLOGY LITERACY GRANT,TECHNOLOGY LITERACY GRANT,1.0.90.9.68315,1.0.90.9.68315,,,,,,,,,PAGE 63
CODE,BUDGET FUNCTION,,,2001/2002,,2002/2003,,2003/2004,,+INCREASE,+INCREASE,
,,,,ACTUAL,,APPROPRIATED,,PROJECTED,,(-DECREASE),(-DECREASE),%
3000,PURCHASE SERVICES,,$,"23,040",$,-,$,-,$,,-,0.0%
3002,PURCH.SERV.-CARRY-OVER,,$,"4,677",$,-,$,-,$,,-,0.0%
5000,OTHER CHARGES,,$,"5,532",$,-,$,-,$,,-,0.0%
5002,OTHER CHARGES CARRYOVER,OTHER CHARGES CARRYOVER,$,"2,871",,,,,$,',-,0.0%
6000,MATERIALS & SUPPLIES,,$,"8,129",$,-,$,-,$,,-,0.0%
6002,TECH.SUPP.-CARRY-OVER,,$,"5,800",$,-,$,-,$,,-,0.0%
6500,TLC SOFTWARE,,$,"1,850",,,,,$,,-,0.0%
8000,CAPITAL OUTLAY,,$,"18,370",$,-,$,-,$,,-,0.0%
8302,CAPITAL OUTLAY-CARRY-OVER,CAPITAL OUTLAY-CARRY-OVER,$,,$,-,$,-,$,,-,0.0%
,,TOTAL,$,"70,268",$,.,$,.,$,,.,0.0%
,TOTAL FEDERAL GRANTS,,$,"490,396",$,"426,564",$,"672,820",$,"246,256","246,256",57.7%
,REMEDIAL SUMMER SCHOOL,,$,"29,940",$,"28,861",$,"29,813",$,,952,3.3%
,,TOTALS,$,"520,336",$,"455,426",$,"702,633",$,"247,207","247,207",54.3%
BUDGET 2003 2004 final as of 6-17-03.xls,BUDGET 2003 2004 final as of 6-17-03.xls,BUDGET 2003 2004 final as of 6-17-03.xls,,,,,,,,,,
