Name: “Table 1 of 1 on page 14 of 77”,Name: “Table 1 of 1 on page 14 of 77”,Name: “Table 1 of 1 on page 14 of 77”,Name: “Table 1 of 1 on page 14 of 77”,Name: “Table 1 of 1 on page 14 of 77”,Name: “Table 1 of 1 on page 14 of 77”,Name: “Table 1 of 1 on page 14 of 77”,Name: “Table 1 of 1 on page 14 of 77”,Name: “Table 1 of 1 on page 14 of 77”,Name: “Table 1 of 1 on page 14 of 77”,Name: “Table 1 of 1 on page 14 of 77”
Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14
,,,,,,,,,,
,,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,,,,,
,,2003/ 2004 BUDGET,2003/ 2004 BUDGET,2003/ 2004 BUDGET,2003/ 2004 BUDGET,,,,,
,LOCAL REVENUE,,,,,,,,,PAGE 1
CODE,BUDGET FUNCTION,,2001/2002,,2002/2003,,2003/2004,+INCREASE,+INCREASE,
,,,RECEIVED,,ESTIMATED,,PROJECTED,(-DECREASE),(-DECREASE),%
1612010 ADULT EDUCATION,1612010 ADULT EDUCATION,$,-,$,-,$,-,$,-,0.0%
1612011 SUMMER SCHOOL,1612011 SUMMER SCHOOL,$,-,$,-,$,-,$,-,0.0%
1612020 DRIVER ED,1612020 DRIVER ED,$,"10,500",$,"25,175",$,"25,000",$,(175),-0.7%
1612021 ATHLETIC PARTICIPATION,1612021 ATHLETIC PARTICIPATION,$,"6,840",$,"13,000",$,"13,000",$,-,0.0%
1612040 SCHOOL FOOD SERVICE,1612040 SCHOOL FOOD SERVICE,$,"177,272",$,"209,823",$,"214,676",$,"4,853",2.3%
1899120 MISCELLANEOUS,1899120 MISCELLANEOUS,$,"72,250",$,"55,000",$,"60,000",$,"5,000",9.1%
1899121,IN-SCHOOL PAYROLL RECEIPTS,$,"72,861",$,-,$,-,$,-,0.0%
5105000 OPERATION,5105000 OPERATION,$,"6,570,000",$,"6,670,000",$,"7,070,000",$,"400,000",6.0%
5105010 CAPITAL OUTLAY,5105010 CAPITAL OUTLAY,$,-,$,-,$,-,$,-,0.0%
5105011,LOCAL CAPITAL PROJECTS,$,"88,109",,,$,-,$,-,0.0%
5105012 PES COMPUTER LAB/CITY FUNDED,5105012 PES COMPUTER LAB/CITY FUNDED,$,"38,830",$,-,$,-,$,-,0.0%
,TOTAL LOCAL FUNDS,$,"7,036,661",$,"6,972,998",$,"7,382,676",$,"409,678",5.9%
6/16/2003,3:59PM,Budget Revenue 2003 2004 FINAL.xls,,,,,,,,
