Name: “Table 1 of 1 on page 37 of 77”,Name: “Table 1 of 1 on page 37 of 77”,Name: “Table 1 of 1 on page 37 of 77”,Name: “Table 1 of 1 on page 37 of 77”,Name: “Table 1 of 1 on page 37 of 77”,Name: “Table 1 of 1 on page 37 of 77”,Name: “Table 1 of 1 on page 37 of 77”,Name: “Table 1 of 1 on page 37 of 77”,Name: “Table 1 of 1 on page 37 of 77”,Name: “Table 1 of 1 on page 37 of 77”,Name: “Table 1 of 1 on page 37 of 77”
Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37
,,,,,,,,,,
,,,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,,,,,
,,,2003/2004 BUDGET,2003/2004 BUDGET,2003/2004 BUDGET,,,,,
HOMEBOUND INSTRUCTION,HOMEBOUND INSTRUCTION,1.0.30.1.61230 ...,,,,,,,,PAGE 24
CODE,BUDGET FUNCTION,,2001/2002,,2002/2003,,2003/2004,,+INCREASE,
,,,ACTUAL,,APPROPRIATED,,PROJECTED,,(·DECREASE),%
1120,INSTRUCTIONAL SALARIES,$,"2,632",$,"7,220",$,"7,820",$,600,8.3%
2100,FICA BENEFITS,$,201,$,550,$,598,$,48,8.8%
,TOTAL,$,"2,833",$,"7,770",$,"8,418",$,648,8.3%
,Homebound rate increased from $13.31 to $15.00,Homebound rate increased from $13.31 to $15.00,,,,,,,,
BUDGET 2003 2004 final as of 6-17-03.xls,BUDGET 2003 2004 final as of 6-17-03.xls,BUDGET 2003 2004 final as of 6-17-03.xls,,,,,,,,
