Name: “Table 1 of 1 on page 20 of 77”,Name: “Table 1 of 1 on page 20 of 77”,Name: “Table 1 of 1 on page 20 of 77”,Name: “Table 1 of 1 on page 20 of 77”,Name: “Table 1 of 1 on page 20 of 77”,Name: “Table 1 of 1 on page 20 of 77”,Name: “Table 1 of 1 on page 20 of 77”,Name: “Table 1 of 1 on page 20 of 77”,Name: “Table 1 of 1 on page 20 of 77”,Name: “Table 1 of 1 on page 20 of 77”,Name: “Table 1 of 1 on page 20 of 77”
Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20
,,,,,,,,,,
,,,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,,,,,
,,,2003/2004 BUDGET,2003/2004 BUDGET,2003/2004 BUDGET,,,,,
EARLY READING INTERVENTION,EARLY READING INTERVENTION,1.0.21 .1.60885 ...,,,,,,,,PAGE 7
CODE,BUDGET FUNCTION,,2001/2002,,2002/2003,,2003/2004,,+INCREASE,
,,,ACTUAL ',,APPROPRIATED,,PROJECTED,,(-DECREASE),%
6000,MATERIALS,,1000,$,"6,569",$,"11,496",$,"4,927",75.0%
,TOTAL,$,"1,000",$,"6,569",$,"11,496",$,"4,927",75.0%
,Increased in Governor's proposed budget,Increased in Governor's proposed budget,,,,,,,,
BUDGET 2003 2004 final as of 6-17-03.xls,BUDGET 2003 2004 final as of 6-17-03.xls,BUDGET 2003 2004 final as of 6-17-03.xls,,,,,,,,
