Name: “Table 1 of 1 on page 27 of 77”,Name: “Table 1 of 1 on page 27 of 77”,Name: “Table 1 of 1 on page 27 of 77”,Name: “Table 1 of 1 on page 27 of 77”,Name: “Table 1 of 1 on page 27 of 77”,Name: “Table 1 of 1 on page 27 of 77”,Name: “Table 1 of 1 on page 27 of 77”,Name: “Table 1 of 1 on page 27 of 77”,Name: “Table 1 of 1 on page 27 of 77”,Name: “Table 1 of 1 on page 27 of 77”,Name: “Table 1 of 1 on page 27 of 77”,Name: “Table 1 of 1 on page 27 of 77”,Name: “Table 1 of 1 on page 27 of 77”
Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27
,,,,,,,,,,,,
,,,,,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,,,,,
,,,,,2003/2004 BUDGET,2003/2004 BUDGET,2003/2004 BUDGET,,,,,
PRIMARY SCHOOL,-,OTHER,1.0.21.5.611 00 ...,1.0.21.5.611 00 ...,,,,,,,,PAGE14
CODE,BUDGET FUNCTION,BUDGET FUNCTION,,,2001/2002,,2002/2003,,2003/2004,,+INCREASE,
,,,,,ACTUAL,,APPROPRIATED,,PROJECTED,,(- DECREASE),%
1120,INSTRUCTIONAL SALARIES,INSTRUCTIONAL SALARIES,,$,"78,364",$,"81,500",$,"84,350",$,"2,850",3.5%
2100,FICA BENEFITS,FICA BENEFITS,,$,"5,898",$,"6,235",$,"6,453",$,218,3.5%
2210,VRS BENEFITS- 9.44%,VRS BENEFITS- 9.44%,,$,"6,824",$,"8,150",$,"8,476",$,326,4.0%
2300,HEALTH BENEFITS - 23.38%,HEALTH BENEFITS - 23.38%,,$,"3,578",$,"4,291",$,"5,294",$,"1,003",23.4%
2400,GLI BENEF ITS,,,$,366,$,-,$,-,$,-,0.0%
6000,MATERIALS I SUPPLIES,MATERIALS I SUPPLIES,,$,865,$,"1,000",$,920,$,(80),-8.0%
,,TOTALS,,$,"95,895",$,"101,176",$,"105,493",$,"4,317",4.3%
,TOTAL PRIMARY,TOTAL PRIMARY,,$,"2,020,399",$,"2,146,822",$,"2,241,557",$,"94,733",4.4%
,ELEM. HOMEBOUND,ELEM. HOMEBOUND,,$,"5,986",$,"3,230",$,"3,875",$,645,20.0%
,,,TOTALS,$,"2,026,384",$,"2,150,052",$,"2,245,433",$,"95,378",4.4%
BUDGET 2003 2004 fina l as of 6-17-03.xls,BUDGET 2003 2004 fina l as of 6-17-03.xls,BUDGET 2003 2004 fina l as of 6-17-03.xls,BUDGET 2003 2004 fina l as of 6-17-03.xls,,,,,,,,,
