Name: “Table 1 of 1 on page 73 of 77”,Name: “Table 1 of 1 on page 73 of 77”,Name: “Table 1 of 1 on page 73 of 77”,Name: “Table 1 of 1 on page 73 of 77”,Name: “Table 1 of 1 on page 73 of 77”,Name: “Table 1 of 1 on page 73 of 77”,Name: “Table 1 of 1 on page 73 of 77”
Table: 73,Table: 73,Table: 73,Table: 73,Table: 73,Table: 73,Table: 73
,,,,,,
,,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,,,
,,,2003/2004 BUDGET,,,
SCHOOL TO WORK GRANT 1-0-90-9-61100,SCHOOL TO WORK GRANT 1-0-90-9-61100,,,,,PAGE 60
CODE,BUDGET FUNCTION,2001/2002,2002/2003,2003/2004,+INCREASE,
,,ACTUAL,APPROPRIATED,PROJECTED,(-DECREASE),%
1120 INSTRUCTIONAL SALARIES,,,$,$,$,0.0%
2100 FICA BENEFITS,,,$,$,$,0.0%
3000 PURCHASE SERVICES,,,$,$,$,0.0%
,,,,,$,0.0%
,TOTAL,$,$,$,$,0.0%
BUDGET 2003 2004 final as of 6-17-03.xls,BUDGET 2003 2004 final as of 6-17-03.xls,,,,,
