Name: “Table 1 of 1 on page 51 of 77”,Name: “Table 1 of 1 on page 51 of 77”,Name: “Table 1 of 1 on page 51 of 77”,Name: “Table 1 of 1 on page 51 of 77”,Name: “Table 1 of 1 on page 51 of 77”,Name: “Table 1 of 1 on page 51 of 77”,Name: “Table 1 of 1 on page 51 of 77”,Name: “Table 1 of 1 on page 51 of 77”,Name: “Table 1 of 1 on page 51 of 77”,Name: “Table 1 of 1 on page 51 of 77”,Name: “Table 1 of 1 on page 51 of 77”,Name: “Table 1 of 1 on page 51 of 77”
Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51
,,,,,,,,,,,
,,,,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,,,,,
,,,,2003/2004 BUDGET,2003/2004 BUDGET,2003/2004 BUDGET,,,,,
HIGH SCHOOL,HIGH SCHOOL,·VOCATIONAL INSTRUCTION,·VOCATIONAL INSTRUCTION,1.0.32.3.611 00 .....,,,,,,,PAGE 38
CODE,,BUDGET FUNCTION,,2001/2002,,2002/2003,,2003/2004,,+INCREASE,
,,,,ACTUAL,,APPROPRIATED,,PROJECTED,,(·DECREASE),%
1120,INSTRUCTIONAL SALARIES,INSTRUCTIONAL SALARIES,$,"274,394",$,"285,375",$,"286,250",$,875,0.3%
2100,FICA BENEFITS,FICA BENEFITS,$,"20,201",$,"21 ,831",$,"21,898",$,67,0.3%
2210,VRS BENEFITS · 9.44%,VRS BENEFITS · 9.44%,$,"23,863",$,"28,538",$,"29,679",$,"1,142",4.0%
2300,HEALTH BENEFITS - 23.38%,HEALTH BENEFITS - 23.38%,$,"15,314",$,"16,039",$,"19,789",$,"3,750",23.4%
2400,GLI BENEFITS,GLI BENEFITS,$,"1,408",$,-,$,.,$,.,0.0%
5500,TRAVEL,,$,"1,431",$,"1,700",$,"1,700",$,-,0.0%
6000,MATERIALS I SUPPLIES,MATERIALS I SUPPLIES,$,"14,893",$,"19,750",$,"14,000",$,"(5,750)",-29.1%
8200,EQUIPMENT ADDITIONS,EQUIPMENT ADDITIONS,$,"10,814",$,"23,430",$,"20,000",$,"(3,430)",-14.6%
,,TOTAL,$,"362,318",$,"396,663",$,"393,316",$,"(3,347)",-0.8%
BUDGET 2003 2004 final as of 6-17-03.xls,BUDGET 2003 2004 final as of 6-17-03.xls,BUDGET 2003 2004 final as of 6-17-03.xls,,,,,,,,,
