Name: “Table 1 of 1 on page 12 of 77”,Name: “Table 1 of 1 on page 12 of 77”,Name: “Table 1 of 1 on page 12 of 77”,Name: “Table 1 of 1 on page 12 of 77”,Name: “Table 1 of 1 on page 12 of 77”,Name: “Table 1 of 1 on page 12 of 77”,Name: “Table 1 of 1 on page 12 of 77”,Name: “Table 1 of 1 on page 12 of 77”,Name: “Table 1 of 1 on page 12 of 77”,Name: “Table 1 of 1 on page 12 of 77”,Name: “Table 1 of 1 on page 12 of 77”
Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12
,,,,,,,,,,
Expenditures,Expenditures,Expenditures,Expenditures,Expenditures,2002-2003,2002-2003,2002-2003,2002-2003,2002-2003,2002-2003
Instruction- Total,Instruction- Total,Instruction- Total,Instruction- Total,,,,,$,,
"11 ,971 ,356","11 ,971 ,356","11 ,971 ,356",,,,,,,,
Division Wide,Division Wide,Division Wide,,,,$,"1,263,348","1,263,348",,
Transportation,Transportation,Transportation,,,,$,"678,498","678,498",,
Operation/Maintenance,Operation/Maintenance,Operation/Maintenance,Operation/Maintenance,,,$,"1,419,719","1,419,719",,
Food Service,Food Service,,,,,$,"280,604","280,604",,
Technology,Technology,,,,,$,"590,539","590,539",,
Grants,,,,,,$,"672,820","672,820",,
Total Expenditures,Total Expenditures,Total Expenditures,Total Expenditures,,,,,$,,
,,,,Technology,Technology,,,,,
"1 6 , 8 7 6 , 8 84","1 6 , 8 7 6 , 8 84",oodService,oodService,,3%,,,,,
Transportation,,,,,,,,,,
4%,,,,,,,,,,
Division Wide,,,,,,,,,,
7%,,,,,,,,,,
Instruction,•,Dhision Wide,D Transportation,•,Operation,D Food Sen-ice,•,Technology,•,Grants
