Name: “Table 1 of 1 on page 17 of 77”,Name: “Table 1 of 1 on page 17 of 77”,Name: “Table 1 of 1 on page 17 of 77”,Name: “Table 1 of 1 on page 17 of 77”,Name: “Table 1 of 1 on page 17 of 77”,Name: “Table 1 of 1 on page 17 of 77”,Name: “Table 1 of 1 on page 17 of 77”,Name: “Table 1 of 1 on page 17 of 77”,Name: “Table 1 of 1 on page 17 of 77”,Name: “Table 1 of 1 on page 17 of 77”
Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17
,,,,,,,,,
,,,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,POQUOSON CITY SCHOOLS,,,
,,,2003/ 2004 BUDGET,2003/ 2004 BUDGET,2003/ 2004 BUDGET,2003/ 2004 BUDGET,,,
SUMMARY OF REVENUE,SUMMARY OF REVENUE,SUMMARY OF REVENUE,,,,,,,PAGE 4
,,BUDGET FUNCTION,,2002/2003,,2003/2004,,INCREASE,PERCENT
Total Local Funds,Total Local Funds,Total Local Funds,$,"6,972,998",$,"7,382,676",$,"409,678",6%
Total State Funds,Total State Funds,Total State Funds,$,"8,581,599",$,"8,912,521",$,"330,922",4%
Total Federal Funds,Total Federal Funds,Total Federal Funds,$,"538,860",$,"581,687",$,"42,827",8%
Total Revenue,Total Revenue,Total Revenue,$,"16,093,457",$,"16,876,884",$,"783,427",5%
6/16/2003,3:59PM,Budget Revenue 2003 2004 FINAL.xls,Budget Revenue 2003 2004 FINAL.xls,,,,,,
