Name: “Table 1 of 1 on page 8 of 77”,Name: “Table 1 of 1 on page 8 of 77”,Name: “Table 1 of 1 on page 8 of 77”,Name: “Table 1 of 1 on page 8 of 77”,Name: “Table 1 of 1 on page 8 of 77”,Name: “Table 1 of 1 on page 8 of 77”,Name: “Table 1 of 1 on page 8 of 77”,Name: “Table 1 of 1 on page 8 of 77”,Name: “Table 1 of 1 on page 8 of 77”
Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8
,,,,,,,,
Revenue,Revenue,Revenue,2003-2004,2003-2004,2003-2004,2003-2004,2003-2004,2003-2004
•,Local,,,$,"7,070,000","7,070,000","7,070,000",
•,Other,,,,,$,,"312,676"
•,State,,,,,$,"8, 912,521","8, 912,521"
•,Federal,,,$,"581,687","581,687","581,687",
•,Total Revenue,Total Revenue,,"$16,876,884","$16,876,884","$16,876,884","$16,876,884",
,,,Federal,Federal,Federal,,,
,,,,3o/o,,,,
,Local,,,,,,,
,42°/o,,,,,,,
,,,,,,,State,State
,,,,,,,53°/o,53°/o
,Other,,,,,,,
,2o/o,,,,,,,
,Federal,•,State,•,Other,0,Local,j
