Name: “Table 1 of 1 on page 6 of 6”,Name: “Table 1 of 1 on page 6 of 6”,Name: “Table 1 of 1 on page 6 of 6”,Name: “Table 1 of 1 on page 6 of 6”,Name: “Table 1 of 1 on page 6 of 6”,Name: “Table 1 of 1 on page 6 of 6”,Name: “Table 1 of 1 on page 6 of 6”,Name: “Table 1 of 1 on page 6 of 6”,Name: “Table 1 of 1 on page 6 of 6”,Name: “Table 1 of 1 on page 6 of 6”,Name: “Table 1 of 1 on page 6 of 6”,Name: “Table 1 of 1 on page 6 of 6”
Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6
,,,,,,,,,,,
,,,CAPITAL BUDGET EXPENDITURES,CAPITAL BUDGET EXPENDITURES,CAPITAL BUDGET EXPENDITURES,CAPITAL BUDGET EXPENDITURES,CAPITAL BUDGET EXPENDITURES,CAPITAL BUDGET EXPENDITURES,,,
•,Community,Community,Enhancement,-,"$9,680,000:",Blighted,Blighted,Property,Acquisition,Acquisition,and
,"Demolition, Dredging Projects, Factory Point Restoration and Break Waters, City-","Demolition, Dredging Projects, Factory Point Restoration and Break Waters, City-","Demolition, Dredging Projects, Factory Point Restoration and Break Waters, City-","Demolition, Dredging Projects, Factory Point Restoration and Break Waters, City-","Demolition, Dredging Projects, Factory Point Restoration and Break Waters, City-","Demolition, Dredging Projects, Factory Point Restoration and Break Waters, City-","Demolition, Dredging Projects, Factory Point Restoration and Break Waters, City-","Demolition, Dredging Projects, Factory Point Restoration and Break Waters, City-","Demolition, Dredging Projects, Factory Point Restoration and Break Waters, City-","Demolition, Dredging Projects, Factory Point Restoration and Break Waters, City-","Demolition, Dredging Projects, Factory Point Restoration and Break Waters, City-"
,"wide Landscaping, Neighborhood Improvement, Newmarket Creek Park and Trail","wide Landscaping, Neighborhood Improvement, Newmarket Creek Park and Trail","wide Landscaping, Neighborhood Improvement, Newmarket Creek Park and Trail","wide Landscaping, Neighborhood Improvement, Newmarket Creek Park and Trail","wide Landscaping, Neighborhood Improvement, Newmarket Creek Park and Trail","wide Landscaping, Neighborhood Improvement, Newmarket Creek Park and Trail","wide Landscaping, Neighborhood Improvement, Newmarket Creek Park and Trail","wide Landscaping, Neighborhood Improvement, Newmarket Creek Park and Trail","wide Landscaping, Neighborhood Improvement, Newmarket Creek Park and Trail","wide Landscaping, Neighborhood Improvement, Newmarket Creek Park and Trail","wide Landscaping, Neighborhood Improvement, Newmarket Creek Park and Trail"
,System and Parks and Recreation Maintenance.,System and Parks and Recreation Maintenance.,System and Parks and Recreation Maintenance.,System and Parks and Recreation Maintenance.,System and Parks and Recreation Maintenance.,System and Parks and Recreation Maintenance.,,,,,
•,"Economic Development - $9,099,353:","Economic Development - $9,099,353:","Economic Development - $9,099,353:","Economic Development - $9,099,353:","Economic Development - $9,099,353:",Blue Bird Gap Farm Property Acquisition,Blue Bird Gap Farm Property Acquisition,Blue Bird Gap Farm Property Acquisition,Blue Bird Gap Farm Property Acquisition,Blue Bird Gap Farm Property Acquisition,Blue Bird Gap Farm Property Acquisition
,"and Infrastructure, Master Plans funding, New American Theatre Parking Lot, Old","and Infrastructure, Master Plans funding, New American Theatre Parking Lot, Old","and Infrastructure, Master Plans funding, New American Theatre Parking Lot, Old","and Infrastructure, Master Plans funding, New American Theatre Parking Lot, Old","and Infrastructure, Master Plans funding, New American Theatre Parking Lot, Old","and Infrastructure, Master Plans funding, New American Theatre Parking Lot, Old","and Infrastructure, Master Plans funding, New American Theatre Parking Lot, Old","and Infrastructure, Master Plans funding, New American Theatre Parking Lot, Old","and Infrastructure, Master Plans funding, New American Theatre Parking Lot, Old","and Infrastructure, Master Plans funding, New American Theatre Parking Lot, Old","and Infrastructure, Master Plans funding, New American Theatre Parking Lot, Old"
,"Hampton Community Center Demolition and Reconstruction, Retail Revitalization","Hampton Community Center Demolition and Reconstruction, Retail Revitalization","Hampton Community Center Demolition and Reconstruction, Retail Revitalization","Hampton Community Center Demolition and Reconstruction, Retail Revitalization","Hampton Community Center Demolition and Reconstruction, Retail Revitalization","Hampton Community Center Demolition and Reconstruction, Retail Revitalization","Hampton Community Center Demolition and Reconstruction, Retail Revitalization","Hampton Community Center Demolition and Reconstruction, Retail Revitalization","Hampton Community Center Demolition and Reconstruction, Retail Revitalization","Hampton Community Center Demolition and Reconstruction, Retail Revitalization","Hampton Community Center Demolition and Reconstruction, Retail Revitalization"
