Name: “Table 1 of 1 on page 144 of 166”,Name: “Table 1 of 1 on page 144 of 166”,Name: “Table 1 of 1 on page 144 of 166”,Name: “Table 1 of 1 on page 144 of 166”,Name: “Table 1 of 1 on page 144 of 166”,Name: “Table 1 of 1 on page 144 of 166”,Name: “Table 1 of 1 on page 144 of 166”,Name: “Table 1 of 1 on page 144 of 166”,Name: “Table 1 of 1 on page 144 of 166”,Name: “Table 1 of 1 on page 144 of 166”,Name: “Table 1 of 1 on page 144 of 166”,Name: “Table 1 of 1 on page 144 of 166”
Table: 144,Table: 144,Table: 144,Table: 144,Table: 144,Table: 144,Table: 144,Table: 144,Table: 144,Table: 144,Table: 144,Table: 144
,,,,,,,,,,,
Budgeted Employment Data,,,,All Funds,All Funds,,,,(Seasonal Workers Excluded),(Seasonal Workers Excluded),(Seasonal Workers Excluded)
DEPARTMENT,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Solid Waste Management,F/T,6,6,6,6,6,6,7,7,7,7
,P/T,1,1,2,2,3,3,2,2,2,2
Stormwater,F/T,0,0,0,0,0,0,0,9,8.5,6.5
,P/T,0,0,0,0,0,0,0,0,0,0
Training and Quality,F/T,3.5,4,2,2,2,3,3,3,3,3
Performance,P/T,0,1,2,2,2,1,1,1,1,1
Treasurer,F/T,12,12,13,13,13,13,13,13,13,13
,P/T,0,0,0,0,0,0,0,0,0,0
Volunteer Services,F/T,1.5,1.5,0,0,0,0,0,0,0,0
,P/T,0,0,0,0,0,0,0,0,0,0
Total General Fund,F/T,438.5,452.5,474.0,480.0,492.5,512.5,548.5,586.5,584.0,563.0
,P/T,74,76,65,68,70,70,53,49,49,43
Community Development,F/T,8.5,8.5,8.5,8.5,8.5,8.5,9.5,9.5,9.5,8.5
,P/T,0,0,0,1,1,1,0,0,0,1
JCSA,F/T,71,74,76,78,81,85,87,88,90,89
,P/T,0,0,0,0,1,1,2,2,2,2
Social Services,F/T,46.5,46.5,50.5,52.5,52.5,53.5,53.5,57.5,57.5,52.5
,P/T,2,2,1,1,1,1,1,1,1,1
Special Projects/Grants,F/T,0,0,0,0,3,3,1,2,3,2
,P/T,0,0,0,0,0,0,0,0,1,1
Grand Total All Funds,F/T,564.5,581.5,609.0,619.0,637.5,662.5,699.5,743.5,744.0,715.0
,P/T,76.0,78.0,66.0,70.0,73.0,73.0,56.0,52.0,53.0,48.0
A list of Authorized Positions Per Department begins on Page G-4.,A list of Authorized Positions Per Department begins on Page G-4.,A list of Authorized Positions Per Department begins on Page G-4.,A list of Authorized Positions Per Department begins on Page G-4.,A list of Authorized Positions Per Department begins on Page G-4.,,,,,,,
* Staffing of independent agencies are not reflected in this document.,* Staffing of independent agencies are not reflected in this document.,* Staffing of independent agencies are not reflected in this document.,* Staffing of independent agencies are not reflected in this document.,* Staffing of independent agencies are not reflected in this document.,,,,,,,
_______________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________
,,,,Page G - 3,,,,,,,
