Name: “Table 1 of 1 on page 116 of 166”,Name: “Table 1 of 1 on page 116 of 166”,Name: “Table 1 of 1 on page 116 of 166”,Name: “Table 1 of 1 on page 116 of 166”,Name: “Table 1 of 1 on page 116 of 166”,Name: “Table 1 of 1 on page 116 of 166”,Name: “Table 1 of 1 on page 116 of 166”,Name: “Table 1 of 1 on page 116 of 166”,Name: “Table 1 of 1 on page 116 of 166”,Name: “Table 1 of 1 on page 116 of 166”,Name: “Table 1 of 1 on page 116 of 166”,Name: “Table 1 of 1 on page 116 of 166”,Name: “Table 1 of 1 on page 116 of 166”
Table: 116,Table: 116,Table: 116,Table: 116,Table: 116,Table: 116,Table: 116,Table: 116,Table: 116,Table: 116,Table: 116,Table: 116,Table: 116
,,,,,,,,,,,,
,,,,CAPITAL PROJECT DETAIL,CAPITAL PROJECT DETAIL,CAPITAL PROJECT DETAIL,CAPITAL PROJECT DETAIL,,,,,
CAPITAL MAINTENANCE,CAPITAL MAINTENANCE,,,,,,,,,,,
OTHER COUNTY,OTHER COUNTY,,,,,,,,,,,
,Self-contained Breathing Apparatus (SCBA) replacements are targeted for firefighters.,Self-contained Breathing Apparatus (SCBA) replacements are targeted for firefighters.,Self-contained Breathing Apparatus (SCBA) replacements are targeted for firefighters.,Self-contained Breathing Apparatus (SCBA) replacements are targeted for firefighters.,Self-contained Breathing Apparatus (SCBA) replacements are targeted for firefighters.,Self-contained Breathing Apparatus (SCBA) replacements are targeted for firefighters.,,,,,,
,The Jamestown Beach Campground (JBC) improvements are safety-related:,The Jamestown Beach Campground (JBC) improvements are safety-related:,The Jamestown Beach Campground (JBC) improvements are safety-related:,The Jamestown Beach Campground (JBC) improvements are safety-related:,,,,,,,,
,,Secure office bldg and update security system,Secure office bldg and update security system,Secure office bldg and update security system,,,$,"15,000",,,,
,,"Demolish 7 bldgs, pool & utilities","Demolish 7 bldgs, pool & utilities",,,,,"75,000",,,,
,,Asbestos Abatement,,,,,,"21,000",,,,
,,Abandon wells,,,,,,"10,000",,,,
,,Renovate caretaker house,Renovate caretaker house,,,,,"25,000",,,,
,,Precast concrete rest room,Precast concrete rest room,,,,,"34,000",,,,
,,Well for rest room,,,,,,"11,000",,,,
,,,,,,,"$191,000","$191,000",,,,
