Name: “Table 1 of 1 on page 114 of 166”,Name: “Table 1 of 1 on page 114 of 166”,Name: “Table 1 of 1 on page 114 of 166”,Name: “Table 1 of 1 on page 114 of 166”,Name: “Table 1 of 1 on page 114 of 166”,Name: “Table 1 of 1 on page 114 of 166”,Name: “Table 1 of 1 on page 114 of 166”,Name: “Table 1 of 1 on page 114 of 166”,Name: “Table 1 of 1 on page 114 of 166”,Name: “Table 1 of 1 on page 114 of 166”,Name: “Table 1 of 1 on page 114 of 166”,Name: “Table 1 of 1 on page 114 of 166”,Name: “Table 1 of 1 on page 114 of 166”,Name: “Table 1 of 1 on page 114 of 166”
Table: 114,Table: 114,Table: 114,Table: 114,Table: 114,Table: 114,Table: 114,Table: 114,Table: 114,Table: 114,Table: 114,Table: 114,Table: 114,Table: 114
,,,,,,,,,,,,,
,,,,,CAPITAL PROJECT DETAIL,CAPITAL PROJECT DETAIL,CAPITAL PROJECT DETAIL,CAPITAL PROJECT DETAIL,,,,,
CAPITAL MAINTENANCE,,,,,,,,,,,,,
SCHOOLS,,,,,,,,,,,,,
Middle School Rehabilitation,"Funds are proposed in FY2010 for renovations to both Berkeley and James Blair Middle Schools, Berkeley to enhance the middle school","Funds are proposed in FY2010 for renovations to both Berkeley and James Blair Middle Schools, Berkeley to enhance the middle school","Funds are proposed in FY2010 for renovations to both Berkeley and James Blair Middle Schools, Berkeley to enhance the middle school","Funds are proposed in FY2010 for renovations to both Berkeley and James Blair Middle Schools, Berkeley to enhance the middle school","Funds are proposed in FY2010 for renovations to both Berkeley and James Blair Middle Schools, Berkeley to enhance the middle school","Funds are proposed in FY2010 for renovations to both Berkeley and James Blair Middle Schools, Berkeley to enhance the middle school","Funds are proposed in FY2010 for renovations to both Berkeley and James Blair Middle Schools, Berkeley to enhance the middle school","Funds are proposed in FY2010 for renovations to both Berkeley and James Blair Middle Schools, Berkeley to enhance the middle school","Funds are proposed in FY2010 for renovations to both Berkeley and James Blair Middle Schools, Berkeley to enhance the middle school","Funds are proposed in FY2010 for renovations to both Berkeley and James Blair Middle Schools, Berkeley to enhance the middle school","Funds are proposed in FY2010 for renovations to both Berkeley and James Blair Middle Schools, Berkeley to enhance the middle school","Funds are proposed in FY2010 for renovations to both Berkeley and James Blair Middle Schools, Berkeley to enhance the middle school","Funds are proposed in FY2010 for renovations to both Berkeley and James Blair Middle Schools, Berkeley to enhance the middle school"
,"program and Blair to allow the relocation of Central Office, Student Services, ALL, multi-cultural program and GED to James Blair when the","program and Blair to allow the relocation of Central Office, Student Services, ALL, multi-cultural program and GED to James Blair when the","program and Blair to allow the relocation of Central Office, Student Services, ALL, multi-cultural program and GED to James Blair when the","program and Blair to allow the relocation of Central Office, Student Services, ALL, multi-cultural program and GED to James Blair when the","program and Blair to allow the relocation of Central Office, Student Services, ALL, multi-cultural program and GED to James Blair when the","program and Blair to allow the relocation of Central Office, Student Services, ALL, multi-cultural program and GED to James Blair when the","program and Blair to allow the relocation of Central Office, Student Services, ALL, multi-cultural program and GED to James Blair when the","program and Blair to allow the relocation of Central Office, Student Services, ALL, multi-cultural program and GED to James Blair when the","program and Blair to allow the relocation of Central Office, Student Services, ALL, multi-cultural program and GED to James Blair when the","program and Blair to allow the relocation of Central Office, Student Services, ALL, multi-cultural program and GED to James Blair when the","program and Blair to allow the relocation of Central Office, Student Services, ALL, multi-cultural program and GED to James Blair when the","program and Blair to allow the relocation of Central Office, Student Services, ALL, multi-cultural program and GED to James Blair when the","program and Blair to allow the relocation of Central Office, Student Services, ALL, multi-cultural program and GED to James Blair when the"
,new middle school on Jolly Pond Road opens in August of 2010.,new middle school on Jolly Pond Road opens in August of 2010.,new middle school on Jolly Pond Road opens in August of 2010.,new middle school on Jolly Pond Road opens in August of 2010.,new middle school on Jolly Pond Road opens in August of 2010.,new middle school on Jolly Pond Road opens in August of 2010.,new middle school on Jolly Pond Road opens in August of 2010.,Separate projects for Berkeley Middle School include the renovation of,Separate projects for Berkeley Middle School include the renovation of,Separate projects for Berkeley Middle School include the renovation of,Separate projects for Berkeley Middle School include the renovation of,Separate projects for Berkeley Middle School include the renovation of,Separate projects for Berkeley Middle School include the renovation of
,"locker rooms, roof, HVAC improvements, energy systems and cooling tower.","locker rooms, roof, HVAC improvements, energy systems and cooling tower.","locker rooms, roof, HVAC improvements, energy systems and cooling tower.","locker rooms, roof, HVAC improvements, energy systems and cooling tower.","locker rooms, roof, HVAC improvements, energy systems and cooling tower.","locker rooms, roof, HVAC improvements, energy systems and cooling tower.","locker rooms, roof, HVAC improvements, energy systems and cooling tower.","locker rooms, roof, HVAC improvements, energy systems and cooling tower.",Approximately $1.7 million of the $2.4 million for middle,Approximately $1.7 million of the $2.4 million for middle,Approximately $1.7 million of the $2.4 million for middle,Approximately $1.7 million of the $2.4 million for middle,Approximately $1.7 million of the $2.4 million for middle
,"school renovations is for the Berkeley refurbishment, with $700,000 for James Blair.","school renovations is for the Berkeley refurbishment, with $700,000 for James Blair.","school renovations is for the Berkeley refurbishment, with $700,000 for James Blair.","school renovations is for the Berkeley refurbishment, with $700,000 for James Blair.","school renovations is for the Berkeley refurbishment, with $700,000 for James Blair.","school renovations is for the Berkeley refurbishment, with $700,000 for James Blair.","school renovations is for the Berkeley refurbishment, with $700,000 for James Blair.","school renovations is for the Berkeley refurbishment, with $700,000 for James Blair.","school renovations is for the Berkeley refurbishment, with $700,000 for James Blair.","school renovations is for the Berkeley refurbishment, with $700,000 for James Blair.",,,
