Name: “Table 1 of 1 on page 79 of 166”,Name: “Table 1 of 1 on page 79 of 166”,Name: “Table 1 of 1 on page 79 of 166”,Name: “Table 1 of 1 on page 79 of 166”,Name: “Table 1 of 1 on page 79 of 166”,Name: “Table 1 of 1 on page 79 of 166”,Name: “Table 1 of 1 on page 79 of 166”
Table: 79,Table: 79,Table: 79,Table: 79,Table: 79,Table: 79,Table: 79
,,,,,,
Development Management,Development Management,,,,General Operating Fund,General Operating Fund
DESCRIPTION OF SERVICES,DESCRIPTION OF SERVICES,,,,,
To assist in the creation and achievement of community goals and visions; to manage the related development,To assist in the creation and achievement of community goals and visions; to manage the related development,To assist in the creation and achievement of community goals and visions; to manage the related development,To assist in the creation and achievement of community goals and visions; to manage the related development,To assist in the creation and achievement of community goals and visions; to manage the related development,To assist in the creation and achievement of community goals and visions; to manage the related development,To assist in the creation and achievement of community goals and visions; to manage the related development
activities in a way that focuses towards the achievement of those goals and visions.,activities in a way that focuses towards the achievement of those goals and visions.,activities in a way that focuses towards the achievement of those goals and visions.,activities in a way that focuses towards the achievement of those goals and visions.,activities in a way that focuses towards the achievement of those goals and visions.,activities in a way that focuses towards the achievement of those goals and visions.,
OBJECTIVES,,,,,,
1.,Coordinate and manage growth in a way that will allow future generations to live in and enjoy the natural,Coordinate and manage growth in a way that will allow future generations to live in and enjoy the natural,Coordinate and manage growth in a way that will allow future generations to live in and enjoy the natural,Coordinate and manage growth in a way that will allow future generations to live in and enjoy the natural,Coordinate and manage growth in a way that will allow future generations to live in and enjoy the natural,Coordinate and manage growth in a way that will allow future generations to live in and enjoy the natural
,and man made environment of James City County.,and man made environment of James City County.,,,,
2.,Coordinate the necessary resources to allow the department's divisions to achieve their goals.,Coordinate the necessary resources to allow the department's divisions to achieve their goals.,Coordinate the necessary resources to allow the department's divisions to achieve their goals.,Coordinate the necessary resources to allow the department's divisions to achieve their goals.,Coordinate the necessary resources to allow the department's divisions to achieve their goals.,Coordinate the necessary resources to allow the department's divisions to achieve their goals.
3.,Enhance customer service in the delivery of Development Management services.,Enhance customer service in the delivery of Development Management services.,Enhance customer service in the delivery of Development Management services.,Enhance customer service in the delivery of Development Management services.,Enhance customer service in the delivery of Development Management services.,
BUDGET SUMMARY,,,,,,
,,,FY09,FY10,FY10,
,,,Adopted,Plan,Adopted,
,Personnel,"$215,581",,"$222,138","$218,341","$218,341"
,Operating,"66,114",,"80,683","19,543","19,543"
,Total,"$281,695",,"$302,821","$237,884","$237,884"
PERSONNEL,,,,,,
,Full-time Personnel,,2.5,2.5,,2.5
PERFORMANCE MEASURES,PERFORMANCE MEASURES,,,,,
,,FY 07,FY 07,FY 08,FY 09,FY 10
,,Actual,Actual,Actual,Projected,Adopted
Target properties on the Open Space Priority List for,Target properties on the Open Space Priority List for,,,,,
,intensified acquisition efforts,,N/A,6,4,2
BUDGET COMMENTS,,,,,,
This budget includes the elimination of funding for the Virginia Tech Turf Love contract.,This budget includes the elimination of funding for the Virginia Tech Turf Love contract.,This budget includes the elimination of funding for the Virginia Tech Turf Love contract.,This budget includes the elimination of funding for the Virginia Tech Turf Love contract.,This budget includes the elimination of funding for the Virginia Tech Turf Love contract.,This budget includes the elimination of funding for the Virginia Tech Turf Love contract.,
,,Page C-29,Page C-29,,,
