Name: “Table 1 of 1 on page 143 of 166”,Name: “Table 1 of 1 on page 143 of 166”,Name: “Table 1 of 1 on page 143 of 166”,Name: “Table 1 of 1 on page 143 of 166”,Name: “Table 1 of 1 on page 143 of 166”,Name: “Table 1 of 1 on page 143 of 166”,Name: “Table 1 of 1 on page 143 of 166”,Name: “Table 1 of 1 on page 143 of 166”,Name: “Table 1 of 1 on page 143 of 166”,Name: “Table 1 of 1 on page 143 of 166”,Name: “Table 1 of 1 on page 143 of 166”,Name: “Table 1 of 1 on page 143 of 166”
Table: 143,Table: 143,Table: 143,Table: 143,Table: 143,Table: 143,Table: 143,Table: 143,Table: 143,Table: 143,Table: 143,Table: 143
,,,,,,,,,,,
Budgeted Employment Data,,,,,All Funds,,,,(Seasonal Workers Excluded),(Seasonal Workers Excluded),(Seasonal Workers Excluded)
DEPARTMENT,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Environmental Services,F/T,7,9,9,10,11,13,15,15,15,14
,P/T,0,0,0,0,0,0,0,0,0,0
Facilities Maintenance,F/T,19,20,20,20,20,19,18,19,19,18
,P/T,11,11,11,11,11,11,6,6,6,6
Financial and,F/T,5,6,7,7,7,7,7,7,7,7
Management Services,P/T,0,0,0,0,0,0,0,0,0,0
Fire,F/T,70,70,71,74,77,77,80,83,86,86
,P/T,0,0,0,0,0,0,0,0,0,0
Fleet Maintenance,F/T,7,7,6,6,6,8,8,8,8,7
,P/T,1,0,0,0,0,0,0,0,0,0
General Registrar,F/T,3,3,3,3,3,3,3,3,3,3
,P/T,1,1,1,1,1,1,1,1,1,1
General Services,F/T,,,,,2.5,4.5,6.5,6.5,6.5,6.5
,P/T,,,,,0,0,0,0,0,0
Grounds Maintenance,F/T,8,9,11,11,15,13,16,21,21,20
,P/T,1,1,0,1,1,1,1,1,1,1
Human Resources,F/T,5,5,5,5,5,5,5,5,5,4
,P/T,0,0,0,0,0,0,0,0,0,1
Information Resources,F/T,18,18,19,19,19,20,20,21,21,21
Management,P/T,1,1,1,1,1,1,1,1,1,0
Mosquito Control,F/T,,1,1,1,1,1,1,1,1,0
,P/T,,0,0,0,0,0,0,0,0,0
Neighborhood Connections,F/T,,2.5,3.5,3,3,3,4,4,4,2
,P/T,,1,0,1,1,1,1,1,1,1
Parks and Recreation,F/T,29,33,42,43,43,45,52,56,54,53
,P/T,43,43,35,35,36,37,29,29,29,23
Planning and Zoning,F/T,14.5,14.5,14.5,15.5,16.5,17.5,17.5,19.5,19.5,17.5
,P/T,1,1,1,1,1,2,2,0,0,1
Police,F/T,68,69,72,73,74,78,87,94,97,98
,P/T,1,0,0,0,0,0,0,0,0,0
Purchasing,F/T,3,3,3,3,3,3,3,3,3,3
,P/T,0,0,0,0,0,0,0,0,0,0
Real Estate Assessments,F/T,9,10,11,11,11,11,12,13,13,11
,P/T,0,0,0,0,0,0,0,0,0,0
Satellite Services Office,F/T,2,2,2,2,2,2,2,3,3,3
,P/T,2,2,2,2,2,2,2,2,2,1
Sheriff,F/T,18,18,18,18,18,18,18,18,18,18
,P/T,0,0,0,0,0,0,0,0,0,0
_______________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________
,,,,Page G - 2,Page G - 2,,,,,,
