Name: “Table 1 of 1 on page 47 of 166”,Name: “Table 1 of 1 on page 47 of 166”,Name: “Table 1 of 1 on page 47 of 166”,Name: “Table 1 of 1 on page 47 of 166”,Name: “Table 1 of 1 on page 47 of 166”
Table: 47,Table: 47,Table: 47,Table: 47,Table: 47
,,,,
Revenue from the Commonwealth,Revenue from the Commonwealth,,General Operating Fund,General Operating Fund
"BUDGET COMMENTS, Continued","BUDGET COMMENTS, Continued",,,
Description,,,,
This budget provides for revenue received from the Commonwealth of Virginia in three categories - Non-,This budget provides for revenue received from the Commonwealth of Virginia in three categories - Non-,This budget provides for revenue received from the Commonwealth of Virginia in three categories - Non-,This budget provides for revenue received from the Commonwealth of Virginia in three categories - Non-,This budget provides for revenue received from the Commonwealth of Virginia in three categories - Non-
"Categorical Aid, Shared Expenses (Categorical), and Categorical Aid. Non-Categorical Aid includes revenues","Categorical Aid, Shared Expenses (Categorical), and Categorical Aid. Non-Categorical Aid includes revenues","Categorical Aid, Shared Expenses (Categorical), and Categorical Aid. Non-Categorical Aid includes revenues","Categorical Aid, Shared Expenses (Categorical), and Categorical Aid. Non-Categorical Aid includes revenues","Categorical Aid, Shared Expenses (Categorical), and Categorical Aid. Non-Categorical Aid includes revenues"
which are raised by the State and shared with the local government. The use of such revenues is at the discretion,which are raised by the State and shared with the local government. The use of such revenues is at the discretion,which are raised by the State and shared with the local government. The use of such revenues is at the discretion,which are raised by the State and shared with the local government. The use of such revenues is at the discretion,which are raised by the State and shared with the local government. The use of such revenues is at the discretion
of the local government. Shared Expenses (Categorical) includes revenues received from the Commonwealth for,of the local government. Shared Expenses (Categorical) includes revenues received from the Commonwealth for,of the local government. Shared Expenses (Categorical) includes revenues received from the Commonwealth for,of the local government. Shared Expenses (Categorical) includes revenues received from the Commonwealth for,of the local government. Shared Expenses (Categorical) includes revenues received from the Commonwealth for
the State's share of expenditures in activities that are considered to be joint responsibilities. Categorical Aid,the State's share of expenditures in activities that are considered to be joint responsibilities. Categorical Aid,the State's share of expenditures in activities that are considered to be joint responsibilities. Categorical Aid,the State's share of expenditures in activities that are considered to be joint responsibilities. Categorical Aid,the State's share of expenditures in activities that are considered to be joint responsibilities. Categorical Aid
"includes revenues received from the Commonwealth, which are designated by the Commonwealth for a specific","includes revenues received from the Commonwealth, which are designated by the Commonwealth for a specific","includes revenues received from the Commonwealth, which are designated by the Commonwealth for a specific","includes revenues received from the Commonwealth, which are designated by the Commonwealth for a specific","includes revenues received from the Commonwealth, which are designated by the Commonwealth for a specific"
use by the local government.,,,,
Change,,,,
State revenues estimates for FY 2010 remain relatively flat when compared to the FY 2009 budget and are based,State revenues estimates for FY 2010 remain relatively flat when compared to the FY 2009 budget and are based,State revenues estimates for FY 2010 remain relatively flat when compared to the FY 2009 budget and are based,State revenues estimates for FY 2010 remain relatively flat when compared to the FY 2009 budget and are based,State revenues estimates for FY 2010 remain relatively flat when compared to the FY 2009 budget and are based
on the most recent information received from the State.,on the most recent information received from the State.,on the most recent information received from the State.,,
"The State Car Tax Reimbursement is the State's share of the ""No Car Tax"" initiative and it has the following","The State Car Tax Reimbursement is the State's share of the ""No Car Tax"" initiative and it has the following","The State Car Tax Reimbursement is the State's share of the ""No Car Tax"" initiative and it has the following","The State Car Tax Reimbursement is the State's share of the ""No Car Tax"" initiative and it has the following","The State Car Tax Reimbursement is the State's share of the ""No Car Tax"" initiative and it has the following"
impact on local taxpayers:,,,,
,FY09,FY09,FY10,FY10
,Adopted,Projected,Plan,Adopted
"""Car Tax"" Impacts",,,,
Local Collections,"$15,454,263","$15,043,562","$17,560,212","$14,305,574"
From the Commonwealth,"9,770,137","9,770,137","9,770,137","9,770,137"
,"$25,224,400","$24,813,699","$27,330,349","$24,075,711"
"The FY 2010 projection reflects the permanent cap on the State's share of the ""Car Tax"" that began in 2006. The","The FY 2010 projection reflects the permanent cap on the State's share of the ""Car Tax"" that began in 2006. The","The FY 2010 projection reflects the permanent cap on the State's share of the ""Car Tax"" that began in 2006. The","The FY 2010 projection reflects the permanent cap on the State's share of the ""Car Tax"" that began in 2006. The","The FY 2010 projection reflects the permanent cap on the State's share of the ""Car Tax"" that began in 2006. The"
"State is projected to pay approximately 63 percent of the ""Car Tax"" for an eligible personal use vehicle. This","State is projected to pay approximately 63 percent of the ""Car Tax"" for an eligible personal use vehicle. This","State is projected to pay approximately 63 percent of the ""Car Tax"" for an eligible personal use vehicle. This","State is projected to pay approximately 63 percent of the ""Car Tax"" for an eligible personal use vehicle. This","State is projected to pay approximately 63 percent of the ""Car Tax"" for an eligible personal use vehicle. This"
percentage increased from FY 2009 when it was 58 percent. This is due to the overall reduction in values.,percentage increased from FY 2009 when it was 58 percent. This is due to the overall reduction in values.,percentage increased from FY 2009 when it was 58 percent. This is due to the overall reduction in values.,percentage increased from FY 2009 when it was 58 percent. This is due to the overall reduction in values.,percentage increased from FY 2009 when it was 58 percent. This is due to the overall reduction in values.
,,Page B-9,,
