Name: “Table 1 of 1 on page 50 of 166”,Name: “Table 1 of 1 on page 50 of 166”,Name: “Table 1 of 1 on page 50 of 166”,Name: “Table 1 of 1 on page 50 of 166”,Name: “Table 1 of 1 on page 50 of 166”,Name: “Table 1 of 1 on page 50 of 166”,Name: “Table 1 of 1 on page 50 of 166”,Name: “Table 1 of 1 on page 50 of 166”,Name: “Table 1 of 1 on page 50 of 166”
Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50
,,,,,,,,
Miscellaneous Revenues,,,,,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund
BUDGET SUMMARY,,,,,,,,
,FY09,FY09,FY09,FY09,FY10,FY10,FY10,FY10
,Adopted,Adopted,Projected,Projected,,Plan,Adopted,Adopted
Sale of County Vehicles or Equipment,$,"25,000",$,"25,000",$,"25,000",$,"25,000"
Xerox Machines,,"45,000",,"25,000",,"45,000",,"30,000"
Streetlights and Signs,,"5,000",,"5,000",,"5,000",,"5,000"
Code Books and Ordinances,,500,,120,,500,,500
Court Appointed Attorneys,,"5,000",,"10,000",,"5,000",,"10,000"
Miscellaneous,,"75,000",,"75,000",,"75,000",,"75,000"
Parking Tickets,,"15,000",,"15,000",,"15,000",,"15,000"
Fund Balance,,"244,106",,0,,0,,0
Total,"$ 422,281","$ 422,281","$ 218,120","$ 218,120","$ 170,500","$ 170,500","$ 160,500","$ 160,500"
BUDGET COMMENTS,,,,,,,,
This budget provides for small or nonrecurring revenues received that are not appropriately recorded under other,This budget provides for small or nonrecurring revenues received that are not appropriately recorded under other,This budget provides for small or nonrecurring revenues received that are not appropriately recorded under other,This budget provides for small or nonrecurring revenues received that are not appropriately recorded under other,This budget provides for small or nonrecurring revenues received that are not appropriately recorded under other,This budget provides for small or nonrecurring revenues received that are not appropriately recorded under other,This budget provides for small or nonrecurring revenues received that are not appropriately recorded under other,This budget provides for small or nonrecurring revenues received that are not appropriately recorded under other,This budget provides for small or nonrecurring revenues received that are not appropriately recorded under other
revenue budgets. These include receipts from the sale of used property and equipment and receipts from the sale,revenue budgets. These include receipts from the sale of used property and equipment and receipts from the sale,revenue budgets. These include receipts from the sale of used property and equipment and receipts from the sale,revenue budgets. These include receipts from the sale of used property and equipment and receipts from the sale,revenue budgets. These include receipts from the sale of used property and equipment and receipts from the sale,revenue budgets. These include receipts from the sale of used property and equipment and receipts from the sale,revenue budgets. These include receipts from the sale of used property and equipment and receipts from the sale,revenue budgets. These include receipts from the sale of used property and equipment and receipts from the sale,revenue budgets. These include receipts from the sale of used property and equipment and receipts from the sale
of County Code Books and Ordinances.,,,,,,,,
,,Page B-12,,,,,,
