Name: “Table 1 of 1 on page 103 of 166”,Name: “Table 1 of 1 on page 103 of 166”,Name: “Table 1 of 1 on page 103 of 166”,Name: “Table 1 of 1 on page 103 of 166”,Name: “Table 1 of 1 on page 103 of 166”,Name: “Table 1 of 1 on page 103 of 166”,Name: “Table 1 of 1 on page 103 of 166”,Name: “Table 1 of 1 on page 103 of 166”,Name: “Table 1 of 1 on page 103 of 166”
Table: 103,Table: 103,Table: 103,Table: 103,Table: 103,Table: 103,Table: 103,Table: 103,Table: 103
,,,,,,,,
Williamsburg Regional Library System,Williamsburg Regional Library System,Williamsburg Regional Library System,Williamsburg Regional Library System,,General Operating Fund,General Operating Fund,General Operating Fund,General Operating Fund
and Arts Center,,,,,,,,
DESCRIPTION OF SERVICES,DESCRIPTION OF SERVICES,DESCRIPTION OF SERVICES,,,,,,
The Williamsburg Regional Library consists of two Mobile Library Services vehicles and two buildings -,The Williamsburg Regional Library consists of two Mobile Library Services vehicles and two buildings -,The Williamsburg Regional Library consists of two Mobile Library Services vehicles and two buildings -,The Williamsburg Regional Library consists of two Mobile Library Services vehicles and two buildings -,The Williamsburg Regional Library consists of two Mobile Library Services vehicles and two buildings -,The Williamsburg Regional Library consists of two Mobile Library Services vehicles and two buildings -,The Williamsburg Regional Library consists of two Mobile Library Services vehicles and two buildings -,The Williamsburg Regional Library consists of two Mobile Library Services vehicles and two buildings -,The Williamsburg Regional Library consists of two Mobile Library Services vehicles and two buildings -
the James City County Library on Croaker Road and the Williamsburg Library on Scotland Street.,the James City County Library on Croaker Road and the Williamsburg Library on Scotland Street.,the James City County Library on Croaker Road and the Williamsburg Library on Scotland Street.,the James City County Library on Croaker Road and the Williamsburg Library on Scotland Street.,the James City County Library on Croaker Road and the Williamsburg Library on Scotland Street.,the James City County Library on Croaker Road and the Williamsburg Library on Scotland Street.,the James City County Library on Croaker Road and the Williamsburg Library on Scotland Street.,the James City County Library on Croaker Road and the Williamsburg Library on Scotland Street.,The
Library offers a wide range of materials for adults and children.,Library offers a wide range of materials for adults and children.,Library offers a wide range of materials for adults and children.,Library offers a wide range of materials for adults and children.,Library offers a wide range of materials for adults and children.,"In addition to books, the Library","In addition to books, the Library","In addition to books, the Library",
"provides audio books on cassette and CD, feature and non-feature videos and DVDs, music CDs, and","provides audio books on cassette and CD, feature and non-feature videos and DVDs, music CDs, and","provides audio books on cassette and CD, feature and non-feature videos and DVDs, music CDs, and","provides audio books on cassette and CD, feature and non-feature videos and DVDs, music CDs, and","provides audio books on cassette and CD, feature and non-feature videos and DVDs, music CDs, and","provides audio books on cassette and CD, feature and non-feature videos and DVDs, music CDs, and","provides audio books on cassette and CD, feature and non-feature videos and DVDs, music CDs, and","provides audio books on cassette and CD, feature and non-feature videos and DVDs, music CDs, and","provides audio books on cassette and CD, feature and non-feature videos and DVDs, music CDs, and"
several specialty collections.,The Library also provides access to numerous online computer resources.,The Library also provides access to numerous online computer resources.,The Library also provides access to numerous online computer resources.,The Library also provides access to numerous online computer resources.,The Library also provides access to numerous online computer resources.,The Library also provides access to numerous online computer resources.,The Library also provides access to numerous online computer resources.,The Library also provides access to numerous online computer resources.
"Librarians are available to assist users at our buildings and remotely via phone, E-mail, or instant","Librarians are available to assist users at our buildings and remotely via phone, E-mail, or instant","Librarians are available to assist users at our buildings and remotely via phone, E-mail, or instant","Librarians are available to assist users at our buildings and remotely via phone, E-mail, or instant","Librarians are available to assist users at our buildings and remotely via phone, E-mail, or instant","Librarians are available to assist users at our buildings and remotely via phone, E-mail, or instant","Librarians are available to assist users at our buildings and remotely via phone, E-mail, or instant","Librarians are available to assist users at our buildings and remotely via phone, E-mail, or instant",
messaging. The Mobile Library Services vehicles bring Library resources to community members who,messaging. The Mobile Library Services vehicles bring Library resources to community members who,messaging. The Mobile Library Services vehicles bring Library resources to community members who,messaging. The Mobile Library Services vehicles bring Library resources to community members who,messaging. The Mobile Library Services vehicles bring Library resources to community members who,messaging. The Mobile Library Services vehicles bring Library resources to community members who,messaging. The Mobile Library Services vehicles bring Library resources to community members who,messaging. The Mobile Library Services vehicles bring Library resources to community members who,messaging. The Mobile Library Services vehicles bring Library resources to community members who
cannot access the Library buildings.,cannot access the Library buildings.,cannot access the Library buildings.,"The Library also provides a homebound service, delivering materials","The Library also provides a homebound service, delivering materials","The Library also provides a homebound service, delivering materials","The Library also provides a homebound service, delivering materials","The Library also provides a homebound service, delivering materials","The Library also provides a homebound service, delivering materials"
to those unable to take advantage of the Mobile Library Services vehicles.,to those unable to take advantage of the Mobile Library Services vehicles.,to those unable to take advantage of the Mobile Library Services vehicles.,to those unable to take advantage of the Mobile Library Services vehicles.,to those unable to take advantage of the Mobile Library Services vehicles.,to those unable to take advantage of the Mobile Library Services vehicles.,The Library offers an,The Library offers an,
"assortment of programs for children and adults, including story times, Library tours, computer classes,","assortment of programs for children and adults, including story times, Library tours, computer classes,","assortment of programs for children and adults, including story times, Library tours, computer classes,","assortment of programs for children and adults, including story times, Library tours, computer classes,","assortment of programs for children and adults, including story times, Library tours, computer classes,","assortment of programs for children and adults, including story times, Library tours, computer classes,","assortment of programs for children and adults, including story times, Library tours, computer classes,","assortment of programs for children and adults, including story times, Library tours, computer classes,","assortment of programs for children and adults, including story times, Library tours, computer classes,"
and book discussions.,"The Library hosts the acclaimed Dewey Decibel Concert Series, regular films,","The Library hosts the acclaimed Dewey Decibel Concert Series, regular films,","The Library hosts the acclaimed Dewey Decibel Concert Series, regular films,","The Library hosts the acclaimed Dewey Decibel Concert Series, regular films,","The Library hosts the acclaimed Dewey Decibel Concert Series, regular films,","The Library hosts the acclaimed Dewey Decibel Concert Series, regular films,","The Library hosts the acclaimed Dewey Decibel Concert Series, regular films,","The Library hosts the acclaimed Dewey Decibel Concert Series, regular films,"
"exhibits, and other events.",The Williamsburg Library has three meeting rooms and a 268-seat theater; the,The Williamsburg Library has three meeting rooms and a 268-seat theater; the,The Williamsburg Library has three meeting rooms and a 268-seat theater; the,The Williamsburg Library has three meeting rooms and a 268-seat theater; the,The Williamsburg Library has three meeting rooms and a 268-seat theater; the,The Williamsburg Library has three meeting rooms and a 268-seat theater; the,The Williamsburg Library has three meeting rooms and a 268-seat theater; the,The Williamsburg Library has three meeting rooms and a 268-seat theater; the
"James City County Library has two meeting rooms, a computer lab, and the 90-seat Kitzinger Community","James City County Library has two meeting rooms, a computer lab, and the 90-seat Kitzinger Community","James City County Library has two meeting rooms, a computer lab, and the 90-seat Kitzinger Community","James City County Library has two meeting rooms, a computer lab, and the 90-seat Kitzinger Community","James City County Library has two meeting rooms, a computer lab, and the 90-seat Kitzinger Community","James City County Library has two meeting rooms, a computer lab, and the 90-seat Kitzinger Community","James City County Library has two meeting rooms, a computer lab, and the 90-seat Kitzinger Community","James City County Library has two meeting rooms, a computer lab, and the 90-seat Kitzinger Community","James City County Library has two meeting rooms, a computer lab, and the 90-seat Kitzinger Community"
Room.,"Through formal partnerships with 26 local organizations, the Library extends its reach into the","Through formal partnerships with 26 local organizations, the Library extends its reach into the","Through formal partnerships with 26 local organizations, the Library extends its reach into the","Through formal partnerships with 26 local organizations, the Library extends its reach into the","Through formal partnerships with 26 local organizations, the Library extends its reach into the","Through formal partnerships with 26 local organizations, the Library extends its reach into the","Through formal partnerships with 26 local organizations, the Library extends its reach into the","Through formal partnerships with 26 local organizations, the Library extends its reach into the"
"community, attracting new users and expanding access to Library services.","community, attracting new users and expanding access to Library services.","community, attracting new users and expanding access to Library services.","community, attracting new users and expanding access to Library services.","community, attracting new users and expanding access to Library services.","community, attracting new users and expanding access to Library services.",,,
BUDGET SUMMARY,,,,,,,,
,,,FY 09,,FY 10,,FY 10,
,,,Adopted,,Plan,,Adopted,
Regional Library System &,Regional Library System &,,,,,,,
,Arts Center,$,"6,383,624",$,"6,475,564",$,"6,365,337",
Total Regional Library System Budget:,Total Regional Library System Budget:,Total Regional Library System Budget:,,,,,,
,,,FY 09,,FY 10,,FY 10,
,,,Adopted,,Plan,,Adopted,
,County,$,"4,492,457",$,"4,542,105",$,"4,492,457",
,City,,"884,955",,"884,955",,"884,955",
,Other,,"1,006,212",,"1,048,504",,"987,925",
,Total,$,"6,383,624",$,"6,475,564",$,"6,365,337",
BUDGET COMMENTS,,,,,,,,
The City of Williamsburg and the County have a contractual agreement for the operation of the system.,The City of Williamsburg and the County have a contractual agreement for the operation of the system.,The City of Williamsburg and the County have a contractual agreement for the operation of the system.,The City of Williamsburg and the County have a contractual agreement for the operation of the system.,The City of Williamsburg and the County have a contractual agreement for the operation of the system.,The City of Williamsburg and the County have a contractual agreement for the operation of the system.,The City of Williamsburg and the County have a contractual agreement for the operation of the system.,The City of Williamsburg and the County have a contractual agreement for the operation of the system.,The City of Williamsburg and the County have a contractual agreement for the operation of the system.
The contract provides for Library employees to be covered under the County’s personnel and pay plans.,The contract provides for Library employees to be covered under the County’s personnel and pay plans.,The contract provides for Library employees to be covered under the County’s personnel and pay plans.,The contract provides for Library employees to be covered under the County’s personnel and pay plans.,The contract provides for Library employees to be covered under the County’s personnel and pay plans.,The contract provides for Library employees to be covered under the County’s personnel and pay plans.,The contract provides for Library employees to be covered under the County’s personnel and pay plans.,The contract provides for Library employees to be covered under the County’s personnel and pay plans.,The contract provides for Library employees to be covered under the County’s personnel and pay plans.
This budget provides for level County funding.,This budget provides for level County funding.,This budget provides for level County funding.,This budget provides for level County funding.,,,,,
,,,,Page C-53,,,,
