Name: “Table 1 of 1 on page 142 of 166”,Name: “Table 1 of 1 on page 142 of 166”,Name: “Table 1 of 1 on page 142 of 166”,Name: “Table 1 of 1 on page 142 of 166”,Name: “Table 1 of 1 on page 142 of 166”,Name: “Table 1 of 1 on page 142 of 166”,Name: “Table 1 of 1 on page 142 of 166”,Name: “Table 1 of 1 on page 142 of 166”,Name: “Table 1 of 1 on page 142 of 166”,Name: “Table 1 of 1 on page 142 of 166”,Name: “Table 1 of 1 on page 142 of 166”,Name: “Table 1 of 1 on page 142 of 166”
Table: 142,Table: 142,Table: 142,Table: 142,Table: 142,Table: 142,Table: 142,Table: 142,Table: 142,Table: 142,Table: 142,Table: 142
,,,,,,,,,,,
Budgeted Employment Data,,,,,All Funds,,,,(Seasonal Workers Excluded),(Seasonal Workers Excluded),(Seasonal Workers Excluded)
DEPARTMENT,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Accounting,F/T,9,8,8,8,8,8,9,9,9,8
,P/T,0,0,0,0,0,0,0,0,0,0
Animal Control,F/T,2,3,3,3,3,3,3,3,3,2
,P/T,1,0,0,0,0,0,0,0,0,1
Board of Supervisors,F/T,1,1,1,1,1,1,1,1,1,1
,P/T,0,0,0,0,0,0,0,0,0,0
Clerk of the Circuit Court,F/T,12,12,12,12,12,12,12,12,12,12
,P/T,2,2,2,2,2,2,2,2,2,2
Code Compliance,F/T,16,15,15,16,17,18,20,21,19,15
,P/T,1,3,3,2,2,1,1,0,0,0
Commissioner of,F/T,11,11,11,11,11,11,13,13,13,12
the Revenue,P/T,0,0,0,0,0,0,0,0,0,0
Commonwealth's Attorney,F/T,8,8,8,8,8,8,9,9,9,9
,P/T,1,1,1,1,1,1,0,0,0,0
Communications,F/T,3.5,3.5,4.5,5,5,6,7.5,7.5,6.5,6.5
,P/T,1,1,0,0,0,0,0,0,0,0
Communityy Services,F/T,5,6,8,5,5,5,4,4,3,3
,P/T,1,1,0,1,1,1,1,1,1,1
Cooperative Extension,F/T,3,3,3,2,2,2,2,2,2,2
Service,P/T,0,0,0,1,1,1,1,1,1,0
County Attorney,F/T,4.5,4.5,4.5,4.5,4.5,4.5,5,5,5,5
,P/T,0,0,0,0,0,0,0,0,0,0
County Administration,F/T,4.5,3.5,3.5,3.5,2.5,2.5,2.5,2.5,2.5,2.5
,P/T,0,1,0,0,0,0,0,0,0,0
Courthouse,F/T,2,2,2,2,2,2,2,2,2,2
,P/T,1,1,1,1,1,1,1,1,1,1
Courts/Judicial,F/T,2,2,2,2,2,2,2,2,2,2
,P/T,0,0,0,0,0,0,0,0,0,0
Development Management,F/T,4.5,4.5,4.5,4.5,4.5,4.5,3.5,4.5,2.5,2.5
,P/T,0,0,0,0,0,0,0,0,0,0
Economic Development,F/T,3,3,3,3,3,3,3,3,3,3
,P/T,0,0,0,0,0,0,0,0,0,0
Emergency Communications,F/T,20,20,23,25,25,25,27,27,27,27
,P/T,2,2,2,2,2,2,0,0,0,0
Emergency Management,F/T,1,1,1,1,1,1,1,2,2,2
,P/T,1,1,1,1,1,1,1,0,0,0
Emergency Medical Services,F/T,18,18,18,18,18,24,24,25,25,25
,P/T,0,0,0,0,0,0,0,0,0,0
_______________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________,_______________________________________________________________________________________________________________________
,,,,Page G - 1,Page G - 1,,,,,,
