Name: “Table 1 of 1 on page 153 of 166”,Name: “Table 1 of 1 on page 153 of 166”,Name: “Table 1 of 1 on page 153 of 166”,Name: “Table 1 of 1 on page 153 of 166”,Name: “Table 1 of 1 on page 153 of 166”,Name: “Table 1 of 1 on page 153 of 166”,Name: “Table 1 of 1 on page 153 of 166”,Name: “Table 1 of 1 on page 153 of 166”,Name: “Table 1 of 1 on page 153 of 166”,Name: “Table 1 of 1 on page 153 of 166”,Name: “Table 1 of 1 on page 153 of 166”,Name: “Table 1 of 1 on page 153 of 166”
Table: 153,Table: 153,Table: 153,Table: 153,Table: 153,Table: 153,Table: 153,Table: 153,Table: 153,Table: 153,Table: 153,Table: 153
,,,,,,,,,,,
,,,Authorized Positions Per Department,,,,,,,,
,,,,FY07,,FY08,,FY09,,FY10,
Parks and Recreation,Full-Time Regular,,,,,,,,,,
,Community Centers Administrator,Community Centers Administrator,Community Centers Administrator,1,,1,,1,,1,
,Customer Assistant,,,1,,2,,2,,1,
,Senior Customer Assistant,Senior Customer Assistant,Senior Customer Assistant,6,,6,,5,,5,
,Senior Fitness Trainer,Senior Fitness Trainer,,1,,1,,1,,1,
,Senior Lifeguard,,,2,,2,,2,,2,
,Park Attendant II,,,1,,1,,1,,1,
,Park Ranger,,,0,,1,,1,,1,
,Park Supervisor,,,1,,2,,1,,1,
,"Planner, Park and Greenway","Planner, Park and Greenway","Planner, Park and Greenway",1,,1,,1,,0,
,Recreation Operations Coordinator,Recreation Operations Coordinator,Recreation Operations Coordinator,3,,3,,3,,3,
,Recreation Program Coordinator,Recreation Program Coordinator,Recreation Program Coordinator,3,,3,,3,,3,
,Secretary,,,1,,1,,1,,1,
,Superintendent of Parks,Superintendent of Parks,Superintendent of Parks,1,,1,,1,,1,
,Account Clerk,,,1,,1,,1,,1,
,Senior Account Clerk,Senior Account Clerk,,1,,1,,1,,1,
,Senior Administrative Services Coordinator,Senior Administrative Services Coordinator,Senior Administrative Services Coordinator,1,,1,,1,,1,
,Budget Management Specialist,Budget Management Specialist,Budget Management Specialist,1,,1,,1,,1,
,Communications Specialist II,Communications Specialist II,Communications Specialist II,1,,1,,1,,1,
,Information Systems Technician,Information Systems Technician,Information Systems Technician,1,,1,,1,,1,
,Parks and Recreation Deputy Director,Parks and Recreation Deputy Director,Parks and Recreation Deputy Director,1,,1,,1,,1,
,Parks and Recreation Director,Parks and Recreation Director,Parks and Recreation Director,1,,1,,1,,1,
,Resource Development Administrator,Resource Development Administrator,Resource Development Administrator,1,,1,,1,,1,
,Human Services Coordinator,Human Services Coordinator,Human Services Coordinator,1,,1,,1,,1,
,Senior Recreation Leader,Senior Recreation Leader,Senior Recreation Leader,9,,10,,10,,9,
,RRecreattiion,OOperattiions,CCoorddiinattor,2,,2,,2,,3,
,Recreation Program Coordinator,Recreation Program Coordinator,Recreation Program Coordinator,7,,7,,7,,8,
,Recreation Superintendent/Youth Services Director,Recreation Superintendent/Youth Services Director,Recreation Superintendent/Youth Services Director,1,,1,,1,,1,
,Secretary,,,1,,1,,1,,1,
,,,,52,,56,,54,,53,
,Part-Time Regular,,,,,,,,,,
,"Customer Assistant (8,996 hrs)","Customer Assistant (8,996 hrs)","Customer Assistant (8,996 hrs)",13,,11,,11,,8,
,Fitness Attendant/Fitness Trainer I/II,Fitness Attendant/Fitness Trainer I/II,Fitness Attendant/Fitness Trainer I/II,,,,,,,,
,"(6,604 hrs)",,,6,,6,,6,,5,
,"Lifeguard I/II/Senior Lifeguard (6,708)","Lifeguard I/II/Senior Lifeguard (6,708)","Lifeguard I/II/Senior Lifeguard (6,708)",5,,5,,5,,5,
,"Park Attendant II (3,120)","Park Attendant II (3,120)","Park Attendant II (3,120)",0,,2,,2,,2,
,"Park Supervisor (1,560 hrs)","Park Supervisor (1,560 hrs)","Park Supervisor (1,560 hrs)",1,,1,,1,,1,
,"Senior Park Attendant (1,560 hrs)","Senior Park Attendant (1,560 hrs)","Senior Park Attendant (1,560 hrs)",1,,1,,1,,0,
,"Senior Office Assistant (1,560 hrs)","Senior Office Assistant (1,560 hrs)","Senior Office Assistant (1,560 hrs)",1,,1,,1,,1,
,"Senior Recreation Leader (1,600 hrs)","Senior Recreation Leader (1,600 hrs)","Senior Recreation Leader (1,600 hrs)",2,,2,,2,,1,
,,,,29,,29,,29,,23,
,Part-Time Temporary,Part-Time Temporary,,,,,,,,,
,Bus Driver,,,"1,300",hrs,"1,331",hrs,"1,331",hrs,"1,331",hrs
,Customer Assistant,,,"1,348",hrs,"1,348",hrs,"1,348",hrs,0,hrs
,Fitness Attendant,,,624,hrs,624,hrs,624,hrs,0,hrs
,Instructor I/II/III,,,"11,724",hrs,"11,724",hrs,"11,224",hrs,"11,224",hrs
,Lifeguard I/II/Senior,,,"9,683",hrs,"9,683",hrs,"9,683",hrs,"8,483",hrs
,Park Attendant I/II,,,"20,913",hrs,"19,239",hrs,"20,159",hrs,"21,628",hrs
,Park Supervisor,,,920,hrs,920,hrs,920,hrs,920,hrs
,Park Ranger,,,0,hrs,"1,040",hrs,"1,040",hrs,"1,040",hrs
,Recreation Field Supervisor,Recreation Field Supervisor,Recreation Field Supervisor,200,hrs,200,hrs,200,hrs,200,hrs
,Recreation Leader I,,,"29,257",hrs,"29,922",hrs,"29,922",hrs,"28,232",hrs
,Recreation Leader II,,,"14,810",hrs,"15,576",hrs,"13,576",hrs,"13,576",hrs
,Senior Recreation Leader,Senior Recreation Leader,Senior Recreation Leader,"1,654",hrs,"1,654",hrs,"1,654",hrs,"1,654",hrs
,Recreation Leader Therapeutic,Recreation Leader Therapeutic,Recreation Leader Therapeutic,"12,162",hrs,"13,245",hrs,"8,745",hrs,"8,745",hrs
,,,,"104,595 hrs","104,595 hrs","106,506 hrs","106,506 hrs","100,426 hrs","100,426 hrs","97,033 hrs","97,033 hrs"
___________________________________________________________________________________________________________,___________________________________________________________________________________________________________,___________________________________________________________________________________________________________,___________________________________________________________________________________________________________,___________________________________________________________________________________________________________,___________________________________________________________________________________________________________,___________________________________________________________________________________________________________,___________________________________________________________________________________________________________,___________________________________________________________________________________________________________,___________________________________________________________________________________________________________,___________________________________________________________________________________________________________,___________________________________________________________________________________________________________
,,,Page G-12,,,,,,,,
