Name: “Table 1 of 1 on page 112 of 166”,Name: “Table 1 of 1 on page 112 of 166”,Name: “Table 1 of 1 on page 112 of 166”,Name: “Table 1 of 1 on page 112 of 166”,Name: “Table 1 of 1 on page 112 of 166”,Name: “Table 1 of 1 on page 112 of 166”,Name: “Table 1 of 1 on page 112 of 166”,Name: “Table 1 of 1 on page 112 of 166”,Name: “Table 1 of 1 on page 112 of 166”,Name: “Table 1 of 1 on page 112 of 166”,Name: “Table 1 of 1 on page 112 of 166”,Name: “Table 1 of 1 on page 112 of 166”
Table: 112,Table: 112,Table: 112,Table: 112,Table: 112,Table: 112,Table: 112,Table: 112,Table: 112,Table: 112,Table: 112,Table: 112
,,,,,,,,,,,
,,,,CAPITAL PROJECT DETAIL,CAPITAL PROJECT DETAIL,CAPITAL PROJECT DETAIL,,,,,
CAPITAL IMPROVEMENT,CAPITAL IMPROVEMENT,,,,,,,,,,
FUNDING ASSUMPTIONS,FUNDING ASSUMPTIONS,,,,,,,,,,
,,,FY 2010,FY 2011,,FY 2012,,FY 2013,,FY 2014,FY 2015
,Reallocate school bond proceeds,$,"918,370",$,$,,$,,$,,$
,Reallocate existing capital balances,,"821,500",,,,,,,,
,Possible Debt Financing (NOTE),"20,700,000","20,700,000","7,000,000",,,,"7,000,000",,,"4,968,000"
,County General Fund/Other Sources,"1,089,698","1,089,698","2,211,288",,"2,818,275",,"2,354,204",,"2,737,457","2,403,256"
,,"$23,529,568","$23,529,568","$9,211,288","$2,818,275","$2,818,275","$9,354,204","$9,354,204","$2,737,457","$2,737,457","$7,371,256"
NOTE,Two projects are included in FY 2010 that the Board of Supervisors may wish to finance and construct - the Warhill Community Gymnasium and the,Two projects are included in FY 2010 that the Board of Supervisors may wish to finance and construct - the Warhill Community Gymnasium and the,Two projects are included in FY 2010 that the Board of Supervisors may wish to finance and construct - the Warhill Community Gymnasium and the,Two projects are included in FY 2010 that the Board of Supervisors may wish to finance and construct - the Warhill Community Gymnasium and the,Two projects are included in FY 2010 that the Board of Supervisors may wish to finance and construct - the Warhill Community Gymnasium and the,Two projects are included in FY 2010 that the Board of Supervisors may wish to finance and construct - the Warhill Community Gymnasium and the,Two projects are included in FY 2010 that the Board of Supervisors may wish to finance and construct - the Warhill Community Gymnasium and the,Two projects are included in FY 2010 that the Board of Supervisors may wish to finance and construct - the Warhill Community Gymnasium and the,Two projects are included in FY 2010 that the Board of Supervisors may wish to finance and construct - the Warhill Community Gymnasium and the,Two projects are included in FY 2010 that the Board of Supervisors may wish to finance and construct - the Warhill Community Gymnasium and the,Two projects are included in FY 2010 that the Board of Supervisors may wish to finance and construct - the Warhill Community Gymnasium and the
,Jamestown High School Multi-Use Space.,"Both projects would be used to augment existing facilities at all three high schools for school ahtletics, school","Both projects would be used to augment existing facilities at all three high schools for school ahtletics, school","Both projects would be used to augment existing facilities at all three high schools for school ahtletics, school","Both projects would be used to augment existing facilities at all three high schools for school ahtletics, school","Both projects would be used to augment existing facilities at all three high schools for school ahtletics, school","Both projects would be used to augment existing facilities at all three high schools for school ahtletics, school","Both projects would be used to augment existing facilities at all three high schools for school ahtletics, school","Both projects would be used to augment existing facilities at all three high schools for school ahtletics, school","Both projects would be used to augment existing facilities at all three high schools for school ahtletics, school","Both projects would be used to augment existing facilities at all three high schools for school ahtletics, school"
,physical education and community sports.,Existing market conditions indicate both favorable interest rates and favorable construction bids are possible,Existing market conditions indicate both favorable interest rates and favorable construction bids are possible,Existing market conditions indicate both favorable interest rates and favorable construction bids are possible,Existing market conditions indicate both favorable interest rates and favorable construction bids are possible,Existing market conditions indicate both favorable interest rates and favorable construction bids are possible,Existing market conditions indicate both favorable interest rates and favorable construction bids are possible,Existing market conditions indicate both favorable interest rates and favorable construction bids are possible,Existing market conditions indicate both favorable interest rates and favorable construction bids are possible,Existing market conditions indicate both favorable interest rates and favorable construction bids are possible,Existing market conditions indicate both favorable interest rates and favorable construction bids are possible
