May 2012 Comparison Summary,,,,,,,,,,,
,,,,,,,,,,,
,Passenger Revenue ,,,Local Assistance,,,State Assistance,,,Federal Assistance,
,Budget,Actual,,Budget,Actual,,Budget,Actual,,Budget,Actual
System-wide,,,,,,,,,,,
Bus,26.1%,23.6%,,35.6%,33.7%,,15.7%,17.8%,,25.6%,24.9%
Light Rail,8.8%,21.6%,,19.5%,3.5%,,15.0%,15.0%,,56.7%,59.9%
Ferry,25.3%,43.9%,,29.3%,24.3%,,15.8%,18.4%,,29.8%,13.4%
Paratransit,6.5%,5.8%,,37.8%,37.6%,,15.8%,18.4%,,39.9%,38.2%
Total,20.4%,20.7%,,32.8%,31.3%,,15.3%,17.7%,,31.5%,30.3%
,,,,,,,,,,,
Chesapeake,,,,,,,,,,,
Bus,22.8%,22.0%,,39.4%,38.0%,,15.8%,18.4%,,22.8%,21.6%
Paratransit,6.5%,5.8%,,37.8%,37.6%,,15.8%,18.4%,,39.9%,38.2%
Total,17.9%,16.7%,,38.9%,37.8%,,15.8%,18.4%,,27.4%,27.1%
,,,,,,,,,,,
Norfolk,,,,,,,,,,,
Bus,27.0%,21.5%,,34.6%,36.1%,,15.0%,16.5%,,23.3%,26.0%
Light Rail,8.8%,21.6%,,19.5%,3.5%,,15.0%,15.0%,,56.7%,59.9%
Ferry,25.3%,43.8%,,29.3%,24.4%,,15.8%,18.4%,,29.6%,13.4%
Paratransit,6.5%,5.8%,,37.8%,37.6%,,15.8%,18.4%,,39.9%,38.2%
Total,19.4%,20.3%,,30.1%,28.9%,,15.8%,16.4%,,36.5%,34.3%
,,,,,,,,,,,
Portsmouth,,,,,,,,,,,
Bus,22.3%,19.7%,,39.4%,39.5%,,15.0%,17.9%,,25.8%,22.9%
Ferry,25.3%,43.8%,,29.3%,24.4%,,15.8%,18.4%,,29.6%,13.4%
Paratransit,6.5%,5.8%,,37.8%,37.6%,,15.8%,18.4%,,39.9%,38.2%
Total,20.7%,20.0%,,38.2%,37.9%,,15.8%,18.0%,,25.9%,24.0%
,,,,,,,,,,,
Suffolk,,,,,,,,,,,
Bus,9.5%,#DIV/0!,,52.6%,#DIV/0!,,15.8%,#DIV/0!,,22.0%,#DIV/0!
Paratransit,6.5%,#DIV/0!,,37.8%,#DIV/0!,,15.8%,#DIV/0!,,39.9%,#DIV/0!
Total,9.2%,#DIV/0!,,50.9%,#DIV/0!,,15.8%,#DIV/0!,,24.1%,#DIV/0!
,,,,,,,,,,,
VA Beach,,,,,,,,,,,
Bus,28.1%,25.2%,,33.7%,33.6%,,15.2%,17.8%,,23.0%,23.4%
Paratransit,6.5%,5.8%,,37.8%,37.6%,,15.8%,18.4%,,39.9%,38.2%
Total,23.2%,19.4%,,34.6%,34.8%,,15.8%,18.0%,,26.9%,27.8%
,,,,,,,,,,,
Hampton,,,,,,,,,,,
Bus,23.3%,23.1%,,38.8%,36.9%,,15.8%,18.4%,,22.0%,21.6%
Paratransit,6.5%,5.8%,,37.8%,37.6%,,15.8%,18.4%,,36.9%,38.2%
Total,19.7%,18.7%,,38.6%,37.0%,,15.8%,18.4%,,25.9%,25.8%
,,,,,,,,,,,
Newport News,,,,,,,,,,,
Bus,26.6%,28.8%,,35.5%,31.2%,,15.8%,18.4%,,22.0%,21.6%
Paratransit,6.5%,5.8%,,37.8%,37.6%,,15.8%,18.4%,,39.9%,38.2%
Total,23.1%,24.2%,,35.9%,32.5%,,15.8%,18.4%,,25.2%,25.0%
,,,,,,,,,,,
MAX,21.2%,28.2%,,0.0%,0.0%,,31.3%,24.6%,,47.5%,47.3%
