HRT November 2011 Comparison Summary,,,,,,,,,,,
,,,,,,,,,,,
,Passenger Revenue ,,,Local Assistance,,,State Assistance,,,Federal Assistance,
,Budget,Actual,,Budget,Actual,,Budget,Actual,,Budget,Actual
System-wide,,,,,,,,,,,
Bus,25.4%,22.2%,,25.4%,36.0%,,25.4%,16.6%,,25.4%,25.3%
Light Rail,8.8%,15.4%,,19.5%,10.0%,,15.0%,15.0%,,56.7%,59.6%
Ferry,25.3%,20.2%,,29.3%,61.6%,,15.8%,16.9%,,29.8%,1.4%
Paratransit,6.5%,5.1%,,37.8%,38.3%,,15.8%,16.9%,,39.9%,39.7%
Total,20.4%,18.8%,,32.8%,34.2%,,15.3%,16.5%,,31.5%,30.5%
,,,,,,,,,,,
Chesapeake,,,,,,,,,,,
Bus,22.8%,21.5%,,39.4%,39.6%,,15.8%,16.9%,,22.8%,22.0%
Paratransit,6.5%,5.1%,,37.8%,38.3%,,15.8%,16.9%,,39.9%,39.7%
Total,17.9%,16.3%,,38.9%,39.2%,,15.8%,16.9%,,27.4%,27.6%
,,,,,,,,,,,
Norfolk,,,,,,,,,,,
Bus,27.0%,21.0%,,34.6%,37.7%,,15.0%,15.2%,,23.3%,26.1%
Light Rail,8.8%,15.4%,,19.5%,10.0%,,15.0%,15.0%,,56.7%,59.6%
Ferry,25.3%,20.2%,,29.3%,61.6%,,15.8%,16.9%,,29.6%,1.4%
Paratransit,6.5%,5.1%,,37.8%,38.3%,,15.8%,16.9%,,39.9%,39.7%
Total,19.4%,18.3%,,30.1%,32.0%,,15.8%,15.3%,,36.5%,34.3%
,,,,,,,,,,,
Portsmouth,,,,,,,,,,,
Bus,22.3%,18.7%,,39.4%,41.7%,,15.0%,16.4%,,25.8%,23.3%
Ferry,25.3%,20.2%,,29.3%,61.6%,,15.8%,16.9%,,29.6%,1.4%
Paratransit,6.5%,5.1%,,37.8%,38.3%,,15.8%,16.9%,,39.9%,39.7%
Total,20.7%,17.1%,,38.2%,42.6%,,15.8%,16.5%,,25.9%,23.9%
,,,,,,,,,,,
Suffolk,,,,,,,,,,,
Bus,9.5%,8.1%,,52.6%,53.0%,,15.8%,16.9%,,22.0%,22.0%
Paratransit,6.5%,5.1%,,37.8%,38.3%,,15.8%,16.9%,,39.9%,39.7%
Total,9.2%,7.7%,,50.9%,51.2%,,15.8%,16.9%,,24.1%,24.3%
,,,,,,,,,,,
VA Beach,,,,,,,,,,,
Bus,28.1%,24.7%,,33.7%,35.2%,,15.2%,16.3%,,23.0%,23.8%
Paratransit,6.5%,5.1%,,37.8%,38.3%,,15.8%,16.9%,,39.9%,39.7%
Total,23.2%,19.0%,,34.6%,36.1%,,15.8%,16.5%,,26.9%,28.5%
,,,,,,,,,,,
Hampton,,,,,,,,,,,
Bus,23.3%,21.5%,,38.8%,39.6%,,15.8%,16.9%,,22.0%,22.0%
Paratransit,6.5%,5.1%,,37.8%,38.3%,,15.8%,16.9%,,36.9%,39.7%
Total,19.7%,17.8%,,38.6%,39.3%,,15.8%,16.9%,,25.9%,26.1%
,,,,,,,,,,,
Newport News,,,,,,,,,,,
Bus,26.6%,27.0%,,35.5%,34.1%,,15.8%,16.9%,,22.0%,22.0%
Paratransit,6.5%,5.1%,,37.8%,38.3%,,15.8%,16.9%,,39.9%,39.7%
Total,23.1%,22.8%,,35.9%,34.9%,,15.8%,16.9%,,25.2%,25.4%
,,,,,,,,,,,
MAX,21.2%,21.3%,,0.0%,0.0%,,31.3%,26.9%,,47.5%,51.8%
