Name: “Table 1 of 1 on page 43 of 62”,Name: “Table 1 of 1 on page 43 of 62”,Name: “Table 1 of 1 on page 43 of 62”,Name: “Table 1 of 1 on page 43 of 62”,Name: “Table 1 of 1 on page 43 of 62”,Name: “Table 1 of 1 on page 43 of 62”,Name: “Table 1 of 1 on page 43 of 62”,Name: “Table 1 of 1 on page 43 of 62”,Name: “Table 1 of 1 on page 43 of 62”,Name: “Table 1 of 1 on page 43 of 62”,Name: “Table 1 of 1 on page 43 of 62”
Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43
,,,,,,,,,,
proceeds from land sales.,proceeds from land sales.,proceeds from land sales.,proceeds from land sales.,"In FY 2014, the city is expecting to receive about $9.8 million which makes up","In FY 2014, the city is expecting to receive about $9.8 million which makes up","In FY 2014, the city is expecting to receive about $9.8 million which makes up","In FY 2014, the city is expecting to receive about $9.8 million which makes up","In FY 2014, the city is expecting to receive about $9.8 million which makes up","In FY 2014, the city is expecting to receive about $9.8 million which makes up","In FY 2014, the city is expecting to receive about $9.8 million which makes up"
approximately 1.2 percent of the General Fund revenues.,approximately 1.2 percent of the General Fund revenues.,approximately 1.2 percent of the General Fund revenues.,approximately 1.2 percent of the General Fund revenues.,approximately 1.2 percent of the General Fund revenues.,approximately 1.2 percent of the General Fund revenues.,approximately 1.2 percent of the General Fund revenues.,approximately 1.2 percent of the General Fund revenues.,approximately 1.2 percent of the General Fund revenues.,"The 9.8 percent (or about $876,500) increase in this","The 9.8 percent (or about $876,500) increase in this"
revenue category from the FY 2014 budget is mainly due to one-time revenues.,revenue category from the FY 2014 budget is mainly due to one-time revenues.,revenue category from the FY 2014 budget is mainly due to one-time revenues.,revenue category from the FY 2014 budget is mainly due to one-time revenues.,revenue category from the FY 2014 budget is mainly due to one-time revenues.,revenue category from the FY 2014 budget is mainly due to one-time revenues.,revenue category from the FY 2014 budget is mainly due to one-time revenues.,revenue category from the FY 2014 budget is mainly due to one-time revenues.,revenue category from the FY 2014 budget is mainly due to one-time revenues.,,
N ON -CATEGORICAL AID - VIRGINIA,N ON -CATEGORICAL AID - VIRGINIA,N ON -CATEGORICAL AID - VIRGINIA,N ON -CATEGORICAL AID - VIRGINIA,N ON -CATEGORICAL AID - VIRGINIA,N ON -CATEGORICAL AID - VIRGINIA,N ON -CATEGORICAL AID - VIRGINIA,N ON -CATEGORICAL AID - VIRGINIA,,,
Non-Categorical aid contains state revenues that are generally shared with localities without restriction as to use.,Non-Categorical aid contains state revenues that are generally shared with localities without restriction as to use.,Non-Categorical aid contains state revenues that are generally shared with localities without restriction as to use.,Non-Categorical aid contains state revenues that are generally shared with localities without restriction as to use.,Non-Categorical aid contains state revenues that are generally shared with localities without restriction as to use.,Non-Categorical aid contains state revenues that are generally shared with localities without restriction as to use.,Non-Categorical aid contains state revenues that are generally shared with localities without restriction as to use.,Non-Categorical aid contains state revenues that are generally shared with localities without restriction as to use.,Non-Categorical aid contains state revenues that are generally shared with localities without restriction as to use.,Non-Categorical aid contains state revenues that are generally shared with localities without restriction as to use.,Non-Categorical aid contains state revenues that are generally shared with localities without restriction as to use.
"In FY 2014, non-categorical aid is projected to be flat.","In FY 2014, non-categorical aid is projected to be flat.","In FY 2014, non-categorical aid is projected to be flat.","In FY 2014, non-categorical aid is projected to be flat.","In FY 2014, non-categorical aid is projected to be flat.","In FY 2014, non-categorical aid is projected to be flat.","In FY 2014, non-categorical aid is projected to be flat.","In FY 2014, non-categorical aid is projected to be flat.",Non-categorical aid makes up about 3.9 percent (or $32.0,Non-categorical aid makes up about 3.9 percent (or $32.0,Non-categorical aid makes up about 3.9 percent (or $32.0
million) of General Fund revenues.,million) of General Fund revenues.,million) of General Fund revenues.,million) of General Fund revenues.,million) of General Fund revenues.,million) of General Fund revenues.,,,,,
S HARED EXPENSES,S HARED EXPENSES,S HARED EXPENSES,S HARED EXPENSES,,,,,,,
Shared expenses consist of recovered costs from the Commonwealth for a portion of the salaries and benefits of,Shared expenses consist of recovered costs from the Commonwealth for a portion of the salaries and benefits of,Shared expenses consist of recovered costs from the Commonwealth for a portion of the salaries and benefits of,Shared expenses consist of recovered costs from the Commonwealth for a portion of the salaries and benefits of,Shared expenses consist of recovered costs from the Commonwealth for a portion of the salaries and benefits of,Shared expenses consist of recovered costs from the Commonwealth for a portion of the salaries and benefits of,Shared expenses consist of recovered costs from the Commonwealth for a portion of the salaries and benefits of,Shared expenses consist of recovered costs from the Commonwealth for a portion of the salaries and benefits of,Shared expenses consist of recovered costs from the Commonwealth for a portion of the salaries and benefits of,Shared expenses consist of recovered costs from the Commonwealth for a portion of the salaries and benefits of,Shared expenses consist of recovered costs from the Commonwealth for a portion of the salaries and benefits of
