Name: “Table 1 of 1 on page 62 of 62”,Name: “Table 1 of 1 on page 62 of 62”,Name: “Table 1 of 1 on page 62 of 62”,Name: “Table 1 of 1 on page 62 of 62”,Name: “Table 1 of 1 on page 62 of 62”,Name: “Table 1 of 1 on page 62 of 62”,Name: “Table 1 of 1 on page 62 of 62”,Name: “Table 1 of 1 on page 62 of 62”,Name: “Table 1 of 1 on page 62 of 62”,Name: “Table 1 of 1 on page 62 of 62”
Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62,Table: 62
,,,,,,,,,
Fisca,Parking Revenue (1),Parking Revenue (1),,Wastewater Revenue (1),Wastewater Revenue (1),Wastewater Revenue (1),,Totals (1),
l Year,Principal,Interest,Total,Principal,Interest,Total,Principal,Interest,Total
2013,"2,690,000","4,051,025","6,741,025","1,725,000",-,"1,725,000","70,122,381","52,005,179","122,127,560"
2014,"2,835,000","3,918,825","6,753,825","1,957,500",-,"1,957,500","68,174,307","52,178,361","120,352,668"
2015,"2,970,000","3,779,000","6,749,000","2,490,000",-,"2,490,000","69,248,572","49,634,302","118,882,874"
2016,"3,085,000","3,654,300","6,739,300","2,790,000",-,"2,790,000","65,622,217","46,811,035","112,433,251"
2017,"3,240,000","3,512,000","6,752,000","2,790,000",-,"2,790,000","67,272,060","43,970,883","111,242,943"
2018,"3,385,000","3,362,550","6,747,550","2,790,000",-,"2,790,000","68,150,563","41,105,114","109,255,676"
2019,"3,545,000","3,206,375","6,751,375","2,790,000",-,"2,790,000","68,486,600","38,034,599","106,521,198"
2020,"3,755,000","3,056,075","6,811,075","2,790,000",-,"2,790,000","68,360,189","35,223,769","103,583,958"
2021,"3,945,000","2,871,725","6,816,725","2,790,000",-,"2,790,000","67,650,302","32,226,938","99,877,240"
2022,"4,145,000","2,678,025","6,823,025","2,790,000",-,"2,790,000","67,959,124","29,419,414","97,378,538"
2023,"4,350,000","2,474,013","6,824,013","2,790,000",-,"2,790,000","68,019,846","26,406,917","94,426,763"
2024,"4,555,000","2,259,400","6,814,400","2,790,000",-,"2,790,000","67,802,532","23,394,595","91,197,128"
2025,"4,780,000","2,034,650","6,814,650","2,790,000",-,"2,790,000","61,903,461","20,496,241","82,399,702"
2026,"5,025,000","1,797,725","6,822,725","2,790,000",-,"2,790,000","60,303,857","17,681,581","77,985,438"
2027,"5,275,000","1,548,650","6,823,650","2,790,000",-,"2,790,000","52,309,941","15,085,114","67,395,054"
