Name: “Table 1 of 1 on page 66 of 121”,Name: “Table 1 of 1 on page 66 of 121”,Name: “Table 1 of 1 on page 66 of 121”,Name: “Table 1 of 1 on page 66 of 121”,Name: “Table 1 of 1 on page 66 of 121”,Name: “Table 1 of 1 on page 66 of 121”,Name: “Table 1 of 1 on page 66 of 121”,Name: “Table 1 of 1 on page 66 of 121”,Name: “Table 1 of 1 on page 66 of 121”
Table: 56,Table: 56,Table: 56,Table: 56,Table: 56,Table: 56,Table: 56,Table: 56,Table: 56
,,,,,,,,
,Project Information,Project Information,,,,,,
Name:,Buckroe Community Center/Aquatics Facility,Category: Master Plans,Category: Master Plans,,,,,
Contact:,John Veneziano,District: 6,,,,,,
Department: Public Works-Administration (757) 727-6346,Department: Public Works-Administration (757) 727-6346,,,,,,,
Project Description and Scope,,,,,,,,
,Project Description and Scope,Project Description and Scope,,,,,,Community
"Hampton currently has four community centers, constructed in 1964, 1975, 1991 and 2003. The City Council adopted the","Hampton currently has four community centers, constructed in 1964, 1975, 1991 and 2003. The City Council adopted the","Hampton currently has four community centers, constructed in 1964, 1975, 1991 and 2003. The City Council adopted the","Hampton currently has four community centers, constructed in 1964, 1975, 1991 and 2003. The City Council adopted the","Hampton currently has four community centers, constructed in 1964, 1975, 1991 and 2003. The City Council adopted the","Hampton currently has four community centers, constructed in 1964, 1975, 1991 and 2003. The City Council adopted the",Elementary,,Center
,,,,,,,School,
"Parks and Recreation 2020 Master Plan which was based, in part, on national facility standards that recommended the","Parks and Recreation 2020 Master Plan which was based, in part, on national facility standards that recommended the","Parks and Recreation 2020 Master Plan which was based, in part, on national facility standards that recommended the","Parks and Recreation 2020 Master Plan which was based, in part, on national facility standards that recommended the","Parks and Recreation 2020 Master Plan which was based, in part, on national facility standards that recommended the","Parks and Recreation 2020 Master Plan which was based, in part, on national facility standards that recommended the",,,
construction of a fifth community center to meet the City's population and demand requirements. The Buckroe Master,construction of a fifth community center to meet the City's population and demand requirements. The Buckroe Master,construction of a fifth community center to meet the City's population and demand requirements. The Buckroe Master,construction of a fifth community center to meet the City's population and demand requirements. The Buckroe Master,construction of a fifth community center to meet the City's population and demand requirements. The Buckroe Master,construction of a fifth community center to meet the City's population and demand requirements. The Buckroe Master,,,
Plan recommended construction of a new facility in this district to serve the new Buckroe school and community. The,Plan recommended construction of a new facility in this district to serve the new Buckroe school and community. The,Plan recommended construction of a new facility in this district to serve the new Buckroe school and community. The,Plan recommended construction of a new facility in this district to serve the new Buckroe school and community. The,Plan recommended construction of a new facility in this district to serve the new Buckroe school and community. The,Plan recommended construction of a new facility in this district to serve the new Buckroe school and community. The,,,
"facility would contain multipurpose rooms, meeting rooms and offices.","facility would contain multipurpose rooms, meeting rooms and offices.","facility would contain multipurpose rooms, meeting rooms and offices.",The aquatics facility is scheduled to be,The aquatics facility is scheduled to be,The aquatics facility is scheduled to be,,Sample Only,
constructed in FY 2013.,,,,,,,,
,Expenditures,Amount,FY 2010,FY 2011,,FY 2012,FY 2013,FY 2014
Preliminary Designs/Plans,,,$0,$0,$0,$0,$0,$0
Engineering/Architectural Services,,"500,000",,0,0,"500,000",0,0
Land/Right-of-Way/Acquisition,,,0,0,0,0,0,0
Demolition/Grade/Site Preparation,,,0,0,0,0,0,0
Building/Utility Construction,,"6,800,000",,0,0,"4,000,000","2,800,000",0
Equipment/Machinery/Furniture,,"700,000",,0,0,"500,000","200,000",0
Other Costs,,,0,0,0,0,0,0
,Grand Total,"$8,000,000",,,,,,
,Revenues,Amount,FY 2010,FY 2011,,FY 2012,FY 2013,FY 2014
Congestion Mitigation Air Quality (CMAQ) Funds,Congestion Mitigation Air Quality (CMAQ) Funds,,$0,$0,$0,$0,$0,$0
General Fund Operating Revenues,,,0,0,0,0,0,0
General Fund Balance Transfer,,,0,0,0,0,0,0
General Obligation Bond Interest,,,0,0,0,0,0,0
General Obligation Bond Proceeds~City,,"8,000,000",,0,0,"5,000,000","3,000,000",0
General Obligation Bond Proceeds~School,,,0,0,0,0,0,0
Stormwater Funds,,,0,0,0,0,0,0
Urban Construction Funds,,,0,0,0,0,0,0
Urban Development Action Grant (UDAG) Funds,Urban Development Action Grant (UDAG) Funds,,0,0,0,0,0,0
Urban Maintenance Contributions,,,0,0,0,0,0,0
,Grand Total,"$8,000,000",,$0,$0,"$5,000,000","$3,000,000",$0
Project Status:,,,,,,Impact on Operating Budget:,Impact on Operating Budget:,
There is no status to report at this time.,,,,,,Personal Costs:,,"$400,000"
,,,,,,Operating Expenses:,,"100,000"
,,,,,,Capital Outlay:,,0
,,,,,,Total Recurring Annual Costs:,,"$500,000"
,,"City of Hampton, VA ~ FY 2010-2014 Capital Improvement Plan","City of Hampton, VA ~ FY 2010-2014 Capital Improvement Plan","City of Hampton, VA ~ FY 2010-2014 Capital Improvement Plan","City of Hampton, VA ~ FY 2010-2014 Capital Improvement Plan",,,
