Name: “Table 1 of 1 on page 102 of 121”,Name: “Table 1 of 1 on page 102 of 121”,Name: “Table 1 of 1 on page 102 of 121”,Name: “Table 1 of 1 on page 102 of 121”,Name: “Table 1 of 1 on page 102 of 121”,Name: “Table 1 of 1 on page 102 of 121”,Name: “Table 1 of 1 on page 102 of 121”,Name: “Table 1 of 1 on page 102 of 121”,Name: “Table 1 of 1 on page 102 of 121”
Table: 92,Table: 92,Table: 92,Table: 92,Table: 92,Table: 92,Table: 92,Table: 92,Table: 92
,,,,,,,,
,,Capital Improvement Plan,,,,,,
,,Contingency List,,,,,,
PROJECT,DEPARTMENT,DESCRIPTION,FY10,FY11,FY12,FY13,FY14,TOTAL
,,,,,,,,REQUEST
CATEGORY: Hampton's Waterways,CATEGORY: Hampton's Waterways,,,,,,,
,Wythe Phenix,,,,,,,
Greenbriar Avenue Drainage,,Scope of project and cost to be determined by the,Not yet,Not yet,Not yet,Not yet,Not yet,Not yet
,Improvement,,,,,,,
and Street Widening Projects,,Department of Public Works.,determined.,determined.,determined.,determined.,determined.,determined.
,Association,,,,,,,
,Wythe Phenix,,,,,,,
Little England Drainage,,Scope of project and cost to be determined by the,Not yet,Not yet,Not yet,Not yet,Not yet,Not yet
,Improvement,,,,,,,
Project,,Department of Public Works.,determined.,determined.,determined.,determined.,determined.,determined.
,Association,,,,,,,
,,Construct a permanent bulkhead along the pond to prevent,,,,,,
Ridgeway Park Bulkhead,Parks & Recreation,further erosion of the bank and runoff of sedimentation in the,0,"150,000",0,0,0,"150,000"
,,tidal basin.,,,,,,
,,TOTAL: Hampton's Waterways,0,"150,000",0,0,0,"150,000"
CATEGORY: Maintenance of Public Properties and Performance Support,CATEGORY: Maintenance of Public Properties and Performance Support,,,,,,,
,,"Reconstruct Air Power Park to include a new exhibit building,",,,,,,
Air Power Park,,"elevated plan pedestals, raising the grade of the park due to",,,,,,
,Parks & Recreation,,"3,000,000",0,0,0,0,"3,000,000"
Reconstruction,,"flooding, constructing new sidewalks and adding park",,,,,,
,,amenities.,,,,,,
Armistead Point Park,,Construct Armistead Point Park Community Center and,,,,,,
,Parks & Recreation,,"1,500,000","3,500,000",0,0,0,"5,000,000"
Community Campus,,Cultural Facility.,,,,,,
,,"Upgrade lighting systems at Lindsay Middle School,",,,,,,
Athletic Ball Field Light,,"Community Service Building, Spratley, Jane Bryan, Eaton,",,,,,,
,Parks & Recreation,,"250,000","250,000","250,000","250,000","250,000","1,250,000"
Upgrade,,"Davis, Asbury, and new installation at schools and park sites",,,,,,
,,with no lights.,,,,,,
,,Redesign Briarfield Park to accommodate eight,,,,,,
,,baseball/softball fields to accommodate increased,,,,,,
,,participation of youth baseball organizations and in response,,,,,,
Briarfield Park Redesign,Parks & Recreation,,"4,600,000",0,0,0,0,"4,600,000"
,,to the growing demand for lighted ball fields. The redesign,,,,,,
,,would also allow the City to host regional and national,,,,,,
,,tournaments.,,,,,,
,,Renovate and upgrade existing community centers. Install,,,,,,
Community Center,,"building security cameras, remodel building to be more",,,,,,
,Parks & Recreation,,"100,000","100,000","100,000","100,000","100,000","500,000"
Modernization,,"efficient, replace lighting, furniture fixtures, gymnasium floors,",,,,,,
,,"signage, and communication systems.",,,,,,
