Name: “Table 1 of 1 on page 53 of 121”,Name: “Table 1 of 1 on page 53 of 121”,Name: “Table 1 of 1 on page 53 of 121”,Name: “Table 1 of 1 on page 53 of 121”,Name: “Table 1 of 1 on page 53 of 121”,Name: “Table 1 of 1 on page 53 of 121”,Name: “Table 1 of 1 on page 53 of 121”,Name: “Table 1 of 1 on page 53 of 121”
Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43
,,,,,,,
,Project Information,,,,,,
Name:,Thomas Nelson Community College,Category: Education,,,,,
Contact:,Christine Snead,District: 2,,,,,
Department: Office of Budget and Management Analysis - (757) 727-6377,Department: Office of Budget and Management Analysis - (757) 727-6377,,,,,,
,Project Description and Scope,Project Description and Scope,,,,,
State mandated contribution to site improvements at Thomas Nelson Community College (TNCC) based on the number,State mandated contribution to site improvements at Thomas Nelson Community College (TNCC) based on the number,State mandated contribution to site improvements at Thomas Nelson Community College (TNCC) based on the number,State mandated contribution to site improvements at Thomas Nelson Community College (TNCC) based on the number,State mandated contribution to site improvements at Thomas Nelson Community College (TNCC) based on the number,,,
of Hampton residents enrolled.,,,,,,,
,Expenditures,Amount,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014
Preliminary Designs/Plans,,$0,$0,$0,$0,$0,$0
Engineering/Architectural Services,,0,0,0,0,0,0
Land/Right-of-Way/Acquisition,,0,0,0,0,0,0
Demolition/Grade/Site Preparation,,0,0,0,0,0,0
Building/Utility/Construction,,"745,568","169,104","144,116","144,116","144,116","144,116"
Equipment/Machinery/Furniture,,0,0,0,0,0,0
Other Costs,,0,0,0,0,0,0
,Grand Total,"$745,568",,,,,
,Revenues,Amount,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014
Congestion Mitigation Air Quality (CMAQ) Funds,,$0,$0,$0,$0,$0,$0
General Fund Operating Revenues,,"576,464",0,"144,116","144,116","144,116","144,116"
General Fund Balance Transfer,,0,0,0,0,0,0
General Obligation Bond Interest,,0,0,0,0,0,0
General Obligation Bond Proceeds~City,,"169,104","169,104",0,0,0,0
General Obligation Bond Proceeds~School,,0,0,0,0,0,0
Stormwater Funds,,0,0,0,0,0,0
Urban Construction Funds,,0,0,0,0,0,0
Urban Development Action Grant (UDAG) Funds,,0,0,0,0,0,0
Urban Maintenance Contributions,,0,0,0,0,0,0
,Grand Total,"$745,568","$169,104","$144,116","$144,116","$144,116","$144,116"
Project Status:,,,,,Impact on Operating Budget:,Impact on Operating Budget:,
"Funding received from the City of Hampton, as well as that of surrounding localities, funded the following improvements","Funding received from the City of Hampton, as well as that of surrounding localities, funded the following improvements","Funding received from the City of Hampton, as well as that of surrounding localities, funded the following improvements","Funding received from the City of Hampton, as well as that of surrounding localities, funded the following improvements","Funding received from the City of Hampton, as well as that of surrounding localities, funded the following improvements",There is no impact on the operating budget.,There is no impact on the operating budget.,
during fiscal year 2009.,,,,,,,
~ New road signs and directional sings on campus;,~ New road signs and directional sings on campus;,,,,,,
"~ Upgrade generator for TNCC's Information Technology department; and,","~ Upgrade generator for TNCC's Information Technology department; and,",,,,,,
~ Safety upgrades: install handicap ramps; remove dead and problem trees; and repair curbs and sidewalks.,~ Safety upgrades: install handicap ramps; remove dead and problem trees; and repair curbs and sidewalks.,~ Safety upgrades: install handicap ramps; remove dead and problem trees; and repair curbs and sidewalks.,~ Safety upgrades: install handicap ramps; remove dead and problem trees; and repair curbs and sidewalks.,,,,
,"City of Hampton, VA ~ FY 2010-2014 Capital Improvement Plan","City of Hampton, VA ~ FY 2010-2014 Capital Improvement Plan","City of Hampton, VA ~ FY 2010-2014 Capital Improvement Plan","City of Hampton, VA ~ FY 2010-2014 Capital Improvement Plan",,,
