Name: “Table 1 of 1 on page 60 of 121”,Name: “Table 1 of 1 on page 60 of 121”,Name: “Table 1 of 1 on page 60 of 121”,Name: “Table 1 of 1 on page 60 of 121”,Name: “Table 1 of 1 on page 60 of 121”,Name: “Table 1 of 1 on page 60 of 121”,Name: “Table 1 of 1 on page 60 of 121”,Name: “Table 1 of 1 on page 60 of 121”
Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50
,,,,,,,
,Project Information,,,,,,
Name:,City-wide Landscaping Upgrade,Category: Maintenance of Public Properties,Category: Maintenance of Public Properties,,,,
Contact:,Jim Wilson,,and Performance Support,,,,
Department: Parks and Recreation ~ (757) 727-6348,Department: Parks and Recreation ~ (757) 727-6348,District: City-wide,,,,,
Project Description and Scope,,,,,,,
,Project Description and Scope,Project Description and Scope,,,,,
"Replace unsightly overgrown shrubs, flower beds and ground covers at selected city-wide public buildings, major","Replace unsightly overgrown shrubs, flower beds and ground covers at selected city-wide public buildings, major","Replace unsightly overgrown shrubs, flower beds and ground covers at selected city-wide public buildings, major","Replace unsightly overgrown shrubs, flower beds and ground covers at selected city-wide public buildings, major","Replace unsightly overgrown shrubs, flower beds and ground covers at selected city-wide public buildings, major",,,
"thoroughfare medians and neighborhood entryways. Redesign flower beds by installing perennial flowers, ground covers,","thoroughfare medians and neighborhood entryways. Redesign flower beds by installing perennial flowers, ground covers,","thoroughfare medians and neighborhood entryways. Redesign flower beds by installing perennial flowers, ground covers,","thoroughfare medians and neighborhood entryways. Redesign flower beds by installing perennial flowers, ground covers,","thoroughfare medians and neighborhood entryways. Redesign flower beds by installing perennial flowers, ground covers,",,,
mulch and irrigation systems in highly visible areas. Neglect of maintenance leads to safety issues such as the blockage,mulch and irrigation systems in highly visible areas. Neglect of maintenance leads to safety issues such as the blockage,mulch and irrigation systems in highly visible areas. Neglect of maintenance leads to safety issues such as the blockage,mulch and irrigation systems in highly visible areas. Neglect of maintenance leads to safety issues such as the blockage,mulch and irrigation systems in highly visible areas. Neglect of maintenance leads to safety issues such as the blockage,,,
of street signs and building signage.,,,,,,,
,,,,,,,Illustrative
,Expenditures,Amount,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014
Preliminary Designs/Plans,,$0,$0,$0,$0,$0,$0
Engineering/Architectural Services,,0,0,0,0,0,0
Land/Right-of-Way/Acquisition,,0,0,0,0,0,0
Demolition/Grade/Site Preparation,,0,0,0,0,0,0
Building/Utility/Construction,,0,0,0,0,0,0
Equipment/Machinery/Furniture,,0,0,0,0,0,0
Other Costs,,"600,000","200,000","200,000","200,000",0,0
,Grand Total,"$600,000",,,,,
,Revenues,Amount,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014
Congestion Mitigation Air Quality (CMAQ) Funds,,$0,$0,$0,$0,$0,$0
General Fund Operating Revenues,,"400,000",0,"200,000","200,000",0,0
General Fund Balance Transfer,,0,0,0,0,0,0
General Obligation Bond Interest,,"200,000","200,000",0,0,0,0
General Obligation Bond Proceeds~City,,0,0,0,0,0,0
General Obligation Bond Proceeds~School,,0,0,0,0,0,0
Stormwater Funds,,0,0,0,0,0,0
Urban Construction Funds,,0,0,0,0,0,0
Urban Development Action Grant (UDAG) Funds,Urban Development Action Grant (UDAG) Funds,0,0,0,0,0,0
Urban Maintenance Contributions,,0,0,0,0,0,0
,Grand Total,"$600,000","$200,000","$200,000","$200,000",$0,$0
Project Status:,,,,,Impact on Operating Budget:,Impact on Operating Budget:,
This is an on-going project to support the City's beautification efforts.,This is an on-going project to support the City's beautification efforts.,,,,This on-going project requires funding for continual grounds-,This on-going project requires funding for continual grounds-,This on-going project requires funding for continual grounds-
,,,,,keeping and maintenance.,,
,,"City of Hampton, VA ~ FY 2010-2014 Capital Improvement Plan","City of Hampton, VA ~ FY 2010-2014 Capital Improvement Plan","City of Hampton, VA ~ FY 2010-2014 Capital Improvement Plan",,,
