Name: “Table 1 of 1 on page 48 of 121”,Name: “Table 1 of 1 on page 48 of 121”,Name: “Table 1 of 1 on page 48 of 121”,Name: “Table 1 of 1 on page 48 of 121”,Name: “Table 1 of 1 on page 48 of 121”,Name: “Table 1 of 1 on page 48 of 121”
Table: 38,Table: 38,Table: 38,Table: 38,Table: 38,Table: 38
,,,,,
,,,Capital Improvement Plan,Capital Improvement Plan,
,,,FY 2010 Impact on Operating Budget,FY 2010 Impact on Operating Budget,
,Project Category/Project,Cost,Funding Source,Operating Budget Impact,Department
Streets and Infrastructure,,,,,
Hampton Electric Automated Transit,Hampton Electric Automated Transit,"267,296",CMAQ,There is no impact on the operating budget.,Public Works - Engineering
Saunders Road Improvements,Saunders Road Improvements,"15,000,000",UCF,There is no impact on the operating budget.,Public Works - Engineering
,,,,,Public Works - Streets and
Street Resurfacing Program,,"4,385,000",UMC - GF,There is no impact on the operating budget.,
,,,,,Roads
Total,,"$38,317,400",,,
Note:,"The Capital Projects for fiscal year 2010 are funded using General Fund Balance ($4,487,500), Urban Maintenance Contribution ($4,035,000),","The Capital Projects for fiscal year 2010 are funded using General Fund Balance ($4,487,500), Urban Maintenance Contribution ($4,035,000),","The Capital Projects for fiscal year 2010 are funded using General Fund Balance ($4,487,500), Urban Maintenance Contribution ($4,035,000),","The Capital Projects for fiscal year 2010 are funded using General Fund Balance ($4,487,500), Urban Maintenance Contribution ($4,035,000),",Congestion Mitigation Air
"Quality Funds ($267,296),","General Obligation Bond interest ($3,900,000);","General Obligation Bond interest ($3,900,000);","General Obligation Bond interest ($3,900,000);","General Obligation Bond Proceeds ($4,555,104),","General Obligation Bond for Schools ($5,287,500),"
"Stormwater Funds ($585,000), Urban Construction Funds ($15,000,000) and Urban Development Action Grant Funds ($200,000).","Stormwater Funds ($585,000), Urban Construction Funds ($15,000,000) and Urban Development Action Grant Funds ($200,000).","Stormwater Funds ($585,000), Urban Construction Funds ($15,000,000) and Urban Development Action Grant Funds ($200,000).","Stormwater Funds ($585,000), Urban Construction Funds ($15,000,000) and Urban Development Action Grant Funds ($200,000).","Stormwater Funds ($585,000), Urban Construction Funds ($15,000,000) and Urban Development Action Grant Funds ($200,000).",
