Name: “Table 1 of 1 on page 41 of 121”,Name: “Table 1 of 1 on page 41 of 121”,Name: “Table 1 of 1 on page 41 of 121”,Name: “Table 1 of 1 on page 41 of 121”,Name: “Table 1 of 1 on page 41 of 121”,Name: “Table 1 of 1 on page 41 of 121”,Name: “Table 1 of 1 on page 41 of 121”
Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31
,,,,,,
Capital Improvement Plan by Funding Source,Capital Improvement Plan by Funding Source,Capital Improvement Plan by Funding Source,Capital Improvement Plan by Funding Source,,,
,Fiscal Years 2010 ~ 2014,Fiscal Years 2010 ~ 2014,,,,
EXPENDITURES (Cont'd),FY10,FY11,FY12,FY13,FY14,Total
General Obligation Bond Proceeds (cont'd ),General Obligation Bond Proceeds (cont'd ),General Obligation Bond Proceeds (cont'd ),General Obligation Bond Proceeds (cont'd ),,,
Public Safety,,,,,,
EOC/911/311 Relocation,0,0,"4,572,970",0,0,"4,572,970"
Pre-Wiring of Critical Facilities for Generator Service,"200,000",0,0,0,0,"200,000"
Public Safety Radio System,0,0,"15,177,030",0,0,"15,177,030"
Weapons Range Cleaning/Lead Abatement,"236,000",0,0,0,0,"236,000"
Wythe Fire Station,0,0,0,"2,800,000",0,"2,800,000"
Streets and Infrastructure,,,,,,
City-wide Street Resurfacing,"350,000",0,0,0,0,"350,000"
Total,"4,555,104","5,000,000","47,750,000","28,712,500",0,"86,017,604"
General Obligation Bond Proceeds ~ Schools,General Obligation Bond Proceeds ~ Schools,General Obligation Bond Proceeds ~ Schools,General Obligation Bond Proceeds ~ Schools,,,
Education,,,,,,
Hampton City School Construction,0,0,"52,300,000",0,0,"52,300,000"
Hampton City School Enhanced Maintenance,"2,900,000","2,900,000","2,900,000","2,900,000","2,900,000","14,500,000"
Hampton City School General Maintenance,"2,387,500","2,387,500","2,387,500","2,387,500","2,387,500","11,937,500"
Total,"5,287,500","5,287,500","57,587,500","5,287,500","5,287,500","78,737,500"
,Stormwater Funds,Stormwater Funds,,,,
Neighborhood Support,,,,,,
Neighborhood Curb and Gutter Program,"585,000","585,000","585,000","585,000","585,000","2,925,000"
Total,"585,000","585,000","585,000","585,000","585,000","2,925,000"
,Urban Construction Funds,Urban Construction Funds,,,,
Streets and Infrastructure,,,,,,
Saunders Road Improvements,"15,000,000",0,0,0,0,"15,000,000"
Total,"15,000,000",0,0,0,0,"15,000,000"
