Name: “Table 1 of 1 on page 103 of 121”,Name: “Table 1 of 1 on page 103 of 121”,Name: “Table 1 of 1 on page 103 of 121”,Name: “Table 1 of 1 on page 103 of 121”,Name: “Table 1 of 1 on page 103 of 121”,Name: “Table 1 of 1 on page 103 of 121”,Name: “Table 1 of 1 on page 103 of 121”,Name: “Table 1 of 1 on page 103 of 121”,Name: “Table 1 of 1 on page 103 of 121”
Table: 93,Table: 93,Table: 93,Table: 93,Table: 93,Table: 93,Table: 93,Table: 93,Table: 93
,,,,,,,,
,,Capital Improvement Plan,,,,,,
,,Contingency List,,,,,,
PROJECT,DEPARTMENT,DESCRIPTION,FY10,FY11,FY12,FY13,FY14,TOTAL
,,,,,,,,REQUEST
CATEGORY: Maintenance of Public Properties and Performance Support (Cont'd ),CATEGORY: Maintenance of Public Properties and Performance Support (Cont'd ),CATEGORY: Maintenance of Public Properties and Performance Support (Cont'd ),,,,,,
,,Construct a 176 car parking lot on the vacant lot at the,,,,,,
Darling Stadium Parking Lot,,,,,,,,
,Parks & Recreation,"intersection of Kecoughtan Road, Newport News Avenue and",0,"275,000",0,0,0,"275,000"
Expansion,,,,,,,,
,,Thornette Street.,,,,,,
Gosnold Hope Park,,Redesign Gosnold's Hope Park to better utilize the park,,,,,,
,Parks & Recreation,,"1,000,000","1,000,000",0,0,0,"2,000,000"
Redevelopment,,areas.,,,,,,
,,Demolish existing facilities and construct a new,,,,,,
Grundland Creek Park,Parks & Recreation,environmental nature center and neighborhood resource,"600,000","6,000,000",0,0,0,"6,600,000"
,,center.,,,,,,
,,Upgrade Museum exhibits to include more interactive,,,,,,
,,"materials, exhibit cases for second floor changing gallery,",,,,,,
Hampton History Museum,Parks & Recreation,installation of freight elevator and purchase existing,"150,000","200,000","650,000","1,500,000",0,"2,500,000"
,,warehouse storage for all large objects of collection in one,,,,,,
,,secure and controlled location.,,,,,,
,,"Expansion to include a floating pier, with electrical and water",,,,,,
,,"hook-ups, capable of mooring 24 transient recreational",,,,,,
,Downtown Hampton,,,,,,,
Hampton Public Piers,,vessels 26 feet in length or longer. Permanent restroom,,,,,,
,Development,,"118,900","118,900","118,900",0,0,"356,700"
Expansion Project,,facilities will be constructed at Mill Point Park adjacent to the,,,,,,
,Partnership,,,,,,,
,,"public Piers and would include a laundry room, showers and",,,,,,
,,restrooms for transient boaters.,,,,,,
Playground Improvement,,Remove defective playground equipment from selected,,,,,,
,Parks & Recreation,,"150,000","150,000","150,000","150,000","150,000","750,000"
Project,,"schools and parks, and replace with new equipment.",,,,,,
Tennis Center Building,Parks & Recreation,Construct new office building and locker rooms.,0,"450,000",0,0,0,"450,000"
,,"Rebuild #1 Woods green complex to include drainage,",,,,,,
The Hampton's Golf Course,,irrigation and bunker construction. Rebuild and renovate tees,,,,,,
,Parks & Recreation,,0,"75,000",0,0,0,"75,000"
Improvements,,and drainage areas with top soil and rip rap. Install two,,,,,,
,,modular portalets on the course.,,,,,,
Thomas Eaton Middle School,,Construct walking paths and bicycle trails throughout Thomas,,,,,,
and Cooper Elementary,Planning,Eaton Middle School and Cooper Elementary School yards,0,0,"100,000","100,000",0,"200,000"
School Neighborhood Parks,,so they can be utilized as neighborhood parks.,,,,,,
