Name: “Table 1 of 1 on page 104 of 121”,Name: “Table 1 of 1 on page 104 of 121”,Name: “Table 1 of 1 on page 104 of 121”,Name: “Table 1 of 1 on page 104 of 121”,Name: “Table 1 of 1 on page 104 of 121”,Name: “Table 1 of 1 on page 104 of 121”,Name: “Table 1 of 1 on page 104 of 121”,Name: “Table 1 of 1 on page 104 of 121”,Name: “Table 1 of 1 on page 104 of 121”
Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94
,,,,,,,,
,,Capital Improvement Plan,,,,,,
,,Contingency List,,,,,,
PROJECT,DEPARTMENT,DESCRIPTION,FY10,FY11,FY12,FY13,FY14,TOTAL
,,,,,,,,REQUEST
CATEGORY: Maintenance of Public Properties and Performance Support (Cont'd ),CATEGORY: Maintenance of Public Properties and Performance Support (Cont'd ),CATEGORY: Maintenance of Public Properties and Performance Support (Cont'd ),,,,,,
Northampton Community,,Construct indoor pool addition to the existing community,,,,,,
,Parks & Recreation,,0,0,"2,000,000",0,0,"2,000,000"
Center Pool,,center.,,,,,,
,,"A state-of-the-art 20,000 square foot, full-service branch",,,,,,
,,"library facility with increased space for collection display,",,,,,,
Willow Oaks Branch Library,Public Library,,0,"400,000","1,500,000","4,400,000",0,"6,300,000"
,,"public computing, individual and group study, tutoring,",,,,,,
,,programming and public meetings.,,,,,,
,,Install bulkheads and/or retaining walls along the Hampton,,,,,,
Woodlands Golf Course:,,,,,,,,
,,River which runs through the course. Included in this,,,,,,
Erosion Plan and,Parks & Recreation,,0,"420,000",0,0,0,"420,000"
,,"estimate are the costs for regulatory permits, design and",,,,,,
Improvement,,,,,,,,
,,inspections.,,,,,,
Woodland's Golf Course:,,Completely renovate all 18 greens and the practice putting,,,,,,
,Parks & Recreation,,0,0,"85,000",0,0,"85,000"
Greens Renovations,,green with new bent grass.,,,,,,
,,TOTAL: Maintenance of Public Properties and Performance Support,"11,468,900","12,938,900","4,953,900","6,500,000","500,000","36,361,700"
CATEGORY: Master Plans,,,,,,,,
,,Acquire land along Armistead Avenue (west side of,,,,,,
Armistead Avenue Property,Economic,"Armistead Avenue bordered by Heffelfinger Street, Back",,,,,,
,,,0,0,0,"900,000",0,"900,000"
Acquisitions and Demolitions,Development,River Road and Interstate 64) to facilitate the Master Plan's,,,,,,
,,recommendations for the area.,,,,,,
Buckroe Master Plan: Atlantic,Economic,Anticipated funds needed for property acquisition and,,,,,,
,,,0,0,0,"5,000,000",0,"5,000,000"
Avenue Redevelopment,Development,demolition in the Atlantic Avenue area.,,,,,,
,,Establish Buckroe Avenue as the community's main street by,,,,,,
Buckroe Master Plan: Buckroe Economic,Buckroe Master Plan: Buckroe Economic,,,,,,,
,,improving public areas along Buckroe Avenue between,0,0,"200,000","200,000","200,000","600,000"
Avenue,Development,,,,,,,
,,Mallory and First Streets.,,,,,,
Buckroe Master Plan:,Economic,,,,,,,
,,Reposition the Buckroe Shopping Center.,0,0,0,"750,000",0,"750,000"
Buckroe Shopping Center,Development,,,,,,,
Buckroe Master Plan:,,,,,,,,
,Economic,Land acquisitions and actions to facilitate redevelopment of,,,,,,
Redevelopment of College,,,0,0,0,"3,200,000",0,"3,200,000"
,Development,College Court.,,,,,,
Court,,,,,,,,
