Name: “Table 1 of 1 on page 106 of 121”,Name: “Table 1 of 1 on page 106 of 121”,Name: “Table 1 of 1 on page 106 of 121”,Name: “Table 1 of 1 on page 106 of 121”,Name: “Table 1 of 1 on page 106 of 121”,Name: “Table 1 of 1 on page 106 of 121”,Name: “Table 1 of 1 on page 106 of 121”,Name: “Table 1 of 1 on page 106 of 121”,Name: “Table 1 of 1 on page 106 of 121”
Table: 96,Table: 96,Table: 96,Table: 96,Table: 96,Table: 96,Table: 96,Table: 96,Table: 96
,,,,,,,,
,,Capital Improvement Plan,Capital Improvement Plan,,,,,
,,Contingency List,,,,,,
PROJECT,DEPARTMENT,DESCRIPTION,FY10,FY11,FY12,FY13,FY14,TOTAL
,,,,,,,,REQUEST
CATEGORY: Master Plans (Cont'd ),CATEGORY: Master Plans (Cont'd ),,,,,,,
,,Implement activities of the Kecoughtan Road Corridor Master,,,,,,
West Kecoughtan Road,,"Plan such as generating a gateway feature, city-line and",,,,,,
,Planning,,"1,500,000",0,0,0,0,"1,500,000"
Gateway,,redesigning and developing Kecoughtan Road as a,,,,,,
,,residential boulevard.,,,,,,
,,TOTAL: Master Plans,"3,900,000","2,825,000","450,000","12,400,000","200,000","19,775,000"
CATEGORY: Neighborhood Support,CATEGORY: Neighborhood Support,,,,,,,
Flood Assistance Program,Public Works,Annual funding of the Flood Assistance Program.,"600,000","600,000","600,000","600,000","600,000","3,000,000"
Pasture Point Noise Wall,,Construct noise wall along I-64 from King Street to River,,,,,,
,Neighborhood Office,,"2,400,000",0,0,0,0,"2,400,000"
along Interstate 64,,Street.,,,,,,
,,TOTAL: Neighborhood Support,"3,000,000","600,000","600,000","600,000","600,000","5,400,000"
CATEGORY: New Facilities,,,,,,,,
,,"Construction of a state-of-the-art 20,000 square foot, full-",,,,,,
Armistead Point Branch,,service branch library with increased space for collection,,,,,,
,Public Library,,0,"400,000","500,000","4,400,000",0,"5,300,000"
Library,,"display, public computing, individual study, group study,",,,,,,
,,"tutoring, programming and public meetings.",,,,,,
,,Construction of a major sewage pumping station in the,,,,,,
,,vicinity of Interstate 64/Pine Chapel Road to serve future,,,,,,
Crossroads Area Pumping,Public Works -,,,,,,,
,,"development in the Crossroads area, redevelopment of the","1,875,000",0,0,0,0,"1,875,000"
Station,Wastewater,,,,,,,
,,"Bluebird Gap Farm area, and to eliminate one or more",,,,,,
,,existing sewage pumping stations.,,,,,,
,,Construction of a parking garage and connecting street,,,,,,
Government Center,Planning,extending Syms Street to King Street to facilitate increased,"2,750,000",0,0,0,0,"2,750,000"
,,connectivity across the site.,,,,,,
,,Satellite fueling station with canopy (part of new EOC and,,,,,,
Satellite Fueling Station,Fleet Services,,"250,000","510,000","10,000","10,000",0,"780,000"
,,Fire Station project off of Big Bethel Road).,,,,,,
,,TOTAL: New Facilities,"4,875,000","910,000","510,000","4,410,000",0,"10,705,000"
