Name: “Table 1 of 1 on page 2 of 121”,Name: “Table 1 of 1 on page 2 of 121”,Name: “Table 1 of 1 on page 2 of 121”
Table: 2,Table: 2,Table: 2
,,
5 - Hampton’s Waterways,,
Pochin Place/Indian Creek Dredging.........................................................................,Pochin Place/Indian Creek Dredging.........................................................................,47
Salt Ponds Dredging ..................................................................................................,Salt Ponds Dredging ..................................................................................................,48
6 - Maintenance of Public Properties and Performance,6 - Maintenance of Public Properties and Performance,
Support,,
Breakwaters at Buckroe Beach ..................................................................................,Breakwaters at Buckroe Beach ..................................................................................,49
Building Maintenance ...............................................................................................,Building Maintenance ...............................................................................................,50
City-wide Landscaping Upgrade ..............................................................................,City-wide Landscaping Upgrade ..............................................................................,51
Hampton Coliseum Roof Replacement,....................................................................,52
Hampton Public Library Furniture Replacement ......................................................,Hampton Public Library Furniture Replacement ......................................................,53
Parks and Recreation Maintenance............................................................................,Parks and Recreation Maintenance............................................................................,54
Re-engineering Technology.......................................................................................,Re-engineering Technology.......................................................................................,55
7 - Master Plans,,
Buckroe Investments:,,
New Community Center and Aquatics Facility ....................................................,New Community Center and Aquatics Facility ....................................................,57
Redesign Parking/Park Areas ~ Pembroke Avenue and First Street ...................,Redesign Parking/Park Areas ~ Pembroke Avenue and First Street ...................,58
Coliseum Central Investments:,,
"Newmarket Creek Park and Trail System Plan, Design and Construction...........","Newmarket Creek Park and Trail System Plan, Design and Construction...........",59
Redevelopment of Bluebird Gap Farm Site..........................................................,Redevelopment of Bluebird Gap Farm Site..........................................................,60
Downtown Investments:,,
Acquisition of Kingsway Property........................................................................,Acquisition of Kingsway Property........................................................................,61
Redevelopment of Macy Carmel Site ...................................................................,Redevelopment of Macy Carmel Site ...................................................................,62
North King Street Investments...................................................................................,North King Street Investments...................................................................................,63
Other Master Plan Project Investments .....................................................................,Other Master Plan Project Investments .....................................................................,64
Phoebus Investments..................................................................................................,Phoebus Investments..................................................................................................,65
8 - Neighborhood Support,,
Blighted Property Acquisition and Demolition ........................................................,Blighted Property Acquisition and Demolition ........................................................,67
Housing Improvement Grants....................................................................................,Housing Improvement Grants....................................................................................,68
Neighborhood Curb and Gutter Program ..................................................................,Neighborhood Curb and Gutter Program ..................................................................,69
Neighborhood Improvement Funding .......................................................................,Neighborhood Improvement Funding .......................................................................,70
9 - New Facilities,,
New American Theatre Expansion ............................................................................,New American Theatre Expansion ............................................................................,71
New Circuit Court Building ......................................................................................,New Circuit Court Building ......................................................................................,72
,ii,
