Name: “Table 1 of 1 on page 90 of 121”,Name: “Table 1 of 1 on page 90 of 121”,Name: “Table 1 of 1 on page 90 of 121”,Name: “Table 1 of 1 on page 90 of 121”,Name: “Table 1 of 1 on page 90 of 121”,Name: “Table 1 of 1 on page 90 of 121”,Name: “Table 1 of 1 on page 90 of 121”,Name: “Table 1 of 1 on page 90 of 121”,Name: “Table 1 of 1 on page 90 of 121”
Table: 80,Table: 80,Table: 80,Table: 80,Table: 80,Table: 80,Table: 80,Table: 80,Table: 80
,,,,,,,,
,Project Information,Project Information,,,,,,
Name:,E-911 Telephone System Equipment,,,Category: Public Safety,,,,
Contact:,Curt Shaeffer,,,District: n/a,,,,
Department: Public Safety ~ Police Division (757) 727-6111,Department: Public Safety ~ Police Division (757) 727-6111,,,,,,,
Project Description and Scope,,,,,,,,
,Project Description and Scope,Project Description and Scope,,,,,,
Replace all current Verizon and Plant telephone equipment in the Emergency Call Center. This equipment is critical to,Replace all current Verizon and Plant telephone equipment in the Emergency Call Center. This equipment is critical to,Replace all current Verizon and Plant telephone equipment in the Emergency Call Center. This equipment is critical to,Replace all current Verizon and Plant telephone equipment in the Emergency Call Center. This equipment is critical to,Replace all current Verizon and Plant telephone equipment in the Emergency Call Center. This equipment is critical to,Replace all current Verizon and Plant telephone equipment in the Emergency Call Center. This equipment is critical to,,,
taking emergency and non emergency calls from citizens.,taking emergency and non emergency calls from citizens.,"The current equipment, which was installed in 1999 has,","The current equipment, which was installed in 1999 has,","The current equipment, which was installed in 1999 has,","The current equipment, which was installed in 1999 has,",,,
reached the end of its life span and requires frequent repair. It is becoming increasingly difficult to obtain parts. Should,reached the end of its life span and requires frequent repair. It is becoming increasingly difficult to obtain parts. Should,reached the end of its life span and requires frequent repair. It is becoming increasingly difficult to obtain parts. Should,reached the end of its life span and requires frequent repair. It is becoming increasingly difficult to obtain parts. Should,reached the end of its life span and requires frequent repair. It is becoming increasingly difficult to obtain parts. Should,reached the end of its life span and requires frequent repair. It is becoming increasingly difficult to obtain parts. Should,,,
"equipment fail, the center will not be able to take or receive emergency or administrative calls.","equipment fail, the center will not be able to take or receive emergency or administrative calls.","equipment fail, the center will not be able to take or receive emergency or administrative calls.","equipment fail, the center will not be able to take or receive emergency or administrative calls.",,,,,
,Expenditures,Amount,,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014
Preliminary Designs/Plans,,,$0,$0,$0,$0,$0,$0
Engineering/Architectural Services,,,0,0,0,0,0,0
Land/Right-of-Way/Acquisition,,,0,0,0,0,0,0
Demolition/Grade/Site Preparation,,,0,0,0,0,0,0
Building/Utility/Construction,,,0,0,0,0,0,0
Equipment/Machinery/Furniture,,,0,0,0,0,0,0
Other Costs,,"373,000","373,000","80,000","88,000","97,000","108,000",0
,Grand Total,"$373,000","$373,000",,,,,
,Revenues,Amount,,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014
Congestion Mitigation Air Quality (CMAQ) Funds,Congestion Mitigation Air Quality (CMAQ) Funds,,$0,$0,$0,$0,$0,$0
General Fund Operating Revenues,,"373,000","373,000","80,000","88,000","97,000","108,000",0
General Fund Balance Transfer,,,0,0,0,0,0,0
General Obligation Bond Proceeds~City,,,0,0,0,0,0,0
General Obligation Bond Proceeds~School,General Obligation Bond Proceeds~School,,0,0,0,0,0,0
Stormwater Funds,,,0,0,0,0,0,0
Urban Construction Funds,,,0,0,0,0,0,0
Urban Development Action Grant (UDAG) Funds,Urban Development Action Grant (UDAG) Funds,,0,0,0,0,0,0
Urban Maintenance Contributions,,,0,0,0,0,0,0
,Grand Total,"$373,000","$373,000","$80,000","$88,000","$97,000","$108,000",$0
Project Status:,,,,,,Impact on Operating Budget:,Impact on Operating Budget:,
"The Emergency 911(E-911) telephone system requirements are currently being documented, options identified and vendor","The Emergency 911(E-911) telephone system requirements are currently being documented, options identified and vendor","The Emergency 911(E-911) telephone system requirements are currently being documented, options identified and vendor","The Emergency 911(E-911) telephone system requirements are currently being documented, options identified and vendor","The Emergency 911(E-911) telephone system requirements are currently being documented, options identified and vendor","The Emergency 911(E-911) telephone system requirements are currently being documented, options identified and vendor",There is no impact on the operating budget.,There is no impact on the operating budget.,
alternatives evaluated by a joint E-911 and Information Technology Team.,alternatives evaluated by a joint E-911 and Information Technology Team.,alternatives evaluated by a joint E-911 and Information Technology Team.,Procurement activities should commence,Procurement activities should commence,Procurement activities should commence,,,
beginning in the fall of 2009 with a contract awarded prior to the end of the calendar year. System implementation should,beginning in the fall of 2009 with a contract awarded prior to the end of the calendar year. System implementation should,beginning in the fall of 2009 with a contract awarded prior to the end of the calendar year. System implementation should,beginning in the fall of 2009 with a contract awarded prior to the end of the calendar year. System implementation should,beginning in the fall of 2009 with a contract awarded prior to the end of the calendar year. System implementation should,beginning in the fall of 2009 with a contract awarded prior to the end of the calendar year. System implementation should,,,
occur during the January/February 2010 timeframe and requires coordination with the Public Safety Radio System Project.,occur during the January/February 2010 timeframe and requires coordination with the Public Safety Radio System Project.,occur during the January/February 2010 timeframe and requires coordination with the Public Safety Radio System Project.,occur during the January/February 2010 timeframe and requires coordination with the Public Safety Radio System Project.,occur during the January/February 2010 timeframe and requires coordination with the Public Safety Radio System Project.,,,,
,,"City of Hampton, VA ~ FY 2010-2014 Capital Improvement Plan","City of Hampton, VA ~ FY 2010-2014 Capital Improvement Plan","City of Hampton, VA ~ FY 2010-2014 Capital Improvement Plan","City of Hampton, VA ~ FY 2010-2014 Capital Improvement Plan",,,
