Name: “Table 1 of 1 on page 109 of 121”,Name: “Table 1 of 1 on page 109 of 121”,Name: “Table 1 of 1 on page 109 of 121”,Name: “Table 1 of 1 on page 109 of 121”,Name: “Table 1 of 1 on page 109 of 121”,Name: “Table 1 of 1 on page 109 of 121”,Name: “Table 1 of 1 on page 109 of 121”,Name: “Table 1 of 1 on page 109 of 121”,Name: “Table 1 of 1 on page 109 of 121”
Table: 99,Table: 99,Table: 99,Table: 99,Table: 99,Table: 99,Table: 99,Table: 99,Table: 99
,,,,,,,,
,,Capital Improvement Plan,,,,,,
,,Contingency List,,,,,,
PROJECT,DEPARTMENT,DESCRIPTION,FY10,FY11,FY12,FY13,FY14,TOTAL
,,,,,,,,REQUEST
CATEGORY: Public Safety (Cont'd ),CATEGORY: Public Safety (Cont'd ),,,,,,,
,,A facility is required for the Special Investigations,,,,,,
,,Units/Peninsula Narcotic Enforcement Task Force for,,,,,,
,,"operational purposes. A new 4,200 square foot facility will",,,,,,
Special Investigations Unit,,"have the capacity to house the Special Investigation Unit,",,,,,,
,Police,,0,"51,500","92,700","938,000","11,500","1,093,700"
Building,,"Crime Analysis Unit, Intelligence Unit, and the Peninsula",,,,,,
,,Narcotic Enforcement Task Force. The facility will also,,,,,,
,,provide adequate space for the construction of a vehicle,,,,,,
,,impound lot to house seized motor vehicles.,,,,,,
Weapons Range,,,,,,,,
,Police,This request is required if redevelopment efforts dictate.,0,"5,000,000",0,0,0,"5,000,000"
Closure/Relocation,,,,,,,,
,,TOTAL: Public Safety,"4,493,633","10,825,888","31,135,054","37,582,198","1,228,035","85,264,808"
CATEGORY: Streets and Infrastructure,CATEGORY: Streets and Infrastructure,,,,,,,
Commander Sheppard,,Continuation of the Commander Sheppard Boulevard,,,,,,
,Engineering,,,,,,,
Boulevard Extension - Phase,,Extension from the intersection with North Campus Parkway,"3,500,000","14,500,000",0,0,0,"18,000,000"
,Services,,,,,,,
II,,to the intersection with Big Bethel Road and Saunders Road.,,,,,,
Hampton Roads Center North,,,,,,,,
,Public Works -,Addition of a traffic signal at the Hampton Roads Center,,,,,,
Park - Traffic Signal at North,,,"150,000",0,0,0,0,"150,000"
,Traffic Engineering,North Campus.,,,,,,
Campus,,,,,,,,
Kecoughtan Road,Public Works -,"Replace damaged curbs, sidewalks and eliminate unused",,,,,,
,,,"400,000",0,0,0,0,"400,000"
Improvements,Traffic Engineering,aprons from city owned properties.,,,,,,
,,Widen Little Back River Road from King Street to Clemwood,,,,,,
,,Parkway. The widened section will be a four-lane divided,,,,,,
Little Back River Road,Engineering,roadway. The requested funding is for design and right-of-,,,,,,
,,,0,0,"2,000,000","4,000,000",0,"6,000,000"
Improvements - Phase I,Services,way acquisition. Additional funds will be needed for,,,,,,
,,construction of Phase 2 (construction from Clemwood,,,,,,
,,Parkway to Harris Creek Road.),,,,,,
Pasture Point Street,,New street connecting the Pasture Point and Bright's Creek,,,,,,
,Planning,,0,0,0,"1,150,000",0,"1,150,000"
Connections,,areas.,,,,,,
