Name: “Table 1 of 1 on page 93 of 121”,Name: “Table 1 of 1 on page 93 of 121”,Name: “Table 1 of 1 on page 93 of 121”,Name: “Table 1 of 1 on page 93 of 121”,Name: “Table 1 of 1 on page 93 of 121”,Name: “Table 1 of 1 on page 93 of 121”,Name: “Table 1 of 1 on page 93 of 121”,Name: “Table 1 of 1 on page 93 of 121”,Name: “Table 1 of 1 on page 93 of 121”,Name: “Table 1 of 1 on page 93 of 121”,Name: “Table 1 of 1 on page 93 of 121”,Name: “Table 1 of 1 on page 93 of 121”,Name: “Table 1 of 1 on page 93 of 121”,Name: “Table 1 of 1 on page 93 of 121”,Name: “Table 1 of 1 on page 93 of 121”,Name: “Table 1 of 1 on page 93 of 121”,Name: “Table 1 of 1 on page 93 of 121”,Name: “Table 1 of 1 on page 93 of 121”,Name: “Table 1 of 1 on page 93 of 121”
Table: 83,Table: 83,Table: 83,Table: 83,Table: 83,Table: 83,Table: 83,Table: 83,Table: 83,Table: 83,Table: 83,Table: 83,Table: 83,Table: 83,Table: 83,Table: 83,Table: 83,Table: 83,Table: 83
,,,,,,,,,,,,,,,,,,
,,,,,Project Information,Project Information,Project Information,,,,,,,,,,,
Name:,Relocation of EOC/911/311,Relocation of EOC/911/311,Relocation of EOC/911/311,Relocation of EOC/911/311,,,,,,,Category: Public Safety,Category: Public Safety,Category: Public Safety,Category: Public Safety,,,,
Contact:,"Mary Bunting, Assistant City Manager","Mary Bunting, Assistant City Manager","Mary Bunting, Assistant City Manager","Mary Bunting, Assistant City Manager","Mary Bunting, Assistant City Manager",,,,,,District: 1,District: 1,,,,,,
Department: City Manager's Office ~ (757) 727-6392,Department: City Manager's Office ~ (757) 727-6392,Department: City Manager's Office ~ (757) 727-6392,Department: City Manager's Office ~ (757) 727-6392,Department: City Manager's Office ~ (757) 727-6392,Department: City Manager's Office ~ (757) 727-6392,,,,,,,,,,,,,
Project Description and Scope,Project Description and Scope,Project Description and Scope,Project Description and Scope,,,,,,,,,,,,,,,
,,,,,Project Description and Scope,Project Description and Scope,Project Description and Scope,Project Description and Scope,,,,,,,,,,
"A consolidated 18,000 square foot facility, which will house the City's Emergency Operations Center, Emergency","A consolidated 18,000 square foot facility, which will house the City's Emergency Operations Center, Emergency","A consolidated 18,000 square foot facility, which will house the City's Emergency Operations Center, Emergency","A consolidated 18,000 square foot facility, which will house the City's Emergency Operations Center, Emergency","A consolidated 18,000 square foot facility, which will house the City's Emergency Operations Center, Emergency","A consolidated 18,000 square foot facility, which will house the City's Emergency Operations Center, Emergency","A consolidated 18,000 square foot facility, which will house the City's Emergency Operations Center, Emergency","A consolidated 18,000 square foot facility, which will house the City's Emergency Operations Center, Emergency","A consolidated 18,000 square foot facility, which will house the City's Emergency Operations Center, Emergency","A consolidated 18,000 square foot facility, which will house the City's Emergency Operations Center, Emergency","A consolidated 18,000 square foot facility, which will house the City's Emergency Operations Center, Emergency","A consolidated 18,000 square foot facility, which will house the City's Emergency Operations Center, Emergency","A consolidated 18,000 square foot facility, which will house the City's Emergency Operations Center, Emergency","A consolidated 18,000 square foot facility, which will house the City's Emergency Operations Center, Emergency","A consolidated 18,000 square foot facility, which will house the City's Emergency Operations Center, Emergency","A consolidated 18,000 square foot facility, which will house the City's Emergency Operations Center, Emergency",,,
"Management, Emergency 911 and the Customer Call Center 311, will be located at the rear of the newly constructed","Management, Emergency 911 and the Customer Call Center 311, will be located at the rear of the newly constructed","Management, Emergency 911 and the Customer Call Center 311, will be located at the rear of the newly constructed","Management, Emergency 911 and the Customer Call Center 311, will be located at the rear of the newly constructed","Management, Emergency 911 and the Customer Call Center 311, will be located at the rear of the newly constructed","Management, Emergency 911 and the Customer Call Center 311, will be located at the rear of the newly constructed","Management, Emergency 911 and the Customer Call Center 311, will be located at the rear of the newly constructed","Management, Emergency 911 and the Customer Call Center 311, will be located at the rear of the newly constructed","Management, Emergency 911 and the Customer Call Center 311, will be located at the rear of the newly constructed","Management, Emergency 911 and the Customer Call Center 311, will be located at the rear of the newly constructed","Management, Emergency 911 and the Customer Call Center 311, will be located at the rear of the newly constructed","Management, Emergency 911 and the Customer Call Center 311, will be located at the rear of the newly constructed","Management, Emergency 911 and the Customer Call Center 311, will be located at the rear of the newly constructed","Management, Emergency 911 and the Customer Call Center 311, will be located at the rear of the newly constructed","Management, Emergency 911 and the Customer Call Center 311, will be located at the rear of the newly constructed","Management, Emergency 911 and the Customer Call Center 311, will be located at the rear of the newly constructed",,,
Fire Station 11 on Big Bethel Road. The location and equipping of this new facility will reduce the risk exposure during,Fire Station 11 on Big Bethel Road. The location and equipping of this new facility will reduce the risk exposure during,Fire Station 11 on Big Bethel Road. The location and equipping of this new facility will reduce the risk exposure during,Fire Station 11 on Big Bethel Road. The location and equipping of this new facility will reduce the risk exposure during,Fire Station 11 on Big Bethel Road. The location and equipping of this new facility will reduce the risk exposure during,Fire Station 11 on Big Bethel Road. The location and equipping of this new facility will reduce the risk exposure during,Fire Station 11 on Big Bethel Road. The location and equipping of this new facility will reduce the risk exposure during,Fire Station 11 on Big Bethel Road. The location and equipping of this new facility will reduce the risk exposure during,Fire Station 11 on Big Bethel Road. The location and equipping of this new facility will reduce the risk exposure during,Fire Station 11 on Big Bethel Road. The location and equipping of this new facility will reduce the risk exposure during,Fire Station 11 on Big Bethel Road. The location and equipping of this new facility will reduce the risk exposure during,Fire Station 11 on Big Bethel Road. The location and equipping of this new facility will reduce the risk exposure during,Fire Station 11 on Big Bethel Road. The location and equipping of this new facility will reduce the risk exposure during,Fire Station 11 on Big Bethel Road. The location and equipping of this new facility will reduce the risk exposure during,Fire Station 11 on Big Bethel Road. The location and equipping of this new facility will reduce the risk exposure during,Fire Station 11 on Big Bethel Road. The location and equipping of this new facility will reduce the risk exposure during,,,
"severe weather events, i.e. hurricanes and","severe weather events, i.e. hurricanes and","severe weather events, i.e. hurricanes and","severe weather events, i.e. hurricanes and","severe weather events, i.e. hurricanes and","ensure the continuation of vital public safety services to our citizens,","ensure the continuation of vital public safety services to our citizens,","ensure the continuation of vital public safety services to our citizens,","ensure the continuation of vital public safety services to our citizens,","ensure the continuation of vital public safety services to our citizens,","ensure the continuation of vital public safety services to our citizens,","ensure the continuation of vital public safety services to our citizens,","ensure the continuation of vital public safety services to our citizens,","ensure the continuation of vital public safety services to our citizens,","ensure the continuation of vital public safety services to our citizens,","ensure the continuation of vital public safety services to our citizens,",,,
especially during times of emergency.,especially during times of emergency.,especially during times of emergency.,especially during times of emergency.,The construction of this facility coincides with the upgrade of the City's 800 MHz,The construction of this facility coincides with the upgrade of the City's 800 MHz,The construction of this facility coincides with the upgrade of the City's 800 MHz,The construction of this facility coincides with the upgrade of the City's 800 MHz,The construction of this facility coincides with the upgrade of the City's 800 MHz,The construction of this facility coincides with the upgrade of the City's 800 MHz,The construction of this facility coincides with the upgrade of the City's 800 MHz,The construction of this facility coincides with the upgrade of the City's 800 MHz,The construction of this facility coincides with the upgrade of the City's 800 MHz,The construction of this facility coincides with the upgrade of the City's 800 MHz,The construction of this facility coincides with the upgrade of the City's 800 MHz,The construction of this facility coincides with the upgrade of the City's 800 MHz,,,
radio system and other technological improvements.,radio system and other technological improvements.,radio system and other technological improvements.,radio system and other technological improvements.,radio system and other technological improvements.,radio system and other technological improvements.,,,,,,,,,,,,,
,,Expenditures,Expenditures,,,,,Amount,,FY 2010,FY 2010,,FY 2011,FY 2011,,FY 2012,FY 2013,FY 2014
Preliminary Designs/Plans,Preliminary Designs/Plans,Preliminary Designs/Plans,,,,,,$0,,,,$0,,,$0,$0,$0,$0
Engineering/Architectural Services,Engineering/Architectural Services,Engineering/Architectural Services,Engineering/Architectural Services,,,,,"294,000",,,,0,,,0,"294,000",0,0
