Name: “Table 1 of 1 on page 31 of 116”,Name: “Table 1 of 1 on page 31 of 116”,Name: “Table 1 of 1 on page 31 of 116”,Name: “Table 1 of 1 on page 31 of 116”,Name: “Table 1 of 1 on page 31 of 116”,Name: “Table 1 of 1 on page 31 of 116”,Name: “Table 1 of 1 on page 31 of 116”,Name: “Table 1 of 1 on page 31 of 116”,Name: “Table 1 of 1 on page 31 of 116”,Name: “Table 1 of 1 on page 31 of 116”,Name: “Table 1 of 1 on page 31 of 116”
Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31
,,,,,,,,,,
,,,,Improve Citywide Boat Ramps,Improve Citywide Boat Ramps,Improve Citywide Boat Ramps,Improve Citywide Boat Ramps,,,
Department,Department,,,,,,Project Description,Project Description,,
Recreation/Parks and Open Space,Recreation/Parks and Open Space,Recreation/Parks and Open Space,Recreation/Parks and Open Space,,,Provide funds to improve several of the city's existing boat,Provide funds to improve several of the city's existing boat,Provide funds to improve several of the city's existing boat,Provide funds to improve several of the city's existing boat,Provide funds to improve several of the city's existing boat
,,,,,,ramps. FY 2013 funding will be used for the Lake Whitehurst,ramps. FY 2013 funding will be used for the Lake Whitehurst,ramps. FY 2013 funding will be used for the Lake Whitehurst,ramps. FY 2013 funding will be used for the Lake Whitehurst,ramps. FY 2013 funding will be used for the Lake Whitehurst
Account #,Account #,,,,,boat ramp.,,,,
4000 78 4173,4000 78 4173,,,,,,,,,
Customers Served,Customers Served,,,,,,,,,
Residents,v,Business,City Services,City Services,,,,,,
Educational Community,Educational Community,Educational Community,Tourists/Visitors,Tourists/Visitors,v,,,,,
,,,,,Financial Summary,Financial Summary,,,,
,,FY 2012,FY 2012,FY 2013,,FY 2014,FY 2015,FY 2016,FY 2017,TOTAL
FY 2013 Approved,FY 2013 Approved,,N/A,"445,000","445,000",0,0,0,0,"445,000"
FY 2012 Approved,FY 2012 Approved,,0,,0,0,0,0,N/A,0
Estimated Operating,Estimated Operating,,N/A,,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,
FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,0,,,,,
Site Improvements,Site Improvements,,,,0,Prior Capital Funding,Prior Capital Funding,,,0
Construction,Construction,,,"445,000","445,000",FY 2013 Approved,FY 2013 Approved,,"445,000",
Inspections / Permits,Inspections / Permits,,,,0,Capital Share Remaining,Capital Share Remaining,,,0
,,Total,,"445,000","445,000",Project Total,,,"445,000",
,,Property Address:,Property Address:,Citywide,Citywide,,,,,
,,,,,,,"Accessibility, Mobility and Connectivity CIP - 415","Accessibility, Mobility and Connectivity CIP - 415","Accessibility, Mobility and Connectivity CIP - 415","Accessibility, Mobility and Connectivity CIP - 415"
