Name: “Table 1 of 1 on page 48 of 116”,Name: “Table 1 of 1 on page 48 of 116”,Name: “Table 1 of 1 on page 48 of 116”,Name: “Table 1 of 1 on page 48 of 116”,Name: “Table 1 of 1 on page 48 of 116”,Name: “Table 1 of 1 on page 48 of 116”,Name: “Table 1 of 1 on page 48 of 116”,Name: “Table 1 of 1 on page 48 of 116”,Name: “Table 1 of 1 on page 48 of 116”,Name: “Table 1 of 1 on page 48 of 116”,Name: “Table 1 of 1 on page 48 of 116”
Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48
,,,,,,,,,,
,,,Fund Beach Stabilization and Erosion,Fund Beach Stabilization and Erosion,Fund Beach Stabilization and Erosion,Fund Beach Stabilization and Erosion,Fund Beach Stabilization and Erosion,,,
Department,Department,,,,,,Project Description,Project Description,Project Description,
City Planning & Comm. Dev.,City Planning & Comm. Dev.,City Planning & Comm. Dev.,,,,Provide funds for the implementation of shoreline erosion,Provide funds for the implementation of shoreline erosion,Provide funds for the implementation of shoreline erosion,Provide funds for the implementation of shoreline erosion,Provide funds for the implementation of shoreline erosion
,,,,,,"control structures, shoreline alternatives and modeling, annual","control structures, shoreline alternatives and modeling, annual","control structures, shoreline alternatives and modeling, annual","control structures, shoreline alternatives and modeling, annual","control structures, shoreline alternatives and modeling, annual"
Account #,Account #,,,,,"wave gauge maintenance, sand replenishment, sand dune","wave gauge maintenance, sand replenishment, sand dune","wave gauge maintenance, sand replenishment, sand dune","wave gauge maintenance, sand replenishment, sand dune","wave gauge maintenance, sand replenishment, sand dune"
4000 15 3049,4000 15 3049,,,,,"maintenance, repair and re-vegetation and continuation of the","maintenance, repair and re-vegetation and continuation of the","maintenance, repair and re-vegetation and continuation of the","maintenance, repair and re-vegetation and continuation of the","maintenance, repair and re-vegetation and continuation of the"
,,,,,,biennial beach survey. Area of work spans the Chesapeake,biennial beach survey. Area of work spans the Chesapeake,biennial beach survey. Area of work spans the Chesapeake,biennial beach survey. Area of work spans the Chesapeake,biennial beach survey. Area of work spans the Chesapeake
,,,,,,Bay shoreline from Willoughby Spit to the Little Creek Inlet.,Bay shoreline from Willoughby Spit to the Little Creek Inlet.,Bay shoreline from Willoughby Spit to the Little Creek Inlet.,Bay shoreline from Willoughby Spit to the Little Creek Inlet.,Bay shoreline from Willoughby Spit to the Little Creek Inlet.
,,,,,,This project will ensure that properties are protected from,This project will ensure that properties are protected from,This project will ensure that properties are protected from,This project will ensure that properties are protected from,
Customers Served,Customers Served,,,,,accelerated shoreline erosion.,accelerated shoreline erosion.,,,
Residents,v,Business,City Services,City Services,,,,,,
Educational Community,Educational Community,Educational Community,Tourists/Visitors,Tourists/Visitors,v,,,,,
,,,,,Financial Summary,Financial Summary,Financial Summary,,,
,,FY 2012,FY 2012,FY 2013,,FY 2014,FY 2015,FY 2016,FY 2017,TOTAL
FY 2013 Approved,FY 2013 Approved,,N/A,"1,100,000","1,100,000","1,100,000","500,000","500,000","500,000","3,700,000"
FY 2012 Approved,FY 2012 Approved,"2,100,000","2,100,000","1,100,000","1,100,000","1,100,000","1,100,000","1,100,000",N/A,"6,500,000"
Estimated Operating,Estimated Operating,,N/A,,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,
FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,0,,,,,
Site Improvements,Site Improvements,,,,0,Prior Capital Funding,Prior Capital Funding,,"26,873,500",
Construction,Construction,,,"1,100,000","1,100,000",FY 2013 Approved,FY 2013 Approved,,"1,100,000",
Inspections / Permits,Inspections / Permits,,,,0,Capital Share Remaining,Capital Share Remaining,,"2,600,000",
,,Total,,"1,100,000","1,100,000",Project Total,Project Total,,"30,573,500",
,,Property Address:,Property Address:,Citywide,Citywide,,,,,
428 - CIP Environmental Sustainability,428 - CIP Environmental Sustainability,428 - CIP Environmental Sustainability,428 - CIP Environmental Sustainability,,,,,,,
