Name: “Table 1 of 1 on page 90 of 116”,Name: “Table 1 of 1 on page 90 of 116”,Name: “Table 1 of 1 on page 90 of 116”,Name: “Table 1 of 1 on page 90 of 116”,Name: “Table 1 of 1 on page 90 of 116”,Name: “Table 1 of 1 on page 90 of 116”,Name: “Table 1 of 1 on page 90 of 116”,Name: “Table 1 of 1 on page 90 of 116”,Name: “Table 1 of 1 on page 90 of 116”,Name: “Table 1 of 1 on page 90 of 116”,Name: “Table 1 of 1 on page 90 of 116”
Table: 90,Table: 90,Table: 90,Table: 90,Table: 90,Table: 90,Table: 90,Table: 90,Table: 90,Table: 90,Table: 90
,,,,,,,,,,
,,Install Generator at Little Creek Booster Pump Station,Install Generator at Little Creek Booster Pump Station,Install Generator at Little Creek Booster Pump Station,Install Generator at Little Creek Booster Pump Station,Install Generator at Little Creek Booster Pump Station,Install Generator at Little Creek Booster Pump Station,Install Generator at Little Creek Booster Pump Station,,
Department,Department,,,,,,Project Description,Project Description,,
Water Utility,Water Utility,,,,,Provide funds to install a new generator to power the booster,Provide funds to install a new generator to power the booster,Provide funds to install a new generator to power the booster,Provide funds to install a new generator to power the booster,Provide funds to install a new generator to power the booster
,,,,,,pump station when the Dominion Virginia Power electrical,pump station when the Dominion Virginia Power electrical,pump station when the Dominion Virginia Power electrical,pump station when the Dominion Virginia Power electrical,pump station when the Dominion Virginia Power electrical
Account #,Account #,,,,,feeds goes offline.,,,,
N/A,,,,,,,,,,
Customers Served,Customers Served,,,,,,,,,
Residents,v,Business,v,City Services,,,,,,
Educational Community,Educational Community,Educational Community,,Tourists/Visitors,,,,,,
,,,,,Financial Summary,Financial Summary,,,,
,,FY 2012,FY 2012,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,TOTAL
FY 2013 Approved,FY 2013 Approved,,,N/A,0,"150,000",0,0,0,"150,000"
FY 2012 Approved,FY 2012 Approved,,,0,0,0,0,0,N/A,0
Estimated Operating,Estimated Operating,,,N/A,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,
FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,0,,,,,
Site Improvements,Site Improvements,,,,0,Prior Capital Funding,Prior Capital Funding,,,0
Construction,Construction,,,,0,FY 2013 Approved,FY 2013 Approved,,,0
Inspections / Permits,Inspections / Permits,,,,0,Capital Share Remaining,Capital Share Remaining,,"150,000",
,,Total,,,0,Project Total,,,"150,000",
,,Property Address:,Property Address:,Property Address:,Little Creek,,,,,
462 - CIP Water Utility,462 - CIP Water Utility,,,,,,,,,
