Name: “Table 1 of 1 on page 55 of 116”,Name: “Table 1 of 1 on page 55 of 116”,Name: “Table 1 of 1 on page 55 of 116”,Name: “Table 1 of 1 on page 55 of 116”,Name: “Table 1 of 1 on page 55 of 116”,Name: “Table 1 of 1 on page 55 of 116”,Name: “Table 1 of 1 on page 55 of 116”,Name: “Table 1 of 1 on page 55 of 116”,Name: “Table 1 of 1 on page 55 of 116”,Name: “Table 1 of 1 on page 55 of 116”,Name: “Table 1 of 1 on page 55 of 116”
Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55
,,,,,,,,,,
,,,,,Construct or Renovate Schools,Construct or Renovate Schools,Construct or Renovate Schools,,,
Department,Department,,,,,,Project Description,Project Description,,
Education,,,,,,Provide funds to construct new school buildings or complete,Provide funds to construct new school buildings or complete,Provide funds to construct new school buildings or complete,Provide funds to construct new school buildings or complete,Provide funds to construct new school buildings or complete
,,,,,,major renovations of existing school buildings based on an,major renovations of existing school buildings based on an,major renovations of existing school buildings based on an,major renovations of existing school buildings based on an,major renovations of existing school buildings based on an
Account #,Account #,,,,,agreed project schedule. The city strives to complete one,agreed project schedule. The city strives to complete one,agreed project schedule. The city strives to complete one,agreed project schedule. The city strives to complete one,
4000 12 3139,4000 12 3139,,,,,construction or major renovation project every three years,construction or major renovation project every three years,construction or major renovation project every three years,construction or major renovation project every three years,construction or major renovation project every three years
,,,,,,"depending on funding availability. For FY 2013, prior funds of","depending on funding availability. For FY 2013, prior funds of","depending on funding availability. For FY 2013, prior funds of","depending on funding availability. For FY 2013, prior funds of","depending on funding availability. For FY 2013, prior funds of"
,,,,,,"$9.45 million ($2.25 million in FY 2003, $5.0 million in FY 2011,","$9.45 million ($2.25 million in FY 2003, $5.0 million in FY 2011,","$9.45 million ($2.25 million in FY 2003, $5.0 million in FY 2011,","$9.45 million ($2.25 million in FY 2003, $5.0 million in FY 2011,","$9.45 million ($2.25 million in FY 2003, $5.0 million in FY 2011,"
,,,,,,$2.2 million in FY 2012) can be used for planning and design,$2.2 million in FY 2012) can be used for planning and design,$2.2 million in FY 2012) can be used for planning and design,$2.2 million in FY 2012) can be used for planning and design,$2.2 million in FY 2012) can be used for planning and design
Customers Served,Customers Served,,,,,of two new schools. Five-year funding provides for the,of two new schools. Five-year funding provides for the,of two new schools. Five-year funding provides for the,of two new schools. Five-year funding provides for the,
,,,,,,construction of two schools and the design of an additional,construction of two schools and the design of an additional,construction of two schools and the design of an additional,construction of two schools and the design of an additional,construction of two schools and the design of an additional
Residents,v,Business,,City Services,,two schools.,two schools.,,,
Educational Community,Educational Community,Educational Community,v,Tourists/Visitors,,,,,,
,,,,,Financial Summary,Financial Summary,Financial Summary,,,
,,FY 2012,FY 2012,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,TOTAL
FY 2013 Approved,FY 2013 Approved,,,N/A,0,"24,600,000","10,000,000","4,400,000",0,"39,000,000"
FY 2012 Approved,FY 2012 Approved,"9,800,000","9,800,000","9,800,000","9,750,000","19,800,000","5,000,000","2,200,000",N/A,"46,550,000"
Estimated Operating,Estimated Operating,,,N/A,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,
FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,0,,,,,
Site Improvements,Site Improvements,,,,0,Prior Capital Funding,Prior Capital Funding,,"36,870,525",
Construction,Construction,,,,0,FY 2013 Approved,FY 2013 Approved,,,0
Inspections / Permits,Inspections / Permits,,,,0,Capital Share Remaining,Capital Share Remaining,,"39,000,000",
,,Total,,,0,Project Total,Project Total,,"75,870,525",
,,Property Address:,Property Address:,Property Address:,Citywide,,,,,
,,,,,,,,,Lifelong Learning CIP - 433,Lifelong Learning CIP - 433
