Name: “Table 1 of 1 on page 53 of 116”,Name: “Table 1 of 1 on page 53 of 116”,Name: “Table 1 of 1 on page 53 of 116”,Name: “Table 1 of 1 on page 53 of 116”,Name: “Table 1 of 1 on page 53 of 116”,Name: “Table 1 of 1 on page 53 of 116”,Name: “Table 1 of 1 on page 53 of 116”,Name: “Table 1 of 1 on page 53 of 116”,Name: “Table 1 of 1 on page 53 of 116”,Name: “Table 1 of 1 on page 53 of 116”,Name: “Table 1 of 1 on page 53 of 116”
Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53,Table: 53
,,,,,,,,,,
,,,Support Governor's School for the Arts,Support Governor's School for the Arts,Support Governor's School for the Arts,Support Governor's School for the Arts,Support Governor's School for the Arts,,,
Department,,,,,,,Project Description,Project Description,,
Executive,,,,,,Provide funds to renovate and improve administrative and,Provide funds to renovate and improve administrative and,Provide funds to renovate and improve administrative and,Provide funds to renovate and improve administrative and,Provide funds to renovate and improve administrative and
,,,,,,infrastructure space for the Governor's School for the Arts in,infrastructure space for the Governor's School for the Arts in,infrastructure space for the Governor's School for the Arts in,infrastructure space for the Governor's School for the Arts in,infrastructure space for the Governor's School for the Arts in
Account #,,,,,,Norfolk.,,,,
4000 02 4160,,,,,,,,,,
Customers Served,,,,,,,,,,
Residents,Business,v,City Services,City Services,,,,,,
Educational Community,Educational Community,v,Tourists/Visitors,Tourists/Visitors,v,,,,,
,,,,,Financial Summary,Financial Summary,,,,
,FY 2012,FY 2012,FY 2012,FY 2013,,FY 2014,FY 2015,FY 2016,FY 2017,TOTAL
FY 2013 Approved,,,N/A,"320,000","320,000",0,0,0,0,"320,000"
FY 2012 Approved,,"250,000","250,000","320,000","320,000",0,0,0,N/A,"570,000"
Estimated Operating,,,N/A,,0,0,0,0,0,0
Budget Impact,,,,,,,,,,
FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,,,,,,
Planning / Design,,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,,,,0,,,,,
Site Improvements,,,,,0,Prior Capital Funding,Prior Capital Funding,,"300,000",
Construction,,,,"320,000","320,000",FY 2013 Approved,FY 2013 Approved,,"320,000",
Inspections / Permits,,,,,0,Capital Share Remaining,Capital Share Remaining,,,0
,Total,,,"320,000","320,000",Project Total,,,"620,000",
,Property Address:,Property Address:,Property Address:,Downtown,Downtown,,,,,
,,,,,,,,,Lifelong Learning CIP - 431,Lifelong Learning CIP - 431
