Name: “Table 1 of 1 on page 95 of 116”,Name: “Table 1 of 1 on page 95 of 116”,Name: “Table 1 of 1 on page 95 of 116”,Name: “Table 1 of 1 on page 95 of 116”,Name: “Table 1 of 1 on page 95 of 116”,Name: “Table 1 of 1 on page 95 of 116”,Name: “Table 1 of 1 on page 95 of 116”,Name: “Table 1 of 1 on page 95 of 116”,Name: “Table 1 of 1 on page 95 of 116”,Name: “Table 1 of 1 on page 95 of 116”,Name: “Table 1 of 1 on page 95 of 116”
Table: 95,Table: 95,Table: 95,Table: 95,Table: 95,Table: 95,Table: 95,Table: 95,Table: 95,Table: 95,Table: 95
,,,,,,,,,,
,,,Upgrade Moores Bridges Water Treatment Plant,Upgrade Moores Bridges Water Treatment Plant,Upgrade Moores Bridges Water Treatment Plant,Upgrade Moores Bridges Water Treatment Plant,Upgrade Moores Bridges Water Treatment Plant,Upgrade Moores Bridges Water Treatment Plant,Upgrade Moores Bridges Water Treatment Plant,
Department,Department,,,,,,Project Description,Project Description,Project Description,
Water Utility,Water Utility,,,,,Provide funds for required upgrades at the Moores Bridges,Provide funds for required upgrades at the Moores Bridges,Provide funds for required upgrades at the Moores Bridges,Provide funds for required upgrades at the Moores Bridges,Provide funds for required upgrades at the Moores Bridges
,,,,,,Water Treatment Plant to provide more effective treatment of,Water Treatment Plant to provide more effective treatment of,Water Treatment Plant to provide more effective treatment of,Water Treatment Plant to provide more effective treatment of,Water Treatment Plant to provide more effective treatment of
Account #,Account #,,,,,sludge generated during the water purification process.,sludge generated during the water purification process.,sludge generated during the water purification process.,sludge generated during the water purification process.,
5300 33 4115,5300 33 4115,,,,,,,,,
Customers Served,Customers Served,,,,,,,,,
Residents,v,Business,City Services,City Services,v,,,,,
Educational Community,Educational Community,Educational Community,Tourists/Visitors,Tourists/Visitors,,,,,,
,,,,,Financial Summary,Financial Summary,,,,
,,FY 2012,FY 2012,FY 2013,,FY 2014,FY 2015,FY 2016,FY 2017,TOTAL
FY 2013 Approved,FY 2013 Approved,,N/A,,0,"1,500,000",0,0,"3,000,000","4,500,000"
FY 2012 Approved,FY 2012 Approved,,"5,500,000",,0,"1,500,000",0,0,N/A,"7,000,000"
Estimated Operating,Estimated Operating,,N/A,,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,
FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,0,,,,,
Site Improvements,Site Improvements,,,,0,Prior Capital Funding,Prior Capital Funding,,"16,250,000",
Construction,Construction,,,,0,FY 2013 Approved,FY 2013 Approved,,,0
Inspections / Permits,Inspections / Permits,,,,0,Capital Share Remaining,Capital Share Remaining,,"4,500,000",
,,Total,Total,,0,Project Total,,,"20,750,000",
,,Property Address:,Property Address:,6040 Water Works Road,6040 Water Works Road,6040 Water Works Road,,,,
,,,,,,,,,Water Utility CIP - 467,Water Utility CIP - 467
