Name: “Table 1 of 1 on page 85 of 116”,Name: “Table 1 of 1 on page 85 of 116”,Name: “Table 1 of 1 on page 85 of 116”,Name: “Table 1 of 1 on page 85 of 116”,Name: “Table 1 of 1 on page 85 of 116”,Name: “Table 1 of 1 on page 85 of 116”,Name: “Table 1 of 1 on page 85 of 116”,Name: “Table 1 of 1 on page 85 of 116”,Name: “Table 1 of 1 on page 85 of 116”,Name: “Table 1 of 1 on page 85 of 116”,Name: “Table 1 of 1 on page 85 of 116”
Table: 85,Table: 85,Table: 85,Table: 85,Table: 85,Table: 85,Table: 85,Table: 85,Table: 85,Table: 85,Table: 85
,,,,,,,,,,
,,Comply With Safe Drinking Water Act Amendments,Comply With Safe Drinking Water Act Amendments,Comply With Safe Drinking Water Act Amendments,Comply With Safe Drinking Water Act Amendments,Comply With Safe Drinking Water Act Amendments,Comply With Safe Drinking Water Act Amendments,Comply With Safe Drinking Water Act Amendments,,
Department,Department,,,,,,Project Description,Project Description,,
Water Utility,Water Utility,,,,,"Provide funds to address general water quality issues, offer","Provide funds to address general water quality issues, offer","Provide funds to address general water quality issues, offer","Provide funds to address general water quality issues, offer","Provide funds to address general water quality issues, offer"
,,,,,,"engineering assistance, and water treatment consultation as","engineering assistance, and water treatment consultation as","engineering assistance, and water treatment consultation as","engineering assistance, and water treatment consultation as","engineering assistance, and water treatment consultation as"
Account #,Account #,,,,,they relate to Safe Drinking Water Act compliance.,they relate to Safe Drinking Water Act compliance.,they relate to Safe Drinking Water Act compliance.,they relate to Safe Drinking Water Act compliance.,
5300 33 4060,5300 33 4060,,,,,,,,,
Customers Served,Customers Served,,,,,,,,,
Residents,v,Business,City Services,City Services,,,,,,
Educational Community,Educational Community,Educational Community,Tourists/Visitors,Tourists/Visitors,v,,,,,
,,,,,Financial Summary,Financial Summary,Financial Summary,,,
,,FY 2012,FY 2012,FY 2013,,FY 2014,FY 2015,FY 2016,FY 2017,TOTAL
FY 2013 Approved,FY 2013 Approved,,N/A,,0,"80,000","160,000","50,000",0,"290,000"
FY 2012 Approved,FY 2012 Approved,,0,,0,0,0,0,N/A,0
Estimated Operating,Estimated Operating,,N/A,,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,
FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,0,,,,,
Site Improvements,Site Improvements,,,,0,Prior Capital Funding,Prior Capital Funding,,"800,000",
Construction,Construction,,,,0,FY 2013 Approved,FY 2013 Approved,,,0
Inspections / Permits,Inspections / Permits,,,,0,Capital Share Remaining,Capital Share Remaining,,"290,000",
,,Total,,,0,Project Total,Project Total,,"1,090,000",
,,Property Address:,Property Address:,Citywide,Citywide,,,,,
,,,,,,,,,Water Utility CIP - 457,Water Utility CIP - 457
