Name: “Table 1 of 1 on page 108 of 116”,Name: “Table 1 of 1 on page 108 of 116”,Name: “Table 1 of 1 on page 108 of 116”,Name: “Table 1 of 1 on page 108 of 116”,Name: “Table 1 of 1 on page 108 of 116”,Name: “Table 1 of 1 on page 108 of 116”,Name: “Table 1 of 1 on page 108 of 116”,Name: “Table 1 of 1 on page 108 of 116”,Name: “Table 1 of 1 on page 108 of 116”,Name: “Table 1 of 1 on page 108 of 116”,Name: “Table 1 of 1 on page 108 of 116”
Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108,Table: 108
,,,,,,,,,,
,,,,,Improve Halifax Lane Drainage,Improve Halifax Lane Drainage,Improve Halifax Lane Drainage,,,
Department,Department,,,,,,Project Description,Project Description,,
Storm Water Utility,Storm Water Utility,,,,,Provide funds for storm drainage on Halifax Lane in the of,Provide funds for storm drainage on Halifax Lane in the of,Provide funds for storm drainage on Halifax Lane in the of,Provide funds for storm drainage on Halifax Lane in the of,
,,,,,,Berkley section of Norfolk. FY 2013 funding will be used to,Berkley section of Norfolk. FY 2013 funding will be used to,Berkley section of Norfolk. FY 2013 funding will be used to,Berkley section of Norfolk. FY 2013 funding will be used to,
Account #,Account #,,,,,install a new drainage pipe to the Southern Branch of the,install a new drainage pipe to the Southern Branch of the,install a new drainage pipe to the Southern Branch of the,install a new drainage pipe to the Southern Branch of the,
4000 35 4185,4000 35 4185,,,,,Elizabeth River along Halifax Lane to correct flooding issues,Elizabeth River along Halifax Lane to correct flooding issues,Elizabeth River along Halifax Lane to correct flooding issues,Elizabeth River along Halifax Lane to correct flooding issues,Elizabeth River along Halifax Lane to correct flooding issues
,,,,,,during rain events.,,,,
Customers Served,Customers Served,,,,,,,,,
Residents,v,Business,v,City Services,,,,,,
Educational Community,Educational Community,Educational Community,,Tourists/Visitors,,,,,,
,,,,,Financial Summary,Financial Summary,,,,
,,FY 2012,FY 2012,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,TOTAL
FY 2013 Approved,FY 2013 Approved,,,N/A,"1,000,000",0,0,0,0,"1,000,000"
FY 2012 Approved,FY 2012 Approved,,,0,0,0,0,0,N/A,0
Estimated Operating,Estimated Operating,,,N/A,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,
FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,0,,,,,
Site Improvements,Site Improvements,,,,"1,000,000",Prior Capital Funding,Prior Capital Funding,,,0
Construction,Construction,,,,0,FY 2013 Approved,FY 2013 Approved,,"1,000,000",
Inspections / Permits,Inspections / Permits,,,,0,Capital Share Remaining,Capital Share Remaining,,,0
,,Total,,,"1,000,000",Project Total,,,"1,000,000",
,,Property Address:,Property Address:,Property Address:,Citywide,,,,,
476 - CIP Storm Water Utility,476 - CIP Storm Water Utility,476 - CIP Storm Water Utility,476 - CIP Storm Water Utility,,,,,,,
