Name: “Table 1 of 1 on page 17 of 116”,Name: “Table 1 of 1 on page 17 of 116”,Name: “Table 1 of 1 on page 17 of 116”,Name: “Table 1 of 1 on page 17 of 116”,Name: “Table 1 of 1 on page 17 of 116”,Name: “Table 1 of 1 on page 17 of 116”,Name: “Table 1 of 1 on page 17 of 116”,Name: “Table 1 of 1 on page 17 of 116”,Name: “Table 1 of 1 on page 17 of 116”
Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17
,,,,,,,,
CIP Five - Year Plan Summary,CIP Five - Year Plan Summary,CIP Five - Year Plan Summary,CIP Five - Year Plan Summary,CIP Five - Year Plan Summary,,,,
,FY 2013 - FY 2017 Capital Improvement Plan,FY 2013 - FY 2017 Capital Improvement Plan,FY 2013 - FY 2017 Capital Improvement Plan,FY 2013 - FY 2017 Capital Improvement Plan,FY 2013 - FY 2017 Capital Improvement Plan,FY 2013 - FY 2017 Capital Improvement Plan,,
,,Originally,,,Planned,Planned,,
,,Planned,Approved,,,,,
Project Title,Page,FY 2013,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,Total
"Accessibility, Mobility and Connectivity","Accessibility, Mobility and Connectivity","Accessibility, Mobility and Connectivity",,,,,,
Enhance Signals and,409,-,-,"200,000","200,000","200,000","200,000","800,000"
Intersections,,,,,,,,
Improve Citywide Conduit,410,"85,000","85,000",-,-,-,-,"85,000"
Network,,,,,,,,
Relocate Bus Transfer,411,-,"4,000,000",-,-,-,-,"4,000,000"
Station,,,,,,,,
Repair and Maintain,412,"400,000","400,000","250,000","250,000","250,000","250,000","1,400,000"
Bridges - Minor,,,,,,,,
Repair and Replace,413,"1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","5,000,000"
Bridges - Major,,,,,,,,
Support VDOT Urban,-,"580,000",-,-,-,-,-,-
Project,,,,,,,,
Resurface Parking Lots,414,"100,000","100,000",-,-,-,-,"100,000"
Improve Citywide Boat,415,-,"445,000",-,-,-,-,"445,000"
Ramps,,,,,,,,
"Subtotal Accessibility,",,"2,165,000","6,030,000","1,450,000","1,450,000","1,450,000","1,450,000","11,830,000"
Mobility and Connectivity,Mobility and Connectivity,,,,,,,
Economic Vitality and Workforce Development,Economic Vitality and Workforce Development,Economic Vitality and Workforce Development,Economic Vitality and Workforce Development,,,,,
Develop Multi-modal,417,-,"750,000",-,-,-,-,"750,000"
Transfer Station at Harbor,,,,,,,,
Park,,,,,,,,
Improve Downtown,418,"300,000","300,000","100,000","100,000","100,000","100,000","700,000"
Corridor Streetscaping,,,,,,,,
Improve Cultural Facilities,419,"250,000","250,000","250,000","250,000","250,000","250,000","1,250,000"
(PA),,,,,,,,
Renovate Scope,420,-,"750,000",-,-,-,-,"750,000"
Restrooms and,,,,,,,,
Concessions (PA),,,,,,,,
Maintain USS Wisconsin,421,-,"500,000","250,000","250,000","250,000","250,000","1,500,000"
BB-64,,,,,,,,
Fund Chrysler Museum,422,"1,000,000","1,000,000","1,000,000","1,000,000","850,000","850,000","4,700,000"
Capital Campaign Match,,,,,,,,
Subtotal Economic,,"1,550,000","3,550,000","1,600,000","1,600,000","1,450,000","1,450,000","9,650,000"
Vitality and Workforce,,,,,,,,
,,,,,,CIP Five-year Plan Summary - 403,CIP Five-year Plan Summary - 403,CIP Five-year Plan Summary - 403
