Name: “Table 1 of 1 on page 54 of 116”,Name: “Table 1 of 1 on page 54 of 116”,Name: “Table 1 of 1 on page 54 of 116”,Name: “Table 1 of 1 on page 54 of 116”,Name: “Table 1 of 1 on page 54 of 116”,Name: “Table 1 of 1 on page 54 of 116”,Name: “Table 1 of 1 on page 54 of 116”,Name: “Table 1 of 1 on page 54 of 116”,Name: “Table 1 of 1 on page 54 of 116”,Name: “Table 1 of 1 on page 54 of 116”,Name: “Table 1 of 1 on page 54 of 116”
Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54
,,,,,,,,,,
,,,,Address School Major Maintenance,Address School Major Maintenance,Address School Major Maintenance,Address School Major Maintenance,,,
Department,Department,,,,,,Project Description,Project Description,Project Description,
Education,,,,,,Provide city support of major maintenance and repair to,Provide city support of major maintenance and repair to,Provide city support of major maintenance and repair to,Provide city support of major maintenance and repair to,
,,,,,,school facilities. Expenditures in this category are to preserve,school facilities. Expenditures in this category are to preserve,school facilities. Expenditures in this category are to preserve,school facilities. Expenditures in this category are to preserve,school facilities. Expenditures in this category are to preserve
Account #,Account #,,,,,"the life of buildings, perform major preventative maintenance","the life of buildings, perform major preventative maintenance","the life of buildings, perform major preventative maintenance","the life of buildings, perform major preventative maintenance","the life of buildings, perform major preventative maintenance"
4000 12 3193,4000 12 3193,,,,,"and significant repairs. Each year, prior to the distribution of","and significant repairs. Each year, prior to the distribution of","and significant repairs. Each year, prior to the distribution of","and significant repairs. Each year, prior to the distribution of","and significant repairs. Each year, prior to the distribution of"
,,,,,,"funds, Norfolk Public Schools shall provide a list of planned","funds, Norfolk Public Schools shall provide a list of planned","funds, Norfolk Public Schools shall provide a list of planned","funds, Norfolk Public Schools shall provide a list of planned","funds, Norfolk Public Schools shall provide a list of planned"
,,,,,,projects as well as the results of the prior year's efforts.,projects as well as the results of the prior year's efforts.,projects as well as the results of the prior year's efforts.,projects as well as the results of the prior year's efforts.,
Customers Served,Customers Served,,,,,,,,,
Residents,v,Business,,City Services,,,,,,
Educational Community,Educational Community,Educational Community,v,Tourists/Visitors,,,,,,
,,,,,Financial Summary,Financial Summary,Financial Summary,,,
,,FY 2012,FY 2012,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,TOTAL
FY 2013 Approved,FY 2013 Approved,,,N/A,"3,000,000","3,000,000","3,000,000","3,000,000","2,000,000","14,000,000"
FY 2012 Approved,FY 2012 Approved,"3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000",N/A,"15,000,000"
Estimated Operating,Estimated Operating,,,N/A,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,
FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,0,,,,,
Site Improvements,Site Improvements,,,,0,Prior Capital Funding,Prior Capital Funding,,"14,500,000",
Construction,Construction,,,,"3,000,000",FY 2013 Approved,FY 2013 Approved,,"3,000,000",
Inspections / Permits,Inspections / Permits,,,,0,Capital Share Remaining,Capital Share Remaining,,"11,000,000",
,,Total,,,"3,000,000",Project Total,Project Total,,"28,500,000",
,,Property Address:,Property Address:,Property Address:,Citywide,,,,,
432 - CIP Lifelong Learning,432 - CIP Lifelong Learning,432 - CIP Lifelong Learning,432 - CIP Lifelong Learning,,,,,,,
