Name: “Table 1 of 1 on page 89 of 116”,Name: “Table 1 of 1 on page 89 of 116”,Name: “Table 1 of 1 on page 89 of 116”,Name: “Table 1 of 1 on page 89 of 116”,Name: “Table 1 of 1 on page 89 of 116”,Name: “Table 1 of 1 on page 89 of 116”,Name: “Table 1 of 1 on page 89 of 116”,Name: “Table 1 of 1 on page 89 of 116”,Name: “Table 1 of 1 on page 89 of 116”,Name: “Table 1 of 1 on page 89 of 116”,Name: “Table 1 of 1 on page 89 of 116”
Table: 89,Table: 89,Table: 89,Table: 89,Table: 89,Table: 89,Table: 89,Table: 89,Table: 89,Table: 89,Table: 89
,,,,,,,,,,
,,,,Improve Little Creek Dam,Improve Little Creek Dam,Improve Little Creek Dam,Improve Little Creek Dam,,,
Department,Department,,,,,,Project Description,Project Description,,
Water Utility,Water Utility,,,,,Provide funds for improvements to the Little Creek Dam to,Provide funds for improvements to the Little Creek Dam to,Provide funds for improvements to the Little Creek Dam to,Provide funds for improvements to the Little Creek Dam to,Provide funds for improvements to the Little Creek Dam to
,,,,,,comply with federal safety regulations.,comply with federal safety regulations.,comply with federal safety regulations.,,
Account #,Account #,,,,,,,,,
5300 33 4177,5300 33 4177,,,,,,,,,
Customers Served,Customers Served,,,,,,,,,
Residents,v,Business,City Services,City Services,,,,,,
Educational Community,Educational Community,Educational Community,Tourists/Visitors,Tourists/Visitors,v,,,,,
,,,,,Financial Summary,Financial Summary,,,,
,,FY 2012,FY 2012,FY 2013,,FY 2014,FY 2015,FY 2016,FY 2017,TOTAL
FY 2013 Approved,FY 2013 Approved,,N/A,"200,000","200,000",0,0,0,0,"200,000"
FY 2012 Approved,FY 2012 Approved,,0,"200,000","200,000",0,0,0,N/A,"200,000"
Estimated Operating,Estimated Operating,,N/A,,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,
FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,0,,,,,
Site Improvements,Site Improvements,,,"200,000","200,000",Prior Capital Funding,Prior Capital Funding,,,0
Construction,Construction,,,,0,FY 2013 Approved,FY 2013 Approved,,"200,000",
Inspections / Permits,Inspections / Permits,,,,0,Capital Share Remaining,Capital Share Remaining,,,0
,,Total,,"200,000","200,000",Project Total,,,"200,000",
,,Property Address:,Property Address:,Citywide,Citywide,,,,,
,,,,,,,,,Water Utility CIP - 461,Water Utility CIP - 461
