Name: “Table 1 of 1 on page 94 of 116”,Name: “Table 1 of 1 on page 94 of 116”,Name: “Table 1 of 1 on page 94 of 116”,Name: “Table 1 of 1 on page 94 of 116”,Name: “Table 1 of 1 on page 94 of 116”,Name: “Table 1 of 1 on page 94 of 116”,Name: “Table 1 of 1 on page 94 of 116”,Name: “Table 1 of 1 on page 94 of 116”,Name: “Table 1 of 1 on page 94 of 116”,Name: “Table 1 of 1 on page 94 of 116”,Name: “Table 1 of 1 on page 94 of 116”
Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94
,,,,,,,,,,
,,,Replace or Rehabilitate Water Pipelines,Replace or Rehabilitate Water Pipelines,Replace or Rehabilitate Water Pipelines,Replace or Rehabilitate Water Pipelines,Replace or Rehabilitate Water Pipelines,,,
Department,Department,,,,,,Project Description,Project Description,Project Description,
Water Utility,Water Utility,,,,,Provide funds for the continued replacement of severely,Provide funds for the continued replacement of severely,Provide funds for the continued replacement of severely,Provide funds for the continued replacement of severely,
,,,,,,deteriorated sections of a raw water transmission main which,deteriorated sections of a raw water transmission main which,deteriorated sections of a raw water transmission main which,deteriorated sections of a raw water transmission main which,deteriorated sections of a raw water transmission main which
Account #,Account #,,,,,"has reached the end of its useful life. In addition, upgrades","has reached the end of its useful life. In addition, upgrades","has reached the end of its useful life. In addition, upgrades","has reached the end of its useful life. In addition, upgrades","has reached the end of its useful life. In addition, upgrades"
5300 33 3057,5300 33 3057,,,,,will be made to areas of the distribution system which have,will be made to areas of the distribution system which have,will be made to areas of the distribution system which have,will be made to areas of the distribution system which have,will be made to areas of the distribution system which have
,,,,,,fallen into disrepair due to age or heavy usage.,fallen into disrepair due to age or heavy usage.,fallen into disrepair due to age or heavy usage.,fallen into disrepair due to age or heavy usage.,
Customers Served,Customers Served,,,,,,,,,
Residents,v,Business,City Services,City Services,v,,,,,
Educational Community,Educational Community,Educational Community,Tourists/Visitors,Tourists/Visitors,,,,,,
,,,,,Financial Summary,Financial Summary,Financial Summary,,,
,,FY 2012,FY 2012,FY 2013,,FY 2014,FY 2015,FY 2016,FY 2017,TOTAL
FY 2013 Approved,FY 2013 Approved,,N/A,"18,200,000","18,200,000","18,200,000","18,200,000","18,200,000","12,000,000","84,800,000"
FY 2012 Approved,FY 2012 Approved,"18,200,000","18,200,000","18,200,000","18,200,000","18,200,000","18,200,000","18,200,000",N/A,"91,000,000"
Estimated Operating,Estimated Operating,,N/A,,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,
FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,0,,,,,
Site Improvements,Site Improvements,,,"18,200,000","18,200,000",Prior Capital Funding,Prior Capital Funding,,"79,686,000",
Construction,Construction,,,,0,FY 2013 Approved,FY 2013 Approved,,"18,200,000",
Inspections / Permits,Inspections / Permits,,,,0,Capital Share Remaining,Capital Share Remaining,,"66,600,000",
,,Total,,"18,200,000","18,200,000",Project Total,Project Total,,"164,486,000",
,,Property Address:,Property Address:,Citywide,Citywide,,,,,
466 - CIP Water Utility,466 - CIP Water Utility,,,,,,,,,
