Name: “Table 1 of 1 on page 58 of 116”,Name: “Table 1 of 1 on page 58 of 116”,Name: “Table 1 of 1 on page 58 of 116”,Name: “Table 1 of 1 on page 58 of 116”,Name: “Table 1 of 1 on page 58 of 116”,Name: “Table 1 of 1 on page 58 of 116”,Name: “Table 1 of 1 on page 58 of 116”,Name: “Table 1 of 1 on page 58 of 116”,Name: “Table 1 of 1 on page 58 of 116”,Name: “Table 1 of 1 on page 58 of 116”,Name: “Table 1 of 1 on page 58 of 116”
Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58,Table: 58
,,,,,,,,,,
,,,Improve Existing Library Branches,Improve Existing Library Branches,Improve Existing Library Branches,Improve Existing Library Branches,Improve Existing Library Branches,,,
Department,Department,,,,,,Project Description,Project Description,,
Libraries,,,,,,Provide funds for improvements to the interior and exterior of,Provide funds for improvements to the interior and exterior of,Provide funds for improvements to the interior and exterior of,Provide funds for improvements to the interior and exterior of,Provide funds for improvements to the interior and exterior of
,,,,,,existing library branches. Planned improvements will enhance,existing library branches. Planned improvements will enhance,existing library branches. Planned improvements will enhance,existing library branches. Planned improvements will enhance,existing library branches. Planned improvements will enhance
Account #,Account #,,,,,"the facade, service and safety at various libraries throughout","the facade, service and safety at various libraries throughout","the facade, service and safety at various libraries throughout","the facade, service and safety at various libraries throughout","the facade, service and safety at various libraries throughout"
4000 13 4191,4000 13 4191,,,,,the city.,,,,
Customers Served,Customers Served,,,,,,,,,
Residents,v,Business,City Services,City Services,v,,,,,
Educational Community,Educational Community,Educational Community,Tourists/Visitors,Tourists/Visitors,v,,,,,
,,,,,Financial Summary,Financial Summary,,,,
,,FY 2012,FY 2012,FY 2013,,FY 2014,FY 2015,FY 2016,FY 2017,TOTAL
FY 2013 Approved,FY 2013 Approved,,N/A,"200,000","200,000",0,0,0,0,"200,000"
FY 2012 Approved,FY 2012 Approved,,0,,0,0,0,0,N/A,0
Estimated Operating,Estimated Operating,,N/A,,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,
FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,0,,,,,
Site Improvements,Site Improvements,,,,0,Prior Capital Funding,Prior Capital Funding,,,0
Construction,Construction,,,"200,000","200,000",FY 2013 Approved,FY 2013 Approved,,"200,000",
Inspections / Permits,Inspections / Permits,,,,0,Capital Share Remaining,Capital Share Remaining,,,0
,,Total,,"200,000","200,000",Project Total,,,"200,000",
,,Property Address:,Property Address:,Citywide,Citywide,,,,,
436 - CIP Lifelong Learning,436 - CIP Lifelong Learning,436 - CIP Lifelong Learning,,,,,,,,
