Name: “Table 1 of 1 on page 92 of 116”,Name: “Table 1 of 1 on page 92 of 116”,Name: “Table 1 of 1 on page 92 of 116”,Name: “Table 1 of 1 on page 92 of 116”,Name: “Table 1 of 1 on page 92 of 116”,Name: “Table 1 of 1 on page 92 of 116”,Name: “Table 1 of 1 on page 92 of 116”,Name: “Table 1 of 1 on page 92 of 116”,Name: “Table 1 of 1 on page 92 of 116”,Name: “Table 1 of 1 on page 92 of 116”,Name: “Table 1 of 1 on page 92 of 116”
Table: 92,Table: 92,Table: 92,Table: 92,Table: 92,Table: 92,Table: 92,Table: 92,Table: 92,Table: 92,Table: 92
,,,,,,,,,,
,,,,,Replace Master Meters,Replace Master Meters,Replace Master Meters,,,
Department,Department,,,,,,Project Description,Project Description,Project Description,
Water Utility,Water Utility,,,,,Provide funds to replace Water Distribution master meters,Provide funds to replace Water Distribution master meters,Provide funds to replace Water Distribution master meters,Provide funds to replace Water Distribution master meters,Provide funds to replace Water Distribution master meters
,,,,,,that are no longer being supported by the manufacturer.,that are no longer being supported by the manufacturer.,that are no longer being supported by the manufacturer.,that are no longer being supported by the manufacturer.,that are no longer being supported by the manufacturer.
Account #,Account #,,,,,,,,,
5300 33 4169,5300 33 4169,,,,,,,,,
Customers Served,Customers Served,,,,,,,,,
Residents,v,Business,v,City Services,,,,,,
Educational Community,Educational Community,Educational Community,,Tourists/Visitors,,,,,,
,,,,,Financial Summary,Financial Summary,Financial Summary,,,
,,FY 2012,FY 2012,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,TOTAL
FY 2013 Approved,FY 2013 Approved,,,N/A,"120,000",0,"120,000",0,"120,000","360,000"
FY 2012 Approved,FY 2012 Approved,,"100,000","100,000","120,000",0,0,0,N/A,"220,000"
Estimated Operating,Estimated Operating,,,N/A,0,0,0,0,0,0
Budget Impact,Budget Impact,,,,,,,,,
FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,FY 2013 Anticipated Budget Distribution:,,,,,,
Planning / Design,Planning / Design,,,,0,,,,,
Acquisition / Relocation,Acquisition / Relocation,Acquisition / Relocation,,,0,,,,,
Site Improvements,Site Improvements,,,,"120,000",Prior Capital Funding,Prior Capital Funding,,"100,000",
Construction,Construction,,,,0,FY 2013 Approved,FY 2013 Approved,,"120,000",
Inspections / Permits,Inspections / Permits,,,,0,Capital Share Remaining,Capital Share Remaining,,"240,000",
,,Total,,,"120,000",Project Total,Project Total,,"460,000",
,,Property Address:,Property Address:,Property Address:,Citywide,,,,,
464 - CIP Water Utility,464 - CIP Water Utility,,,,,,,,,
